年次,Year,他府県との移動 Inter-prefecture migration／社会増減 Net social increase/decrease,他府県との移動 Inter-prefecture migration／転入 In-migration,他府県との移動 Inter-prefecture migration／転出 Out-migration
昭和31年中,1956,167882,546543,378661
昭和32年中,1957,198726,586610,387884
昭和33年中,1958,183505,584337,400832
昭和34年中,1959,184074,607219,423145
昭和35年中,1960,169533,628000,458467
昭和36年中,1961,146975,640883,493908
昭和37年中,1962,113357,670924,557567
昭和38年中,1963,94163,687226,593063
昭和39年中,1964,34880,689503,654623
昭和40年中,1965,33121,703747,670626
昭和41年中,1966,11335,700172,688837
昭和42年中,1967,-20648,682510,703158
昭和43年中,1968,-43930,696221,740151
昭和44年中,1969,-67456,680411,747867
昭和45年中,1970,-100142,668483,768625
昭和46年中,1971,-91200,668594,759794
昭和47年中,1972,-121081,649026,770107
昭和48年中,1973,-166029,627156,793185
昭和49年中,1974,-155839,565001,720840
昭和50年中,1975,-125956,541685,667641
昭和51年中,1976,-125229,529407,654636
昭和52年中,1977,-104261,528011,632272
昭和53年中,1978,-102280,513497,615777
昭和54年中,1979,-99738,510541,610279
昭和55年中,1980,-92482,490980,583462
昭和56年中,1981,-61105,488051,549156
昭和57年中,1982,-37463,491394,528857
昭和58年中,1983,-8358,495198,503556
昭和59年中,1984,145,486139,485994
昭和60年中,1985,4851,485208,480357
昭和61年中,1986,-6129,486672,492801
昭和62年中,1987,-55491,474706,530197
昭和63年中,1988,-71570,455801,527371
平成元年中,1989,-61055,454815,515870
平成2年中 ,1990,-50441,453116,503557
平成3年中,1991,-36917,447461,484378
平成4年中,1992,-51186,434519,485705
平成5年中,1993,-68433,424367,492800
平成6年中,1994,-60951,420050,481001
平成7年中,1995,-33692,430369,464061
平成8年中,1996,-6963,431545,438508
平成9年中,1997,16184,435693,419509
平成10年中,1998,30704,440098,409394
平成11年中,1999,36624,436805,400181
平成12年中,2000,53245,444118,390873
平成13年中,2001,68457,449888,381431
平成14年中,2002,72050,442925,370875
平成15年中,2003,64859,441013,376154
平成16年中,2004,71558,433270,361712
平成17年中,2005,78847,436245,357398
平成18年中,2006,78545,435453,356908
平成19年中,2007,79973,440944,360971
平成20年中,2008,71242,421538,350296
平成21年中,2009,54537,412219,357682
平成22年中,2010,45290,394518,349228
平成23年中,2011,39334,392991,353657
平成24年中,2012,53686,398615,344929
平成25年中,2013,68312,429785,361473
平成26年中,2014,73385,429278,355893
平成27年中,2015,82479,454043,371564
平成28年中,2016,72339,442537,370198
平成29年中,2017,71041,451124,380083
平成30年中,2018,77908,457880,379972
平成31・令和元年中,2019,80741,463761,383020
令和2年中,2020,29618,431175,401557
,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,
2-5   移動人口の推移（昭和31年中～令和2年中） 2-5  CHANGES IN POPULATION MIGRATION ( 1956-2020 ),,,,
この表は住民基本台帳による届出時点の数字である。,,,,
Data refer to numbers reported on the Basic Resident Registers during the stated year. ,,,,
資料：都総務局統計部人口統計課 「人口の動き-「東京都の人口（推計)」年報-」 Source: Bureau of General Affairs， TMG,,,,
