年次,Year,区分階層,検察庁,Public Prosecutor's Office,受理 Received／総数 Total,受理 Received／旧受 Previously received,受理 Received／新受 Newly received,処理 Handled／総数 Total,処理 Handled／起訴 Prosecuted,処理 Handled／不起訴 Dismissed,処理 Handled／中止 Suspended,処理 Handled／移送 Transferred,処理 Handled／家裁に送致 Referred to Family Court,未済 Pending
平成28,2016,0,総数,Total,137946,4142,133804,133595,30553,76991,192,20144,5715,4351
平成29,2017,0,総数,Total,133254,4351,128903,129719,30618,74205,226,19253,5417,3535
平成30,2018,0,総数,Total,131597,3535,128062,128054,30649,72936,153,19269,5047,3543
平成31･令和元,2019,0,総数,Total,119936,3543,116393,115855,28133,66832,129,16321,4440,4081
令和2,2020,0,総数,Total,110468,4081,106387,105542,25876,61075,116,14504,3971,4926
令和2,2020,1,東京地方検察庁,Tokyo District Public Prosecutor's Office,64137,3487,60650,60166,10877,38095,101,7122,3971,3971
令和2,2020,2,本庁,Main Office,46745,2572,44173,43781,8835,26982,66,5359,2539,2964
令和2,2020,2,立川支部,Tachikawa Branch ,17392,915,16477,16385,2042,11113,35,1763,1432,1007
令和2,2020,1,区検察庁,Local Public Prosecutor's Office,46331,594,45737,45376,14999,22980,15,7382,-,955
令和2,2020,2,東京,Tokyo,37495,540,36955,36656,11113,18959,15,6569,-,839
令和2,2020,2,八丈島,Hachijojima ,34,1,33,34,14,4,-,16,-,-
令和2,2020,2,伊豆大島,Izu-oshima ,12,1,11,12,3,4,-,5,-,-
令和2,2020,2,新島,Niijima,6,-,6,6,2,-,-,4,-,-
令和2,2020,2,八王子,Hachioji ,923,6,917,919,430,469,-,20,-,4
令和2,2020,2,立川,Tachikawa,5624,20,5604,5584,2512,2379,-,693,-,40
令和2,2020,2,武蔵野,Musashino,1143,10,1133,1095,415,643,-,37,-,48
令和2,2020,2,青梅,Ome ,377,4,373,363,183,171,-,9,-,14
令和2,2020,2,町田,Machida,717,12,705,707,327,351,-,29,-,10
,,,,,,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,
20-4  検察事件の検察庁別受理， 処理人員（平成28～令和2年） 20-4 CASES ( PERSONS ) RECEIVED/HANDLED BY THE PUBLIC PROSECUTOR'S OFFICE BY OFFICE ( 2016-2020 ),,,,,,,,,,,,,,
注) 自動車による過失致死傷等被疑事件の人員を含み，時効再起事件の人員を含まない。,,,,,,,,,,,,,,
Note: Includes persons suspected of negligent driving resulting in deaths and injuries， but does not include persons in cases dismissed due to statute of limitations.,,,,,,,,,,,,,,
資料：法務省 「検察統計」 Source: Ministry of Justice,,,,,,,,,,,,,,
区分階層(0:総数　1:区分　2:区分内訳),,,,,,,,,,,,,,
