年度,Fiscal year,地域階層,地域コード,地域,District,総数 Total,大気汚染 Air pollution,水質汚濁 Water pollution,土壌汚染 Soil pollution,騒音 Noises,振動 Vibration,地盤沈下 Ground subsidence,悪臭 Offensive odors,典型7公害以外計 Other pollution
平成28,2016,0,13000,東京都,Tokyo-to,6408,1199,41,6,2944,518,-,888,812
平成29,2017,0,13000,東京都,Tokyo-to,6402,1102,56,12,2948,498,1,909,876
平成30,2018,0,13000,東京都,Tokyo-to,6371,1095,41,13,3026,473,3,871,849
令和元,2019,0,13000,東京都,Tokyo-to,6273,1102,46,9,3002,423,-,769,922
令和2,2020,0,13000,東京都,Tokyo-to,7720,1235,46,4,4135,595,4,842,859
令和2,2020,1,13100,区部,All ku,4963,460,10,4,3098,493,3,522,373
令和2,2020,2,13101,千代田区,Chiyoda-ku,194,11,1,-,122,3,1,23,33
令和2,2020,2,13102,中央区,Chuo-ku,163,6,-,-,118,7,-,29,3
令和2,2020,2,13103,港区,Minato-ku,187,7,-,-,144,11,-,12,13
令和2,2020,2,13104,新宿区,Shinjuku-ku,224,21,-,-,172,10,-,18,3
令和2,2020,2,13105,文京区,Bunkyo-ku,34,-,-,-,25,6,-,3,-
令和2,2020,2,13106,台東区,Taito-ku,245,25,-,-,111,9,-,14,86
令和2,2020,2,13107,墨田区,Sumida-ku,437,31,-,-,284,42,-,45,35
令和2,2020,2,13108,江東区,Koto-ku,102,20,3,-,38,1,-,37,3
令和2,2020,2,13109,品川区,Shinagawa-ku,212,16,-,-,129,32,-,15,20
令和2,2020,2,13110,目黒区,Meguro-ku,157,9,-,-,94,13,-,22,19
令和2,2020,2,13111,大田区,Ota-ku,289,29,2,1,160,30,-,26,41
令和2,2020,2,13112,世田谷区,Setagaya-ku,297,42,3,-,182,35,-,24,11
令和2,2020,2,13113,渋谷区,Shibuya-ku,107,7,-,-,78,4,-,11,7
令和2,2020,2,13114,中野区,Nakano-ku,37,3,-,-,28,6,-,-,-
令和2,2020,2,13115,杉並区,Suginami-ku,84,13,1,-,39,5,-,26,-
令和2,2020,2,13116,豊島区,Toshima-ku,168,12,-,-,105,31,1,15,4
令和2,2020,2,13117,北区,Kita-ku,238,20,-,-,158,35,-,24,1
令和2,2020,2,13118,荒川区,Arakawa-ku,253,20,-,2,128,14,-,23,66
令和2,2020,2,13119,板橋区,Itabashi-ku,232,34,-,-,134,38,-,23,3
令和2,2020,2,13120,練馬区,Nerima-ku,273,28,-,-,171,35,-,31,8
令和2,2020,2,13121,足立区,Adachi-ku,425,46,-,-,277,64,-,35,3
令和2,2020,2,13122,葛飾区,Katsushika-ku,314,31,-,-,200,27,1,41,14
令和2,2020,2,13123,江戸川区,Edogawa-ku,291,29,-,1,201,35,-,25,-
令和2,2020,1,13200,市部,All shi,2507,763,28,-,1011,102,1,304,298
令和2,2020,2,13201,八王子市,Hachioji-shi,306,186,3,-,85,6,-,22,4
