年次,Year,地域階層,地域コード,地域,District,施設数 Facilities／総数 Total,施設数 Facilities／公立 Public,施設数 Facilities／私立 Private,児童定員 Capacity／総数 Total,児童定員 Capacity／公立 Public,児童定員 Capacity／私立 Private,入所児童数 Children enrolled／総数 Total,入所児童数 Children enrolled／公立 Public,入所児童数 Children enrolled／私立 Private
平成28,2016,0,13000,東京都,Tokyo-to,2342,901,1441,230334,94154,136180,225334,92958,132376
平成29,2017,0,13000,東京都,Tokyo-to,2558,892,1666,247105,93188,153917,239709,92192,147517
平成30,2018,0,13000,東京都,Tokyo-to,2811,880,1931,266473,92231,174242,254484,90567,163917
平成31,2019,0,13000,東京都,Tokyo-to,3066,864,2202,285121,90960,194161,269627,88708,180919
令和2,2020,0,13000,東京都,Tokyo-to,3325,838,2487,303093,88461,214632,283014,85508,197506
令和2,2020,1,13100,区部,All ku,2433,679,1754,215513,72794,142719,198621,70500,128121
令和2,2020,2,13101,千代田区,Chiyoda-ku,22,6,16,1782,507,1275,1602,509,1093
令和2,2020,2,13102,中央区,Chuo-ku,61,16,45,5192,1745,3447,4936,1740,3196
令和2,2020,2,13103,港区,Minato-ku,74,21,53,6164,3172,2992,5459,2952,2507
令和2,2020,2,13104,新宿区,Shinjuku-ku,72,18,54,7219,2268,4951,6401,2164,4237
令和2,2020,2,13105,文京区,Bunkyo-ku,87,20,67,6401,1920,4481,5486,1868,3618
令和2,2020,2,13106,台東区,Taito-ku,44,13,31,3528,1273,2255,3290,1229,2061
令和2,2020,2,13107,墨田区,Sumida-ku,78,25,53,6799,2651,4148,6178,2441,3737
令和2,2020,2,13108,江東区,Koto-ku,155,44,111,14627,4570,10057,13316,4339,8977
令和2,2020,2,13109,品川区,Shinagawa-ku,133,47,86,11259,4538,6721,10536,4598,5938
令和2,2020,2,13110,目黒区,Meguro-ku,88,17,71,6886,1794,5092,5667,1724,3943
令和2,2020,2,13111,大田区,Ota-ku,176,39,137,15156,4664,10492,14082,4500,9582
令和2,2020,2,13112,世田谷区,Setagaya-ku,196,46,150,17381,4699,12682,17088,4908,12180
令和2,2020,2,13113,渋谷区,Shibuya-ku,62,18,44,5864,1741,4123,5100,1653,3447
令和2,2020,2,13114,中野区,Nakano-ku,81,15,66,6632,1430,5202,5933,1390,4543
令和2,2020,2,13115,杉並区,Suginami-ku,158,38,120,13108,3597,9511,12017,3581,8436
令和2,2020,2,13116,豊島区,Toshima-ku,86,21,65,6336,2194,4142,5996,2201,3795
令和2,2020,2,13117,北区,Kita-ku,90,43,47,8770,4939,3831,8328,4751,3577
令和2,2020,2,13118,荒川区,Arakawa-ku,56,20,36,5683,2331,3352,5506,2351,3155
令和2,2020,2,13119,板橋区,Itabashi-ku,134,38,96,12053,3679,8374,11601,3500,8101
令和2,2020,2,13120,練馬区,Nerima-ku,176,60,116,15362,6681,8681,15048,6616,8432
令和2,2020,2,13121,足立区,Adachi-ku,154,42,112,14200,4290,9910,12073,3914,8159
令和2,2020,2,13122,葛飾区,Katsushika-ku,118,39,79,11457,4484,6973,10321,4203,6118
令和2,2020,2,13123,江戸川区,Edogawa-ku,132,33,99,13654,3627,10027,12657,3368,9289
令和2,2020,1,13200,市部,All shi,862,146,716,85111,14501,70610,82446,14258,68188
令和2,2020,2,13201,八王子市,Hachioji-shi,100,15,85,10344,1181,9163,10288,1204,9084
令和2,2020,2,13202,立川市,Tachikawa-shi,36,6,30,3852,663,3189,3799,597,3202
令和2,2020,2,13203,武蔵野市,Musashino-shi,33,4,29,2836,402,2434,2680,412,2268
令和2,2020,2,13204,三鷹市,Mitaka-shi,46,13,33,4020,1176,2844,3826,1182,2644
令和2,2020,2,13205,青梅市,Ome-shi,32,-,32,3329,-,3329,2942,1,2941
令和2,2020,2,13206,府中市,Fuchu-shi,56,13,43,5664,1334,4330,5407,1285,4122
令和2,2020,2,13207,昭島市,Akishima-shi,22,-,22,2676,-,2676,2652,1,2651
令和2,2020,2,13208,調布市,Chofu-shi,67,11,56,5876,1055,4821,5768,1068,4700
令和2,2020,2,13209,町田市,Machida-shi,74,5,69,6853,527,6326,6645,515,6130
令和2,2020,2,13210,小金井市,Koganei-shi,32,5,27,2851,592,2259,2583,531,2052
令和2,2020,2,13211,小平市,Kodaira-shi,44,9,35,3617,1046,2571,3648,1081,2567
令和2,2020,2,13212,日野市,Hino-shi,38,10,28,3999,1025,2974,3908,954,2954
令和2,2020,2,13213,東村山市,Higashimurayama-shi,21,5,16,2193,520,1673,2378,566,1812
令和2,2020,2,13214,国分寺市,Kokubunji-shi,36,3,33,3095,367,2728,2921,364,2557
令和2,2020,2,13215,国立市,Kunitachi-shi,19,4,15,1623,424,1199,1565,392,1173
令和2,2020,2,13218,福生市,Fussa-shi,14,-,14,1357,-,1357,1318,1,1317
令和2,2020,2,13219,狛江市,Komae-shi,21,4,17,2034,439,1595,1871,437,1434
令和2,2020,2,13220,東大和市,Higashiyamato-shi,16,1,15,1979,105,1874,1862,90,1772
令和2,2020,2,13221,清瀬市,Kiyose-shi,15,5,10,1367,328,1039,1294,284,1010
令和2,2020,2,13222,東久留米市,Higashikurume-shi,21,8,13,2233,825,1408,2167,817,1350
令和2,2020,2,13223,武蔵村山市,Musashimurayama-shi,13,1,12,1979,146,1833,1891,132,1759
令和2,2020,2,13224,多摩市,Tama-shi,22,1,21,2603,118,2485,2422,118,2304
令和2,2020,2,13225,稲城市,Inagi-shi,18,3,15,2179,296,1883,2003,252,1751
令和2,2020,2,13227,羽村市,Hamura-shi,12,-,12,1125,-,1125,1160,2,1158
令和2,2020,2,13228,あきる野市,Akiruno-shi,15,3,12,1779,200,1579,1715,151,1564
令和2,2020,2,13229,西東京市,Nishitokyo-shi,39,17,22,3648,1732,1916,3733,1821,1912
令和2,2020,1,13300,郡部,All gun,17,2,15,1413,230,1183,1286,206,1080
令和2,2020,1,13350,島部,All islands,13,11,2,1056,936,120,661,544,117
,,,,,,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,
18-4  地域別保育所の状況（平成28～令和2年） 18-4  CHILDREN DAY CARE CENTERS BY DISTRICT ( 2016-2020 ) ,,,,,,,,,,,,,,
各年4月1日現在。休止中の施設を除く。 ,,,,,,,,,,,,,,
As of April 1 of the year noted．Figures exclude facilities currently inactive.,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG    ,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,
