年度,Fiscal year,地域階層,地域コード,項番 Item number,地域,District,ごみ Refuse volume／排出量 Discharged／総計 Total (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／計 Total (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／可燃ごみ Combustibles (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量Volume collected and carried-in／不燃ごみ Non-combustibles (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／粗大ごみ Large-sized refuse (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Volume collected and carried-in／資源ごみ Recyclable refuse (t),ごみ Refuse volume／排出量 Discharged／収集量及び持込量 Collected and carried-in refuse／有害ごみ Toxic refuse (t),ごみ Refuse volume／排出量 Discharged／集団回収量 Group-collection recyclables (t),ごみ Refuse volume／排出量 Discharged／ピックアップ回収量 Recyclables recovered from refuse (t),ごみ Refuse volume／中間処分量 Intermediate disposal／焼却 Incinerated (t),ごみ Refuse volume／中間処分量 Intermediate disposal／その他 Others (t),ごみ Refuse volume／最終処分量 Final disposal (t),ごみ Refuse volume／総資源化量 Total recycled amount (t),し尿 Human waste／排出量 Discharged (kl),し尿 Human waste／処分量 Disposed (kl)
平成29,2017,0,13000,,東京都,Tokyo-to,4437677,4156525,3392611,107807,87294,567196,1617,255668,25483,3513549,810066,343519,1000505,82617,82617
平成30,2018,0,13000,,東京都,Tokyo-to,4413965,4138509,3381330,102120,89292,564083,1684,246332,29122,3505288,801653,307852,973138,81450,81450
令和元,2019,0,13000,,東京都,Tokyo-to,4439794,4169472,3403442,94651,96985,572666,1728,236807,33513,3533685,813222,303202,1024703,79496,79496
令和元,2019,1,13100,,区部,All ku　,3297799,3097274,2664027,37781,64508,330958,-,167011,33513,2727568,484958,298667,607542,14671,14671
令和元,2019,2,13101,1,千代田区,Chiyoda-ku ,21394,20401,14951,563,494,4392,-,994,-,…,…,…,…,…,…
令和元,2019,2,13102,2,中央区,Chuo-ku,49090,44216,33466,1352,1674,7724,-,4863,10,…,…,…,…,…,…
令和元,2019,2,13103,3,港区,Minato-ku ,76695,69777,51159,1485,1698,15435,-,5643,1276,…,…,…,…,…,…
令和元,2019,2,13104,4,新宿区,Shinjuku-ku,90892,84854,66611,1749,2524,13971,-,5382,655,…,…,…,…,…,…
令和元,2019,2,13105,5,文京区,Bunkyo-ku ,56065,51356,40369,1423,1269,8295,-,4291,418,…,…,…,…,…,…
令和元,2019,2,13106,6,台東区,Taito-ku ,54606,48992,39374,1269,1548,6801,-,4693,921,…,…,…,…,…,…
令和元,2019,2,13107,7,墨田区,Sumida-ku,67567,62570,51166,1603,2154,7647,-,4912,85,…,…,…,…,…,…
令和元,2019,2,13108,8,江東区,Koto-ku,125107,109481,89746,-,3365,16371,-,12341,3284,…,…,…,…,…,…
令和元,2019,2,13109,9,品川区,Shinagawa-ku,98580,90124,68696,2691,2988,15747,-,7879,577,…,…,…,…,…,…
令和元,2019,2,13110,10,目黒区,Meguro-ku,71583,60286,49005,2143,2475,6663,-,11211,86,…,…,…,…,…,…
令和元,2019,2,13111,11,大田区,Ota-ku,170548,156843,126101,2671,4431,23640,-,11327,2378,…,…,…,…,…,…
令和元,2019,2,13112,12,世田谷区,Setagaya-ku,223191,212667,163605,4233,7482,37347,-,7670,2854,…,…,…,…,…,…
令和元,2019,2,13113,13,渋谷区,Shibuya-ku,65186,62926,47837,1877,1519,11693,-,2260,-,…,…,…,…,…,…
令和元,2019,2,13114,14,中野区,Nakano-ku ,78534,63616,54160,207,2113,7136,-,12568,2350,…,…,…,…,…,…
令和元,2019,2,13115,15,杉並区,Suginami-ku,134642,127587,91706,2752,3739,29390,-,5528,1527,…,…,…,…,…,…
令和元,2019,2,13116,16,豊島区,Toshima-ku,69333,64779,51815,217,2441,10305,-,2882,1672,…,…,…,…,…,…
令和元,2019,2,13117,17,北区,Kita-ku,84455,76292,62708,212,2053,11318,-,5776,2387,…,…,…,…,…,…
令和元,2019,2,13118,18,荒川区,Arakawa-ku,53153,41966,40383,215,1226,142,-,9563,1624,…,…,…,…,…,…
令和元,2019,2,13119,19,板橋区,Itabashi-ku,134518,118756,102045,-,3490,13221,-,12090,3671,…,…,…,…,…,…
令和元,2019,2,13120,20,練馬区,Nerima-ku,170690,159706,120620,5040,4851,29194,-,9971,1013,…,…,…,…,…,…
令和元,2019,2,13121,21,足立区,Adachi-ku,161405,147028,127419,286,3197,16126,-,9536,4841,…,…,…,…,…,…
令和元,2019,2,13122,22,葛飾区,Katsushika-ku,109824,103490,79557,3236,3122,17575,-,6050,284,…,…,…,…,…,…
令和元,2019,2,13123,23,江戸川区,Edogawa-ku,162634,151454,123420,2556,4653,20824,-,9581,1600,…,…,…,…,…,…
令和元,2019,,,,継続持込,Carried by enterprise,968108,968108,968108,-,-,-,-,-,-,…,…,…,…,…,…
令和元,2019,1,13200,,市部,All shi,1107129,1038092,714111,55454,30238,236618,1671,69036,-,779586,319931,1103,409545,35890,35890
令和元,2019,2,13201,1,八王子市,Hachioji-shi,158638,151712,111750,5226,2601,31783,352,6926,-,117781,39063,-,53699,6796,6796
令和元,2019,2,13202,2,立川市,Tachikawa-shi,43697,40748,25505,2179,1243,11756,65,2949,-,28562,14914,-,18291,321,321
令和元,2019,2,13203,3,武蔵野市,Musashino-shi,42983,40286,27206,1120,1547,10319,94,2697,-,29214,13080,-,16742,253,253
