地域階層,地域コード,地域,District,総数 Total,一般行政職 General administrative services,税務職 Tax services,医師・歯科医師職 Physicians and dentists,薬剤師医療技術職(栄養士含む） Pharmacists and medical technicians (includes nutritionists),看護保健職 Nursing and public health services,福祉職 Social welfare services,消防職海事職 Firefighting and maritime services,企業職 Public enterprise employees,技能労務職 Vocational labor,教育職 Educational services,臨時職員 Temporary employees
0,13300,郡部,All gun,566,460,42,5,8,29,-,-,6,13,3,-
1,13303,瑞穂町,Mizuho-machi,224,191,18,-,-,6,-,-,6,1,2,-
1,13305,日の出町,Hinode-machi,156,137,13,-,-,-,-,-,-,5,1,-
1,13307,檜原村,Hinohara-mura,59,45,4,1,2,5,-,-,-,2,-,-
1,13308,奥多摩町,Okutama-machi,127,87,7,4,6,18,-,-,-,5,-,-
0,13350,島部,All islands,946,516,37,13,26,65,95,69,92,33,-,-
1,13361,大島町,Oshima-machi,167,102,8,-,2,4,22,22,6,1,-,-
1,13362,利島村,Toshima-mura,28,17,-,1,-,3,5,-,2,-,-,-
1,13363,新島村,Niijima-mura,122,77,4,1,7,13,10,5,-,5,-,-
1,13364,神津島村,Kozushima-mura,79,58,4,1,3,9,4,-,-,-,-,-
1,13381,三宅村,Miyake-mura,121,65,5,2,5,12,7,17,8,-,-,-
1,13382,御蔵島村,Mikurajima-mura,21,12,1,1,-,1,-,-,-,6,-,-
1,13401,八丈町,Hachijo-machi,259,101,11,-,2,6,29,25,76,9,-,-
1,13402,青ヶ島村,Aogashima-mura,26,16,-,1,-,1,2,-,-,6,-,-
1,13421,小笠原村,Ogasawara-mura,123,68,4,6,7,16,16,-,-,6,-,-
,,,,,,,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,,,,,
22-5  職員数 (4) 町村 (令和2年4月1日) 22-5  GOVERNMENT EMPLOYEES (4) MACHI AND MURA ( Apr. 1， 2020 ),,,,,,,,,,,,,,,
注) 教育職には、教育長、小・中学校教員は含まない。,,,,,,,,,,,,,,,
Note: Education services figures do not include the Director General ( Office of Education ) or teachers of elementary and junior high schools.,,,,,,,,,,,,,,,
資料：都総務局行政部区政課・市町村課 「東京都区市町村年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,
地域階層（0:郡部・島部　1:区市町村）,,,,,,,,,,,,,,,
