年次,Year,原因,Cause,区分,Classification,発生件数 Accidents／総数 Total,発生件数 Accidents／死亡事故 Killed,発生件数 Accidents／重傷事故 Serious injury,発生件数 Accidents／軽傷事故 Minor injury,死傷者数 Killed or injured／総数 Total,死傷者数 Killed or injured／死者 Killed,死傷者数 Killed or injured／重傷者 Serious injury,死傷者数 Killed or injured／軽傷者 Minor injury
平成28,2016,総数,Total,,,129,18,17,94,147,18,18,111
平成29,2017,総数,Total,,,186,30,54,102,199,30,57,112
平成30,2018,総数,Total,,,141,19,37,85,152,19,40,93
平成31･令和元,2019,総数,Total,,,179,15,39,125,197,15,42,140
令和2,2020,総数,Total,,,176,27,44,105,186,27,47,112
令和2,2020,信号無視,Ignoring traffic light signals,,,59,11,20,28,62,11,22,29
令和2,2020,通行区分,Lane violation,左側通行,Walking on the left side of the road,-,-,-,-,-,-,-,-
令和2,2020,通行区分,Lane violation,車道通行,Walking on roadways,2,-,-,2,2,-,-,2
令和2,2020,通行区分,Lane violation,その他,Others,-,-,-,-,-,-,-,-
令和2,2020,横断,Crossing,横断歩道外横断,Crossing outside pedestrian crossings,10,-,1,9,11,-,1,10
令和2,2020,横断,Crossing,斜め横断,Diagonal crossing,3,-,-,3,3,-,-,3
令和2,2020,横断,Crossing,駐停車車両の直前直後,Crossing immediately in front of or behind a parked vehicle,4,-,1,3,5,-,1,4
令和2,2020,横断,Crossing,走行車両の直前直後,Crossing immediately in front of or behind a vehicle in motion,4,-,-,4,4,-,-,4
令和2,2020,横断,Crossing,横断禁止場所横断,Crossing at prohibited places,40,5,14,21,45,5,15,25
令和2,2020,幼児のひとり歩き,Toddlers walking alone,,,2,-,-,2,2,-,-,2
令和2,2020,踏切不注意,Lack of caution at railroad crossings,,,4,4,-,-,4,4,-,-
令和2,2020,道路における禁止行為,Prohibited acts on roads,めいていはいかい，寝そべり等,Drunk， wandering， lying on the road， etc.,14,7,5,2,14,7,5,2
令和2,2020,道路における禁止行為,Prohibited acts on roads,路上遊戯,Playing on road,-,-,-,-,-,-,-,-
令和2,2020,無許可道路使用,Use of roads without permission,路上作業,Working on roads,-,-,-,-,-,-,-,-
令和2,2020,飛び出し,Rushing out into the street　,,,26,-,3,23,26,-,3,23
令和2,2020,その他の違反,Others,,,6,-,-,6,6,-,-,6
令和2,2020,調査不能,Cause undetermined,,,2,-,-,2,2,-,-,2
,,,,,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,
20-14  歩行者がわの事故原因による人身事故発生件数及び死傷者数 （平成28～令和2年） 20-14 TRAFFIC ACCIDENTS CAUSED BY PEDESTRIANS RESULTING IN INJURY OR DEATH AND PERSONS KILLED OR INJURED IN THE ACCIDENTS ( 2016-2020 ),,,,,,,,,,,,,
注 1) 発生件数及び死傷者数とも第1当事者からみた数である。,,,,,,,,,,,,,
2) 第1当事者とは，過失（違反）がより重いか又は過失（違反）が同程度の場合にあっては，被害がより小さい方の当事者をいう。,,,,,,,,,,,,,
3) 調査不能とは，違反行為の種別が不明な場合をいう。,,,,,,,,,,,,,
"Note: 1) ""Accidents"" and ""Killed or injured"" are counted from the first party perspective.",,,,,,,,,,,,,
2) The party whose degree of negligence (violation) is more serious than the other party is the first party. When the degree of negligence (violation) is the same， the party that suffers less damage is the first party.,,,,,,,,,,,,,
"3) ""Cause undetermined"" refers to cases for which the kind of violation committed is unknown.",,,,,,,,,,,,,
資料：警視庁総務部文書課 「警視庁の統計」 Source: Metropolitan Police Department， TMG,,,,,,,,,,,,,
