年度,Fiscal year,地域階層,地域コード,地域,District,病院病床  Beds／総数 Total,病院病床  Beds／精神病床 Psychiatric ,病院病床  Beds／感染症病床 Infectious diseases beds,病院病床  Beds／結核病床 Tuberculosis,病院病床  Beds ／療養病床 Long-term care,病院病床  Beds／一般病床 General,患者延数 Total number of patients／在院患者 Inpatients,患者延数 Total number of patients／新入院患者数 New inpatients,患者延数 Total number of patients／外来患者数 Outpatients
平成27,2015,0,13000,東京都,Tokyo-to,128166,22494,145,510,23524,81493,37267796,1650070,52441970
平成28,2016,0,13000,東京都,Tokyo-to,128351,22412,145,510,23921,81363,37419053,1679734,52349529
平成29,2017,0,13000,東京都,Tokyo-to,128279,22279,145,505,24070,81280,37445832,1695933,51746300
平成30,2018,0,13000,東京都,Tokyo-to,128189,22231,145,501,23965,81347,37427425,1717409,51235645
令和元,2019,0,13000,東京都,Tokyo-to,127422,21967,145,495,23892,80923,37457034,1725836,50844860
令和元,2019,1,13100,区部,All ku,79591,6735,99,162,13455,59140,22854244,1288722,38844844
令和元,2019,2,13101,千代田区,Chiyoda-ku,2271,27,-,-,50,2194,563739,54385,1985719
令和元,2019,2,13102,中央区,Chuo-ku,1186,-,-,-,-,1186,357957,35966,1014608
令和元,2019,2,13103,港区,Minato-ku,3843,49,-,2,-,3792,993787,89292,3119854
令和元,2019,2,13104,新宿区,Shinjuku-ku,5866,273,4,40,25,5524,1605495,132173,3971251
令和元,2019,2,13105,文京区,Bunkyo-ku,5118,131,30,-,118,4839,1449506,121250,3977533
令和元,2019,2,13106,台東区,Taito-ku,1078,85,-,-,297,696,312028,13213,475675
令和元,2019,2,13107,墨田区,Sumida-ku,2393,36,10,-,189,2158,673842,46490,1138748
令和元,2019,2,13108,江東区,Koto-ku,3297,129,-,-,564,2604,927513,52862,1573866
令和元,2019,2,13109,品川区,Shinagawa-ku,3100,50,-,-,769,2281,923199,57644,1437731
令和元,2019,2,13110,目黒区,Meguro-ku,2247,48,-,-,143,2056,631094,48141,1191234
令和元,2019,2,13111,大田区,Ota-ku,4956,128,20,-,957,3851,1425614,81128,2659448
令和元,2019,2,13112,世田谷区,Setagaya-ku,5718,1204,10,20,1050,3434,1519819,65612,1799758
令和元,2019,2,13113,渋谷区,Shibuya-ku,3115,53,-,2,964,2096,867718,49306,1691396
令和元,2019,2,13114,中野区,Nakano-ku,1797,-,-,-,413,1384,532959,26182,754156
令和元,2019,2,13115,杉並区,Suginami-ku,2692,-,-,-,948,1744,853513,41653,1006915
令和元,2019,2,13116,豊島区,Toshima-ku,1647,-,-,-,337,1310,461539,21404,551438
令和元,2019,2,13117,北区,Kita-ku,2593,202,-,-,496,1895,811688,30005,1104713
令和元,2019,2,13118,荒川区,Arakawa-ku,1495,-,-,-,416,1079,432025,21389,563301
令和元,2019,2,13119,板橋区,Itabashi-ku,9784,1895,20,12,2486,5371,2922192,110788,3089332
令和元,2019,2,13120,練馬区,Nerima-ku,3040,976,-,-,716,1348,942406,36977,1132609
令和元,2019,2,13121,足立区,Adachi-ku,6795,1232,-,-,1490,4073,1988772,58468,1937672
令和元,2019,2,13122,葛飾区,Katsushika-ku,2730,217,5,36,373,2099,809101,42453,1332443
令和元,2019,2,13123,江戸川区,Edogawa-ku,2830,-,-,50,654,2126,848738,51941,1335444
令和元,2019,1,13200,市部,All shi,47286,15172,44,333,10105,21632,14432580,435163,11898783
令和元,2019,2,13201,八王子市,Hachioji-shi,8518,3817,8,-,2068,2625,2715618,62955,1673894
令和元,2019,2,13202,立川市,Tachikawa-shi,1587,38,6,-,166,1377,489077,34524,673413
令和元,2019,2,13203,武蔵野市,Musashino-shi,1125,-,20,-,128,977,349858,24929,554399
令和元,2019,2,13204,三鷹市,Mitaka-shi,2910,1223,-,-,227,1460,877807,33049,955737
令和元,2019,2,13205,青梅市,Ome-shi,4555,2442,4,-,1430,679,1419701,17565,515247
令和元,2019,2,13206,府中市,Fuchu-shi,3537,868,-,60,238,2371,1025935,52588,1024324
令和元,2019,2,13207,昭島市,Akishima-shi,1788,258,-,30,495,1005,477713,14087,463540
令和元,2019,2,13208,調布市,Chofu-shi,1596,816,-,-,279,501,462938,7962,361490
令和元,2019,2,13209,町田市,Machida-shi,4044,1502,-,-,1065,1477,1304880,25949,912192
令和元,2019,2,13210,小金井市,Koganei-shi,1140,508,-,-,384,248,368528,4952,162447
令和元,2019,2,13211,小平市,Kodaira-shi,2342,699,6,-,561,1076,725702,22405,570243
令和元,2019,2,13212,日野市,Hino-shi,1210,316,-,-,446,448,383616,9350,281895
令和元,2019,2,13213,東村山市,Higashimurayama-shi,2275,670,-,8,318,1279,645625,15171,498160
令和元,2019,2,13214,国分寺市,Kokubunji-shi,251,-,-,-,209,42,83047,1184,23887
令和元,2019,2,13215,国立市,Kunitachi-shi,66,-,-,-,-,66,17144,1891,91962
令和元,2019,2,13218,福生市,Fussa-shi,688,-,-,-,96,592,178977,8575,254917
令和元,2019,2,13219,狛江市,Komae-shi,717,20,-,27,136,534,207829,12845,386977
令和元,2019,2,13220,東大和市,Higashiyamato-shi,412,-,-,-,-,412,132280,7553,96251
令和元,2019,2,13221,清瀬市,Kiyose-shi,2052,255,-,208,675,914,591770,13905,411886
令和元,2019,2,13222,東久留米市,Higashikurume-shi,330,183,-,-,-,147,103209,3815,185446
令和元,2019,2,13223,武蔵村山市,Musashimurayama-shi,839,-,-,-,216,623,263125,9809,345042
令和元,2019,2,13224,多摩市,Tama-shi,2217,816,-,-,250,1151,672681,22261,510490
令和元,2019,2,13225,稲城市,Inagi-shi,911,302,-,-,319,290,268238,7427,165765
令和元,2019,2,13227,羽村市,Hamura-shi,246,-,-,-,186,60,82104,538,13704
令和元,2019,2,13228,あきる野市,Akiruno-shi,578,113,-,-,100,365,167111,5719,217435
令和元,2019,2,13229,西東京市,Nishitokyo-shi,1352,326,-,-,113,913,418067,14155,548040
令和元,2019,1,13300,郡部,All gun,491,60,-,-,332,99,160551,1346,45154
令和元,2019,2,13303,瑞穂町,Mizuho-machi,120,-,-,-,120,-,41132,223,6008
令和元,2019,2,13305,日の出町,Hinode-machi,328,60,-,-,212,56,112970,871,25632
令和元,2019,2,13307,檜原村,Hinohara-mura,-,-,-,-,-,-,-,-,-
令和元,2019,2,13308,奥多摩町,Okutama-machi,43,-,-,-,-,43,6449,252,13514
令和元,2019,1,13350,島部,All islands,54,-,2,-,-,52,9659,605,56079
,,,,,,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,
19-3  種類別病床数及び患者延数 (平成27～令和元年度) 19-3  NUMBER OF BEDS AND PATIENTS BY TYPE OF CARE ( Fiscal Years 2015-2019 ),,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課「東京都の医療施設」 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,
