年度末,End of fiscal year,地域階層,地域コード,地域,District,合計 Total／計 Total,合計 Total／計 Total／全部支給 Full payment,合計 Total／計 Total／一部支給 Partial payment,合計 Total／停止 Discontinued,都道府県知事支給対象者 Covered by Prefecture／計 Total,都道府県知事支給対象者 Covered by Prefecture／計 Total／全部支給 Full payment,都道府県知事支給対象者 Covered by Prefecture／計 Total／一部支給 Partial payment,都道府県知事支給対象者 Covered by Prefecture／停止 Discontinued,国支給対象者 Covered by the State／計 Total,国支給対象者 Covered by the State／計 Total／全部支給 Full payment,国支給対象者 Covered by the State／計 Total／一部支給 Partial payment,国支給対象者 Covered by the State／停止 Discontinued
平成28,2016,0,13000,東京都,Tokyo-to,77399,40801,36598,16721,77399,40801,36598,16720,-,-,-,1
平成29,2017,0,13000,東京都,Tokyo-to,74679,38002,36677,17551,74678,38002,36676,17551,1,-,1,-
平成30,2018,0,13000,東京都,Tokyo-to,72246,43119,29127,18167,72245,43118,29127,18167,1,1,-,-
令和元,2019,0,13000,東京都,Tokyo-to,68960,40588,28372,19017,68960,40588,28372,19017,-,-,-,-
令和2,2020,0,13000,東京都,Tokyo-to,67094,38559,28535,19454,67094,38559,28535,19454,-,-,-,-
令和2,2020,1,13100,区部,All ku,43126,24728,18398,13524,43126,24728,18398,13524,-,-,-,-
令和2,2020,2,13101,千代田区,Chiyoda-ku,185,92,93,89,185,92,93,89,-,-,-,-
令和2,2020,2,13102,中央区,Chuo-ku,618,341,277,236,618,341,277,236,-,-,-,-
令和2,2020,2,13103,港区,Minato-ku,905,549,356,376,905,549,356,376,-,-,-,-
令和2,2020,2,13104,新宿区,Shinjuku-ku,1315,801,514,433,1315,801,514,433,-,-,-,-
令和2,2020,2,13105,文京区,Bunkyo-ku,523,264,259,353,523,264,259,353,-,-,-,-
令和2,2020,2,13106,台東区,Taito-ku,853,505,348,232,853,505,348,232,-,-,-,-
令和2,2020,2,13107,墨田区,Sumida-ku,1417,806,611,429,1417,806,611,429,-,-,-,-
令和2,2020,2,13108,江東区,Koto-ku,2527,1397,1130,848,2527,1397,1130,848,-,-,-,-
令和2,2020,2,13109,品川区,Shinagawa-ku,1412,730,682,708,1412,730,682,708,-,-,-,-
令和2,2020,2,13110,目黒区,Meguro-ku,795,406,389,328,795,406,389,328,-,-,-,-
令和2,2020,2,13111,大田区,Ota-ku,3074,1696,1378,1162,3074,1696,1378,1162,-,-,-,-
令和2,2020,2,13112,世田谷区,Setagaya-ku,2706,1437,1269,1131,2706,1437,1269,1131,-,-,-,-
令和2,2020,2,13113,渋谷区,Shibuya-ku,689,394,295,210,689,394,295,210,-,-,-,-
令和2,2020,2,13114,中野区,Nakano-ku,1028,589,439,313,1028,589,439,313,-,-,-,-
令和2,2020,2,13115,杉並区,Suginami-ku,1536,786,750,659,1536,786,750,659,-,-,-,-
