年度,Fiscal year,会社名,Company name,系統,Line,旅客営業キロ Passanger rail length(km),駅数 Stations,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets
平成28,2016,総数,Total,,,406.8,373,33780108,21255283,12524827
平成29,2017,総数,Total,,,406.8,373,34327818,21611883,12715934
平成30,2018,総数,Total,,,406.8,373,34836197,21922207,12913990
令和元,2019,総数,Total,,,406.8,373,34648315,22110976,12537337
令和2,2020,総数,Total,,,406.8,373,22663242,14923036,7740207
令和2,2020,小田急電鉄,Odakyu Electric Railway,,,26.5,23,3248490,2161185,1087305
令和2,2020,小田急電鉄,Odakyu Electric Railway,小田原線,Odawara Line,21.3,20,3173905,2111067,1062838
令和2,2020,小田急電鉄,Odakyu Electric Railway,多摩線,Tama Line,5.2,3,74585,50118,24467
令和2,2020,西武鉄道,Seibu Railway,,,93.4,71,4873452,3359354,1514098
令和2,2020,西武鉄道,Seibu Railway,池袋線,Ikebukuro Line,21.8,16,2286614,1578566,708048
令和2,2020,西武鉄道,Seibu Railway,西武有楽町線,Seibu Yurakucho Line,2.6,3,97813,64050,33763
令和2,2020,西武鉄道,Seibu Railway,豊島線,Toshima Line,1,2,3511,2066,1445
令和2,2020,西武鉄道,Seibu Railway,山口線,Yamaguchi Line,0.3,1,124,45,79
令和2,2020,西武鉄道,Seibu Railway,新宿線,Shinjuku Line,26,21,2003305,1385867,617438
令和2,2020,西武鉄道,Seibu Railway,拝島線,Haijima Line,14.3,8,249355,171097,78258
令和2,2020,西武鉄道,Seibu Railway,西武園線,Seibuen Line,2.4,2,2221,1282,939
令和2,2020,西武鉄道,Seibu Railway,国分寺線,Kokubunji Line,7.8,5,129493,91568,37925
令和2,2020,西武鉄道,Seibu Railway,多摩湖線,Tamako Line,9.2,7,57638,35862,21776
令和2,2020,西武鉄道,Seibu Railway,多摩川線,Tamagawa Line,8,6,43378,28951,14427
令和2,2020,東京急行電鉄,Tokyu Corporation,,,60,75,3937562,2491770,1445793
令和2,2020,東京急行電鉄,Tokyu Corporation,東横線,Toyoko Line,9,9,1174476,708062,466413
令和2,2020,東京急行電鉄,Tokyu Corporation,目黒線,Meguro Line,7.3,9,379687,241269,138418
令和2,2020,東京急行電鉄,Tokyu Corporation,田園都市線,Den-En-Toshi Line,11.8,10,1414018,940674,473344
令和2,2020,東京急行電鉄,Tokyu Corporation,大井町線,Oimachi Line,10.4,15,532436,324591,207845
令和2,2020,東京急行電鉄,Tokyu Corporation,池上線,Ikegami Line,10.9,15,264628,168814,95815
令和2,2020,東京急行電鉄,Tokyu Corporation,東急多摩川線,Tokyu Tamagawa Line,5.6,7,135436,88742,46694
令和2,2020,東京急行電鉄,Tokyu Corporation,世田谷線,Setagaya Line,5,10,36881,19618,17264
令和2,2020,京浜急行電鉄,Keikyu Corporation,,,18.3,20,1222378,723917,498461
令和2,2020,京浜急行電鉄,Keikyu Corporation,本線,Main Line,11.8,14,1060973,666125,394848
令和2,2020,京浜急行電鉄,Keikyu Corporation,空港線,Airport Line,6.5,6,161405,57792,103613
令和2,2020,京王電鉄,Keio Corporation,,,77.6,66,4882677,3136811,1745866
令和2,2020,京王電鉄,Keio Corporation,京王線,Keio Line,64.9,50,4144920,2703849,1441071
令和2,2020,京王電鉄,Keio Corporation,井の頭線,Inokashira Line,12.7,17,737757,432962,304795
令和2,2020,京成電鉄,Keisei Electric Railway,,,23.9,19,870984,576862,294122
令和2,2020,京成電鉄,Keisei Electric Railway,本線,Main Line,15.7,12,543743,345964,197779
令和2,2020,京成電鉄,Keisei Electric Railway,押上線,Oshiage Line,5.7,6,308439,218257,90182
令和2,2020,京成電鉄,Keisei Electric Railway,金町線,Kanamachi Line,2.5,3,18802,12641,6161
令和2,2020,東武鉄道,Tobu Railway ,,,28.2,28,2143954,1514063,629891
令和2,2020,東武鉄道,Tobu Railway ,東武ｽｶｲﾂﾘｰﾗｲﾝ,Tobu Skytree Line,13.4,13,1055897,755303,300594
令和2,2020,東武鉄道,Tobu Railway ,大師線,Daishi Line,1,2,3944,2702,1242
令和2,2020,東武鉄道,Tobu Railway ,亀戸線,Kameido Line,3.4,5,24666,16120,8546
令和2,2020,東武鉄道,Tobu Railway ,東上線,Tojo Line,10.4,10,1059447,739938,319509
令和2,2020,北総鉄道,Hokuso Railway,,,2,2,22684,16738,5946
令和2,2020,北総鉄道,Hokuso Railway,北総線,Hokuso Line,2,2,22684,16738,5946
令和2,2020,高尾登山電鉄,Takao Tozan Railway,,,1.9,4,1147,23,1124
令和2,2020,高尾登山電鉄,Takao Tozan Railway,清滝高尾山,Kiyotaki-Takaosan,1,2,621,23,598
令和2,2020,高尾登山電鉄,Takao Tozan Railway,リフト,Chair Lift,0.9,2,526,0,526
令和2,2020,東京モノレール,Tokyo Monorail,,,17.8,11,231187,122161,109026
令和2,2020,御岳登山鉄道,Mitake Tozan Railway,,,1.1,4,409,12,397
令和2,2020,御岳登山鉄道,Mitake Tozan Railway,滝本御岳山,Takimoto-Mitakesan,1,2,360,12,348
令和2,2020,御岳登山鉄道,Mitake Tozan Railway,リフト,Chair Lift,0.1,2,49,-,49
令和2,2020,ゆりかもめ,Yurikamome Inc. ,,,14.7,16,97574,35997,61577
令和2,2020,東京臨海高速鉄道,Tokyo Waterfront Area Rapid TransitInc.,,,12.2,8,298154,184025,114129
