年次,Year,月次 ,Month,件数 Total,負債額 (百万円) Liabilities (million yen),業種別件数 Number of cases  by industry／建設業 Construction,業種別件数 Number of cases by industry／製造業 Manufacturing,業種別件数 Number of cases by industry／情報通信業 Information and communications,業種別件数 Number of cases by industry／運輸業，郵便業 Transport and postal services,業種別件数 Number of cases by industry／卸売業 Wholesale,業種別件数 Number of cases by industry／小売業 Retail,業種別件数 Number of cases by industry／不動産業 Real estate,業種別件数 Number of cases by industry／宿泊業，飲食サービス業 Accommodations， eating and drinking services,業種別件数 Number of cases by industry／教育，学習支援業・医療，福祉 Education， learning support， medical， health care and welfare,業種別件数 Number of cases by industry／サービス業 Services,業種別件数 Number of cases by industry／その他 Others,原因別件数 Number of cases by cause／販売不振 Sluggish sales,原因別件数 Number of cases by cause／既往のしわ寄せ (赤字累積) Accumulating deficits,原因別件数 Number of cases by cause／売掛金等回収難 Trouble with account receivable collection,原因別件数 Number of cases by cause／放漫経営 Lax management,原因別件数 Number of cases by cause／過小資本 Insufficient capital,原因別件数 Number of cases by cause／他社倒産の余波 Impact of another company's bankruptcy,原因別件数 Number of cases by cause／信用性低下 Declining credibility,原因別件数 Number of cases by cause／在庫状態悪化 Poor inventory control,原因別件数 Number of cases by cause／設備投資過大 Excessive capital investment,原因別件数 Number of cases by cause／その他 Others
平成28,2016,総数,Total,1654,317925,182,150,192,30,358,186,71,112,38,308,27,1186,164,7,116,36,105,6,-,2,32
平成29,2017,総数,Total,1712,2129114,190,135,197,27,354,160,66,147,43,375,18,1274,139,8,101,33,122,2,-,2,31
平成30,2018,総数,Total,1531,505224,160,135,191,23,287,165,67,111,46,329,17,1120,120,9,92,19,109,11,-,8,43
平成31･令和元,2019,総数,Total,1580,379313,180,133,191,23,288,185,56,129,53,330,12,1175,116,11,106,36,94,6,1,3,32
令和2,2020,総数,Total,1392,239239,130,88,140,19,260,150,71,154,59,310,11,1022,106,6,89,32,108,5,-,5,19
令和2,2020,1,Jan.,116,9860,9,9,8,3,31,14,1,14,6,21,-,87,9,-,10,3,5,-,-,-,2
令和2,2020,2,Feb.,128,21831,14,5,9,2,22,15,7,9,7,37,1,93,13,2,5,6,9,-,-,-,-
令和2,2020,3,Mar.,146,30777,16,10,23,1,25,16,7,16,4,28,-,118,10,2,6,4,5,1,-,-,-
令和2,2020,4,Apr.,108,37570,9,5,8,-,19,16,5,18,4,21,3,79,8,-,5,5,9,1,-,-,1
令和2,2020,5,May,40,20087,7,6,2,1,10,3,1,2,1,6,1,28,7,-,-,-,4,-,-,-,1
令和2,2020,6,June,119,21070,8,9,14,2,28,6,11,10,5,25,1,77,10,2,16,1,12,-,-,-,1
令和2,2020,7,July,151,26699,8,13,17,6,25,19,8,16,7,32,-,118,11,-,6,1,10,1,-,2,2
令和2,2020,8,Aug.,127,13312,13,5,20,1,28,11,7,12,5,25,-,100,8,-,4,3,8,-,-,-,4
令和2,2020,9,Sept.,106,14545,8,8,8,1,19,13,6,17,1,23,2,81,9,-,7,2,4,-,-,1,2
令和2,2020,10,Oct.,111,8169,14,3,10,2,16,13,3,11,5,33,1,79,6,-,6,5,13,1,-,-,1
令和2,2020,11,Nov.,109,19615,5,8,8,-,19,8,8,14,10,29,-,71,4,-,13,1,14,1,-,1,4
令和2,2020,12,Dec.,131,15704,19,7,13,-,18,16,7,15,4,30,2,91,11,-,11,1,15,-,-,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　15  金融 15  FINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,
15-10  企業倒産状況 （平成28年～令和2年） 15-10  COMPANY BANKRUPTCIES ( 2016-2020 ),,,,,,,,,,,,,,,,,,,,,,,,,,
倒産した企業のうち負債額1000万円以上のもの。,,,,,,,,,,,,,,,,,,,,,,,,,,
Bankrupt companies with liabilities of 10 million yen or more.,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都産業労働局総務部企画計理課 「東京の企業倒産状況」 ( (株) 東京商工リサーチ調べ) Source: Bureau of Industrial and Labor Affairs， TMG ( Tokyo Shoko Research， Ltd. survey ),,,,,,,,,,,,,,,,,,,,,,,,,,
