事業階層,事業,Program,施設総数 Total facilities,公営 Public management／施設数 Facilities,公営 Public management／定員 Capacity,公営 Public management／在所者数 Service users,私営 Private management／施設数 Facilities,私営 Private management／定員 Capacity,私営 Private management／在所者数 Service users
0,総数,Total,7056,1462,76075,75918,5594,321665,277809
1,保護施設,Public assistance facilities,40,-,-,-,40,2323,2170
2,救護施設,Relief facilities,10,-,-,-,10,911,1002
2,更生施設,Rehabilitation facilities,11,-,-,-,11,850,875
2,医療保護施設,Medical facilities for persons requiring public assistance,10,-,…,…,10,…,…
2,授産施設（生活保護法）,Vocational facilities (Public Assistance Act),-,-,-,-,-,-,-
2,宿所提供施設（生活保護法）,Facilities providing accommodation (Public Assistance Act),9,-,-,-,9,562,293
1,老人福祉施設,Welfare facilities for the elderly,354,108,-,-,246,7509,7264
2,養護老人ホーム(一般）,Nursing homes (general),31,-,-,-,31,3311,3213
2,養護老人ホーム(盲),Nursing homes (visually impaired),1,-,-,-,1,100,98
2,軽費老人ホーム（A型),Low-cost homes (type A),8,-,-,-,8,600,598
2,軽費老人ホーム（B型),Low-cost homes (type B),-,-,-,-,-,-,-
2,軽費老人ホーム （ケアハウス）,Low-cost homes (care house),44,-,-,-,44,2137,2048
2,都市型軽費老人ホーム,Urban-style low-cost homes ,79,-,-,-,79,1361,1307
2,老人福祉センター（特A型）,Welfare centers (special type A),-,-,…,…,-,…,…
2,老人福祉センター（A型),Welfare centers (type A),64,26,…,…,38,…,…
2,老人福祉センター（B型),Welfare centers (type B),127,82,…,…,45,…,…
1,障害者支援施設等,Support facilities for persons with impairments， etc.,267,7,136,-,260,8259,6139
2,障害者支援施設,Support facilities  ,94,-,-,-,94,5160,5999
2,地域活動支援センター,Local activity support centers,160,7,136,…,153,2946,…
2,福祉ホーム,Group homes ,13,-,-,-,13,153,140
1,身体障害者社会参加支援施設,Support facilities for social participation of  persons with physical impairments,24,5,-,…,19,-,…
2,身体障害者福祉センター（Ａ型）,Welfare centers (type A),2,-,…,…,2,…,…
