項目階層,項目,Item,平成29年度 Fiscal year 2017／実数 Value,平成29年度 Fiscal year 2017／構成比 Percentage Distribution (%),平成29年度 Fiscal year 2017／対前年度増加率 Percent changes from previous fiscal year (%),平成30年度 Fiscal year 2018／実数 Value,平成30年度 Fiscal year 2018／構成比 Percentage Distribution (%),平成30年度 Fiscal year 2018／対前年度増加率 Percent changes from previous fiscal year (%)
0,都民雇用者報酬,Prefectural compensation of employees,39245.7,53.1,2.3,40360.9,53.9,2.8
1,賃金・俸給,Wages and salaries,31866.6,43.1,2.2,32777.1,43.8,2.9
1,雇主の社会負担,Employers' social contributions,7379.1,10,3.1,7583.8,10.1,2.8
3,雇主の現実社会負担,Employers' actual social contributions,7624.8,10.3,4.4,7798.6,10.4,2.3
3,雇主の帰属社会負担,Employers' imputed social contributions,-245.7,-0.3,-62.5,-214.9,-0.3,12.6
0,財産所得 (非企業部門）,Property income (unincorporated enterprises),7639.7,10.3,1.2,8590.4,11.5,12.4
3,受取,Receivable,10629,14.4,0.2,11500.1,15.4,8.2
3,支払,Payable,2989.3,4,-2.2,2909.7,3.9,-2.7
1,一般政府,General government,-568.9,-0.8,7.7,-280.3,-0.4,50.7
3,受取,Receivable,2305.3,3.1,-0.8,2526.9,3.4,9.6
3,支払,Payable,2874.2,3.9,-2.2,2807.2,3.8,-2.3
1,家計,Households,8167.5,11.1,0.5,8825,11.8,8
2,利子,Interest,1213.7,1.6,-8.8,1430.8,1.9,17.9
3,受取,Receivable,1322.3,1.8,-8.3,1525.5,2,15.4
3,支払 (消費者負債利子),Payable (consumer debt interest),108.6,0.1,-2.4,94.7,0.1,-12.8
2,配当 (受取）,Dividends， receivable,2561.2,3.5,-0.4,3186.3,4.3,24.4
2,その他の投資所得 (受取),Other investment income， receivable,2822.2,3.8,1.3,2842.1,3.8,0.7
2,賃貸料 (受取),Rent， receivable,1570.4,2.1,8.7,1365.7,1.8,-13
1,対家計民間非営利団体,Private non-profit institutions serving households,41,0.1,13.2,45.7,0.1,11.3
3,受取,Receivable,47.6,0.1,10.6,53.4,0.1,12.4
3,支払,Payable,6.5,0,-3.4,7.8,0,18.8
0,企業所得 (企業部門の第1次所得バランス）,Entrepreneurial income (primary income balance),27009.2,36.6,-2.4,25893.3,34.6,-4.1
1,民間法人企業,Private corporations,19752.1,26.7,-4.6,18423.5,24.6,-6.7
1,公的企業,Public corporations,2076.5,2.8,3.9,1984.9,2.7,-4.4
1,個人企業,Private unincorporated enterprises ,5180.6,7,3.9,5484.9,7.3,5.9
3,農林水産業,Agriculture， forestry and fishing,5.2,0,-29.4,1.3,0,-75.3
3,その他の産業 (非農林水・非金融),Others,1703.4,2.3,15.2,2001.2,2.7,17.5
3,持ち家,Imputed service of owner-occupied dwellings,3472,4.7,-0.8,3482.4,4.7,0.3
0,都民所得（要素費用表示）,Prefectural income(at factor cost),73894.5,100,0.4,74844.5,100,1.3
0,生産・輸入品に課される税 (控除) 補助金,Taxes on production and imports less subsidies,5541.5,7.5,0.4,5614.6,7.5,1.3
0,都民所得 (市場価格表示),Prefectural income (at market prices),79436,107.5,0.4,80459.1,107.5,1.3
,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　16  都民経済計算 16  TOKYO METROPOLITAN ACCOUNTS ,,,,,,,,
16-3  都民所得の分配 (名目) (平成29，30年度) 16-3  DISTRIBUTION OF PREFECTURAL INCOME (AT CURRENT PRICES) ( Fiscal Years 2017 and 2018 ),,,,,,,,
資料：都総務局統計部調整課「都民経済計算年報」Source: Bureau of General Affairs， TMG,,,,,,,,
項目階層（0:大項目　1:中項目　2:小項目　3:項目）,,,,,,,,
