年次,Year,区分階層,項番 Item number,裁判所,Court,総数 Total／新受 Newly received,総数 Total／既済 Disposed,総数 Total／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／通常訴訟 Ordinary litigation／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／通常訴訟 Ordinary litigation／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／通常訴訟 Ordinary litigation／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟 Small claims litigation／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟 Small claims litigation／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟 Small claims litigation／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟判決に対する異議申立て Objection to small claims judgment／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟判決に対する異議申立て Objection to small claims judgment／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／少額訴訟判決に対する異議申立て Objection to small claims judgment／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／手形・小切手訴訟 Action on bills and notes or checks／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／手形・小切手訴訟 Action on bills and notes or checks／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／手形・小切手訴訟 Action on bills and notes or checks／未済 Pending,民事訴訟事件 Civil procedures／第一審 First instance／行政訴訟 Administrative litigation／新受 Newly received,民事訴訟事件 Civil procedures／第一審 First instance／行政訴訟 Administrative litigation／既済 Disposed,民事訴訟事件 Civil procedures／第一審 First instance／行政訴訟 Administrative litigation／未済 Pending,控訴審通常訴訟 Ordinary appeal to court of second instance／新受 Newly received,控訴審通常訴訟 Ordinary appeal to court of second instance／既済 Disposed,控訴審通常訴訟 Ordinary appeal to court of second instance／未済 Pending,再審 Retrial procedure／新受 Newly received,再審 Retrial procedure／既済 Disposed,再審 Retrial procedure／未済 Pending,調停事件 Conciliation cases／新受 Newly received,調停事件 Conciliation cases／既済 Disposed,調停事件 Conciliation cases／未済 Pending,和解 Settlement／新受 Newly received,和解 Settlement／既済 Disposed,和解 Settlement／未済 Pending,督促 Demand for payment／新受 Newly received,督促 Demand for payment／既済 Disposed,督促 Demand for payment／未済 Pending,保全命令 Temporary restraining order／新受 Newly received,保全命令 Temporary restraining order／既済 Disposed,保全命令 Temporary restraining order／未済 Pending,その他の事件 Other cases／新受 Newly received／労働審判 Labor tribunal decisions,その他の事件 Other cases／新受 Newly received／借地非訟 Non-contentious tenancy cases,その他の事件 Other cases／新受 Newly received／強制執行 Compulsory execution,その他の事件 Other cases／新受 Newly received／担保権実行 Exercise of security rights,その他の事件 Other cases／新受 Newly received／破産 Bankruptcy,その他の事件 Other cases／新受 Newly received／会社更生 Company rehabilitation,その他の事件 Other cases／新受 Newly received／公示催告 Public notification,その他の事件 Other cases／新受 Newly received／過料 Noncriminal fines,その他の事件 Other cases／新受 Newly received／その他 Others,その他の事件 Other cases／既済 Disposed,その他の事件 Other cases／未済 Pending
平成31･令和元,2019,0,,総数,Total,447303,446089,97021,173421,166918,57546,2402,2485,503,56,50,15,10,8,9,658,599,736,740,745,260,42,39,26,6254,6044,2218,441,437,55,126880,132064,2077,5450,5470,322,1150,208,15183,1820,11505,-,164,24147,76772,131230,33254
令和2,2020,0,,総数,Total,368670,348121,117557,159062,142434,74174,2179,2051,631,45,39,21,4,5,8,510,492,754,610,579,292,20,27,19,5275,5178,2315,279,286,48,84902,83496,3483,5251,5127,446,1210,167,13363,1552,10737,2,168,25833,57501,108407,35366
令和2,2020,1,,地方裁判所, District courts,102239,95757,65976,36745,32008,32793,-,-,-,-,-,-,4,4,7,510,492,754,610,579,292,18,24,18,539,480,452,-,-,-,-,-,-,4707,4587,434,1210,167,13152,1552,10737,2,-,9473,22813,57583,31226
令和2,2020,2,1,東京, Tokyo,88372,82094,58057,33610,29345,30277,-,-,-,-,-,-,3,3,5,510,492,754,610,579,292,18,23,18,511,447,444,-,-,-,-,-,-,4561,4449,416,1136,161,10101,1123,8807,2,-,7680,19539,46756,25851
令和2,2020,2,2,立川支部, Tachikawa Branch,13867,13663,7919,3135,2663,2516,-,-,-,-,-,-,1,1,2,-,-,-,-,-,-,-,1,-,28,33,8,-,-,-,-,-,-,146,138,18,74,6,3051,429,1930,-,-,1793,3274,10827,5375
令和2,2020,1,,簡易裁判所, Summary courts,266431,252364,51581,122317,110426,41381,2179,2051,631,45,39,21,-,1,1,-,-,-,-,-,-,2,3,1,4736,4698,1863,279,286,48,84902,83496,3483,544,540,12,-,-,211,-,-,-,168,16360,34688,50824,4140
令和2,2020,2,1,東京, Tokyo,250981,236682,49953,118310,106243,40370,1928,1808,553,41,34,18,-,1,1,-,-,-,-,-,-,2,3,1,4272,4190,1696,270,277,46,79782,78394,3390,533,529,12,-,-,200,-,-,-,158,12865,32620,45203,3866
令和2,2020,2,2,八丈島, Hachijojima ,83,83,2,6,6,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,-,-,-,12,12,-,-,-,-,-,-,-,-,-,-,-,54,8,62,-
令和2,2020,2,3,伊豆大島, Izu-oshima ,21,21,1,2,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,-,-,-,-,-,-,-,-,-,-,-,4,5,9,-
令和2,2020,2,4,新島, Niijima,14,14,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,-,2,3,5,-
令和2,2020,2,5,八王子, Hachioji ,3663,3616,497,1379,1448,334,46,40,16,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,68,78,23,2,2,-,1090,1068,22,3,3,-,-,-,1,-,-,-,1,608,463,974,102
令和2,2020,2,6,立川, Tachikawa,4082,4184,427,772,823,236,80,87,24,2,2,3,-,-,-,-,-,-,-,-,-,-,-,-,127,147,52,4,3,1,1487,1491,29,4,4,-,-,-,8,-,-,-,4,987,607,1627,82
令和2,2020,2,7,武蔵野, Musashino,4227,4281,431,1103,1122,269,55,58,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,147,144,67,3,4,1,1347,1331,34,1,1,-,-,-,1,-,-,-,3,1088,479,1621,44
令和2,2020,2,8,青梅, Ome,1167,1265,87,221,237,61,15,11,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,45,6,-,-,-,377,377,1,3,3,-,-,-,-,-,-,-,1,359,163,592,14
令和2,2020,2,9,町田, Machida,2193,2218,183,523,544,109,54,46,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92,92,18,-,-,-,789,805,7,-,-,-,-,-,1,-,-,-,1,393,340,731,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-2  民事事件の種類，裁判所別件数 （平成31･令和元， 令和2年） 20-2 CIVIL CASES BY KIND AND COURT ( 2019 and 2020 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：東京地方裁判所事務局総務課 Source: Tokyo District Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
区分階層(0:総数　1:区分　2:区分内訳),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
