年度末,End of fiscal year,地域階層,地域コード,地域,District,終末処理場数 Sewerage treatment plants,ポンプ所数 Pumping stations,事務所数 Sewerage offices,下水道暗きょ Sewer pipes／総数 Total (m),下水道暗きょ Sewer pipes／幹線 Trunk sewers (m),下水道暗きょ Sewer pipes／枝線 Branch sewers (m),マンホール数 (個) Manholes ,汚水枡数 (個) Sewage basins
平成30,2018,0,,総数,Total,20,85,8,16344316,1339546,15004770,487367,1947177
令和元,2019,0,,総数,Total,20,85,8,16368749,1346260,15022489,487907,1953493
令和2,2020,0,,総数,Total,20,85,8,16394031,1355725,15038306,488331,1958635
令和2,2020,1,13100,区部,All ku,13,83,7,16161841,1123535,15038306,487101,1958635
令和2,2020,2,13101,千代田区,Chiyoda-ku,-,1,1,298799,42269,256529,6707,26297
令和2,2020,2,13102,中央区,Chuo-ku,-,7,-,321230,26984,294246,7023,28099
令和2,2020,2,13103,港区,Minato-ku,1,4,-,469182,57155,412027,11566,41158
令和2,2020,2,13104,新宿区,Shinjuku-ku,1,-,-,491940,34622,457317,14393,62985
令和2,2020,2,13105,文京区,Bunkyo-ku,-,2,-,320963,48528,272435,8838,39235
令和2,2020,2,13106,台東区,Taito-ku,-,2,1,375465,44947,330518,8753,45240
令和2,2020,2,13107,墨田区,Sumida-ku,-,5,-,374477,29526,344951,10419,50270
令和2,2020,2,13108,江東区,Koto-ku,2,20,1,747993,46532,701461,17003,54964
令和2,2020,2,13109,品川区,Shinagawa-ku,-,7,-,451984,35462,416522,13266,69058
令和2,2020,2,13110,目黒区,Meguro-ku,-,-,-,354804,22750,332054,12104,60446
令和2,2020,2,13111,大田区,Ota-ku,1,10,1,1208322,83002,1125320,35851,159626
令和2,2020,2,13112,世田谷区,Setagaya-ku,-,-,-,1609972,106252,1503720,52681,202805
令和2,2020,2,13113,渋谷区,Shibuya-ku,-,-,-,313795,15749,298046,10431,52333
令和2,2020,2,13114,中野区,Nakano-ku,1,-,1,440539,30115,410424,14215,76459
令和2,2020,2,13115,杉並区,Suginami-ku,-,-,-,823629,45165,778464,24484,118294
令和2,2020,2,13116,豊島区,Toshima-ku,-,-,-,400470,29778,370691,14008,69886
令和2,2020,2,13117,北区,Kita-ku,1,2,1,479794,27639,452155,14113,68917
令和2,2020,2,13118,荒川区,Arakawa-ku,1,3,-,316106,35702,280404,8483,46339
令和2,2020,2,13119,板橋区,Itabashi-ku,1,1,-,801545,63883,737662,26198,108555
令和2,2020,2,13120,練馬区,Nerima-ku,-,-,-,1293769,68324,1225445,43296,162260
令和2,2020,2,13121,足立区,Adachi-ku,2,6,-,2118474,109726,2008748,64830,161034
令和2,2020,2,13122,葛飾区,Katsushika-ku,1,7,1,1021416,53348,968067,33669,118068
令和2,2020,2,13123,江戸川区,Edogawa-ku,1,6,-,1127174,66074,1061100,34770,136307
令和2,2020,1,,流域下水道,Regional sewerage system,7,2,1,232190,232190, - ,1230, - 
,,,,,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　6  電気・上下水道 6  ELECTRICITY， WATERWORKS， AND SEWERAGE,,,,,,,,,,,,,
6-7 地域別下水道施設及び付属設備（平成30～令和2年度末） 6-7  SEWERAGE FACILITIES AND EQUIPMENT BY DISTRICT ( End of Fiscal Years 2018-2020 ),,,,,,,,,,,,,
この表は都下水道局の事業実績である。,,,,,,,,,,,,,
Data here are business figures of the Bureau of Sewerage， TMG.,,,,,,,,,,,,,
資料：都下水道局総務部広報サービス課 Source: Bureau of Sewerage， TMG ,,,,,,,,,,,,,
地域階層（0:総数　1:区部・流域下水道　2:区市町村）,,,,,,,,,,,,,
