地域階層,地域コード,地域,District,総数 Total,一般行政職 General administrative services,税務職 Tax services,医師・歯科医師職 Physicians and dentists,薬剤師医療技術職(栄養士含む） Pharmacists and medical technicians (includes nutritionists),看護保健職 Nursing and public health services,福祉職 Social welfare services,消防職 Firefighting services,企業職 Public enterprise employees,技能労務職 Vocational labor,教育職 Educational services,臨時職員 Temporary employees
0,13200,市部,All shi,24920,15999,1657,72,534,998,2127,108,1838,1482,105,-
1,13201,八王子市,Hachioji-shi,2880,2021,210,3,104,85,128,-,-,312,17,-
1,13202,立川市,Tachikawa-shi,1077,764,73,-,21,32,100,-,-,84,3,-
1,13203,武蔵野市,Musashino-shi,948,683,66,-,17,46,99,-,19,15,3,-
1,13204,三鷹市,Mitaka-shi,986,631,73,-,37,33,150,-,-,59,3,-
1,13205,青梅市,Ome-shi,1504,558,63,-,4,22,-,-,782,73,2,-
1,13206,府中市,Fuchu-shi,1322,854,89,-,28,57,211,-,-,70,13,-
1,13207,昭島市,Akishima-shi,640,477,48,-,7,17,21,-,25,42,3,-
1,13208,調布市,Chofu-shi,1297,897,90,-,30,44,143,-,-,90,3,-
1,13209,町田市,Machida-shi,2965,1667,157,4,54,66,154,-,652,206,5,-
1,13210,小金井市,Koganei-shi,677,398,61,-,19,17,131,-,-,49,2,-
1,13211,小平市,Kodaira-shi,954,632,71,-,13,29,146,-,-,60,3,-
1,13212,日野市,Hino-shi,1449,720,62,65,86,263,149,-,-,87,17,-
1,13213,東村山市,Higashimurayama-shi,786,540,55,-,16,22,112,-,-,38,3,-
1,13214,国分寺市,Kokubunji-shi,647,452,46,-,12,25,70,-,-,40,2,-
1,13215,国立市,Kunitachi-shi,480,322,43,-,13,19,74,-,-,7,2,-
1,13218,福生市,Fussa-shi,392,329,28,-,-,15,-,-,-,17,3,-
1,13219,狛江市,Komae-shi,448,305,32,-,8,12,64,-,-,25,2,-
1,13220,東大和市,Higashiyamato-shi,473,379,38,-,2,14,21,-,-,17,2,-
1,13221,清瀬市,Kiyose-shi,447,324,35,-,4,14,41,-,-,27,2,-
1,13222,東久留米市,Higashikurume-shi,594,373,51,-,17,24,95,-,-,32,2,-
1,13223,武蔵村山市,Musashimurayama-shi,392,317,37,-,3,17,-,-,-,16,2,-
1,13224,多摩市,Tama-shi,849,676,56,-,9,38,22,-,13,32,3,-
1,13225,稲城市,Inagi-shi,868,330,42,-,4,14,28,108,330,10,2,-
1,13227,羽村市,Hamura-shi,376,306,27,-,1,15,-,-,17,8,2,-
1,13228,あきる野市,Akiruno-shi,460,370,37,-,4,15,21,-,-,11,2,-
1,13229,西東京市,Nishitokyo-shi,1009,674,67,-,21,43,147,-,-,55,2,-
,,,,,,,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,,,,,
22-5  職員数 (3) 市 (令和2年4月1日) 22-5  GOVERNMENT EMPLOYEES  (3) SHI ( Apr. 1， 2020 ),,,,,,,,,,,,,,,
注) 教育職には、教育長、小・中学校教員は含まない。,,,,,,,,,,,,,,,
Note: Educational services figures do not include the Director General (Office of Education) or teachers of elementary and junior high schools.,,,,,,,,,,,,,,,
資料：都総務局行政部区政課・市町村課 「東京都区市町村年報」 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,
地域階層（0:市部　1:区市町村）,,,,,,,,,,,,,,,
