年度,Fiscal year,種類 ,Kind,発生量 Generated,有償物量 Valuables recovered,排出量 Discharged,直接再生利用量 Direct recycle use 1,直接最終処分量 Direct final disposal 2,中間処理 Intermediate processing ／処理量 Processed 3,中間処理 Intermediate processing／処理残さ量 Residues 4,中間処理 Intermediate processing／処理後再生利用量 Recycled after processing 5,中間処理 Intermediate processing／最終処分量 Final disposal 6,再生利用量 Recycled 1＋5,減量化量 Reduced disposal 3-4,最終処分量 Final disposal 2＋6
平成27,2015,総数 ,Total,23811,112,23699,20,34,23645,10176,9604,572,9624,13469,606
平成28,2016,総数 ,Total,27014,91,26923,26,47,26850,10196,9663,533,9689,16654,580
平成29,2017,総数 ,Total,27376,92,27284,14,106,27164,9716,9238,478,9252,17448,584
平成30,2018,総数 ,Total,26685,125,26560,5,241,26314,9202,8788,414,8793,17112,655
令和元,2019,総数 ,Total,26650,161,26489,483,174,25832,8114,7681,432,8165,17718,607
令和元,2019,燃えがら ,Cinder,9,2,6,1,-,6,6,2,4,2,-,4
令和元,2019,汚でい ,Sludge,18223,37,18186,393,9,17784,1898,1615,283,2009,15886,291
令和元,2019,廃油 ,Waste oil,24,3,21,1,-,20,8,8,-,8,12,-
令和元,2019,廃酸 ,Waste acid,12,-,12,-,-,12,-,-,-,-,12,-
令和元,2019,廃アルカリ ,Waste alkaline,4,-,4,-,-,4,1,-,1,-,3,1
令和元,2019,廃プラスチック類 ,Waste plastics,353,5,349,1,14,334,111,94,17,94,223,31
令和元,2019,紙くず ,Paper scrap,55,8,47,8,1,38,18,16,1,24,20,2
令和元,2019,木くず ,Wood scrap,416,1,415,4,-,411,237,234,4,238,174,4
令和元,2019,繊維くず ,Textile scrap,3,-,3,-,-,3,1,1,-,1,2,-
令和元,2019,動植物性残さ ,Plant and animal scraps,56,7,49,-,-,49,-,-,-,-,49,-
令和元,2019,ゴムくず ,Rubber scrap,-,-,-,-,-,-,-,-,-,-,-,-
令和元,2019,金属くず ,Metal scrap,226,65,160,59,-,101,76,74,2,134,25,2
令和元,2019,ガラス・コンクリート・陶磁器くず ,Glass， concrete， and porcelain scrap,772,6,765,5,37,722,264,178,87,183,458,124
令和元,2019,鉱さい ,Slag,38,-,38,-,12,26,-,-,-,-,26,12
令和元,2019,がれき類 ,Rubble,5831,26,5805,10,-,5795,5163,5141,22,5151,631,22
令和元,2019,ばいじん ,Dust,7,-,7,-,-,7,1,1,-,1,7,-
令和元,2019,動物の糞尿 ,Animal excretions,38,-,38,1,-,37,10,10,-,10,27,-
令和元,2019,動物の死体 ,Animal carcasses,-,-,-,-,-,-,-,-,-,-,-,-
令和元,2019,混合廃棄物 ,Mixed waste,364,-,364,-,24,340,266,260,7,260,74,31
令和元,2019,その他の廃棄物 ,Other waste,111,-,111,-,64,46,36,35,1,36,10,65
令和元,2019,政令13号物 ,Wastes described in Art. 2-13， Cabinet Order on Waste Management & Public Cleansing Act ,1,-,1,-,-,1,-,-,-,-,-,-
令和元,2019,特別管理産業廃棄物 ,Specially controlled industrial waste,109,1,108,-,13,95,17,13,4,13,78,16
,,,,,,,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,
19-10  産業廃棄物処理・処分状況 (平成27～令和元年度) 19-10  PROCESSING AND DISPOSAL OF INDUSTRIAL WASTES ( Fiscal Years 2015-2019 ),,,,,,,,,,,,,,,
この表は， 推計である。　,,,,,,,,,,,,,,,
Figures are estimates.,,,,,,,,,,,,,,,
資料：都環境局資源循環推進部計画課 「東京都産業廃棄物経年変化実態調査報告書」 Source: Bureau of Environment， TMG,,,,,,,,,,,,,,,
（単位 千トン）(In thousands of tons),,,,,,,,,,,,,,,
