男女別階層,男女,Gender,年齢別階層,年齢(歳),Age(years old),総数 Total,脳血管疾患 Cerebro-vascular disease,悪性新生物〈腫瘍〉Malignant neoplasm,心疾患 Heart disease,肺炎 Pneumonia ,肝疾患 Liver disease,老衰 Senility,不慮の事故 Unforeseen accident,自殺 Suicide,その他の全死因 All other causes of death
0,総数 ,Total,0,総数,Total,121219,8760,34219,18310,6510,1946,11645,3113,2015,34701
0,総数 ,Total,1,0～14,0-14,265,3,26,11,4,-,-,15,12,194
0,総数 ,Total,1,15～19,15-19,110,-,9,3,-,-,-,11,66,21
0,総数 ,Total,1,20～24,20-24,237,1,18,5,1,1,-,18,156,37
0,総数 ,Total,1,25～29,25-29,267,4,22,7,1,4,-,19,149,61
0,総数 ,Total,1,30～34,30-34,311,11,52,19,-,4,-,23,136,66
0,総数 ,Total,1,35～39,35-39,477,30,114,36,4,19,-,30,147,97
0,総数 ,Total,1,40～44,40-44,847,76,220,96,10,56,-,31,175,183
0,総数 ,Total,1,45～49,45-49,1527,154,479,157,17,111,-,48,209,352
0,総数 ,Total,1,50～54,50-54,2302,199,803,266,35,170,-,99,180,550
0,総数 ,Total,1,55～59,55-59,2959,212,1270,339,27,173,-,85,157,696
0,総数 ,Total,1,60～64,60-64,3947,288,1738,459,82,185,5,108,130,952
0,総数 ,Total,1,65～69,65-69,6335,401,2926,802,160,228,15,158,112,1533
0,総数 ,Total,1,70～74,70-74,11231,743,4955,1443,367,246,77,288,125,2987
0,総数 ,Total,1,75～79,75-79,14881,1091,5840,1982,694,226,288,392,109,4259
0,総数 ,Total,1,80～,80 and over,75522,5547,15747,12685,5108,523,11260,1788,152,22712
0,総数 ,Total,1,不詳,Unreported,1,-,-,-,-,-,-,-,-,1
1,男 ,Male,0,総数,Total,63512,4432,19687,9288,3806,1389,3215,1762,1289,18644
1,男 ,Male,1,0～14,0-14,138,1,12,8,1,-,-,13,8,95
1,男 ,Male,1,15～19,15-19,64,-,7,3,-,-,-,8,37,9
1,男 ,Male,1,20～24,20-24,156,1,14,3,1,1,-,14,100,22
1,男 ,Male,1,25～29,25-29,157,4,10,6,-,2,-,12,88,35
1,男 ,Male,1,30～34,30-34,194,7,21,16,-,3,-,14,88,45
1,男 ,Male,1,35～39,35-39,301,25,40,29,3,18,-,21,103,62
1,男 ,Male,1,40～44,40-44,552,56,96,73,7,43,-,24,124,129
1,男 ,Male,1,45～49,45-49,953,107,200,136,12,82,-,37,130,249
1,男 ,Male,1,50～54,50-54,1483,137,367,234,27,149,-,65,115,389
1,男 ,Male,1,55～59,55-59,2022,159,677,298,20,143,-,60,108,557
1,男 ,Male,1,60～64,60-64,2748,206,1048,383,67,147,5,81,85,726
1,男 ,Male,1,65～69,65-69,4449,288,1896,627,128,196,9,107,68,1130
1,男 ,Male,1,70～74,70-74,7714,507,3250,1058,280,193,48,200,75,2103
1,男 ,Male,1,75～79,75-79,9494,652,3742,1237,498,161,152,252,74,2726
1,男 ,Male,1,80～,80 and over,33087,2282,8307,5177,2762,251,3001,854,86,10367
1,男 ,Male,1,不詳,Unreported,-,-,-,-,-,-,-,-,-,-
1,女 ,Female,0,総数,Total,57707,4328,14532,9022,2704,557,8430,1351,726,16057
1,女 ,Female,1,0～14,0-14,127,2,14,3,3,-,-,2,4,99
1,女 ,Female,1,15～19,15-19,46,-,2,-,-,-,-,3,29,12
1,女 ,Female,1,20～24,20-24,81,-,4,2,-,-,-,4,56,15
1,女 ,Female,1,25～29,25-29,110,-,12,1,1,2,-,7,61,26
1,女 ,Female,1,30～34,30-34,117,4,31,3,-,1,-,9,48,21
1,女 ,Female,1,35～39,35-39,176,5,74,7,1,1,-,9,44,35
1,女 ,Female,1,40～44,40-44,295,20,124,23,3,13,-,7,51,54
1,女 ,Female,1,45～49,45-49,574,47,279,21,5,29,-,11,79,103
1,女 ,Female,1,50～54,50-54,819,62,436,32,8,21,-,34,65,161
1,女 ,Female,1,55～59,55-59,937,53,593,41,7,30,-,25,49,139
1,女 ,Female,1,60～64,60-64,1199,82,690,76,15,38,-,27,45,226
1,女 ,Female,1,65～69,65-69,1886,113,1030,175,32,32,6,51,44,403
1,女 ,Female,1,70～74,70-74,3517,236,1705,385,87,53,29,88,50,884
1,女 ,Female,1,75～79,75-79,5387,439,2098,745,196,65,136,140,35,1533
1,女 ,Female,1,80～,80 and over,42435,3265,7440,7508,2346,272,8259,934,66,12345
1,女 ,Female,1,不詳,Unreported,1,-,-,-,-,-,-,-,-,1
,,,,,,,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,
19-4  年齢(5歳階級)，主要死因別死亡数 (令和2年) 19-4  DEATHS BY AGE ( FIVE-YEAR GROUPS ) AND PRINCIPAL CAUSES ( 2020 ),,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,,
男女別階層（0:総数　1:男・女）,,,,,,,,,,,,,,,
年齢階層（0:総数　1:各年齢）,,,,,,,,,,,,,,,
