年度,Fiscal year,区分,Classification,款,Item,当初予算額 Original budget,最終予算額 Final budget,決算額 Settlement
平成28,2016,歳入,Revenue,総数,Total,7011000,7048794,6779695
平成29,2017,歳入,Revenue,総数,Total,6954000,7226993,6964118
平成30,2018,歳入,Revenue,総数,Total,7046000,7572458,7515641
令和元,2019,歳入,Revenue,総数,Total,7461000,7804519,7671733
令和2,2020,歳入,Revenue,総数,Total,7354000,9747452,8688613
令和2,2020,歳入,Revenue,都税,Metropolitan taxes,5444618,5252517,5349831
令和2,2020,歳入,Revenue,地方譲与税,Local transfer tax,52907,49513,47301
令和2,2020,歳入,Revenue,助成交付金,Subsidies and grants,34,34,34
令和2,2020,歳入,Revenue,地方特例交付金,Special local grants,7887,7887,8976
令和2,2020,歳入,Revenue,特別交付金,Special grants,2966,2966,2950
令和2,2020,歳入,Revenue,分担金及負担金,Beneficiary contribution,18694,18171,10247
令和2,2020,歳入,Revenue,使用料及手数料,Charges and fees,88241,88194,75836
令和2,2020,歳入,Revenue,国庫支出金,National treasury disbursements,378007,1880276,1200274
令和2,2020,歳入,Revenue,財産収入,Revenue from property,35804,35910,25680
令和2,2020,歳入,Revenue,寄附金,Contributions,61,1111,1278
令和2,2020,歳入,Revenue,繰入金,Funds transferred,770059,1323852,686895
令和2,2020,歳入,Revenue,諸収入,Miscellaneous,346285,369797,581016
令和2,2020,歳入,Revenue,都債,Metropolitan bonds,208437,490120,471188
令和2,2020,歳入,Revenue,繰越金,Balance brought forward,1,227105,227105
平成28,2016,歳出,Expenditure,総数,Total,7011000,7048794,6598877
平成29,2017,歳出,Expenditure,総数,Total,6954000,7226993,6693202
平成30,2018,歳出,Expenditure,総数,Total,7046000,7572458,7234822
令和元,2019,歳出,Expenditure,総数,Total,7461000,7804519,7444627
令和2,2020,歳出,Expenditure,総数,Total,7354000,9747452,8486952
令和2,2020,歳出,Expenditure,議会費,Metropolitan assembly,6079,5521,5103
令和2,2020,歳出,Expenditure,総務費,General services,225522,300151,273817
令和2,2020,歳出,Expenditure,徴税費,Tax collection,72481,69740,68083
令和2,2020,歳出,Expenditure,生活文化費,Citizens and cultural affairs,29682,33965,29689
令和2,2020,歳出,Expenditure,スポーツ振興費,Sports promotion,335447,168174,100449
令和2,2020,歳出,Expenditure,都市整備費,Urban development,140448,109961,91709
令和2,2020,歳出,Expenditure,環境費,Environmental protection,59324,58380,48239
令和2,2020,歳出,Expenditure,福祉保健費,Welfare and public health,1240377,1983608,1760705
令和2,2020,歳出,Expenditure,産業労働費,Industry and labor ,433976,2069240,1394876
令和2,2020,歳出,Expenditure,土木費,Civil engineering works,583235,529123,427235
令和2,2020,歳出,Expenditure,港湾費,Port and harbor,113327,118303,85480
令和2,2020,歳出,Expenditure,教育費,Education,867498,856197,813960
令和2,2020,歳出,Expenditure,学務費,School affairs,235525,231807,219400
令和2,2020,歳出,Expenditure,警察費,Police,666442,651822,636345
令和2,2020,歳出,Expenditure,消防費,Fire fighting,255623,252272,246947
令和2,2020,歳出,Expenditure,公債費,Debt services,349040,349040,346950
令和2,2020,歳出,Expenditure,諸支出金,Miscellaneous,1734974,1957962,1937967
令和2,2020,歳出,Expenditure,予備費,Reserve funds,5000,2188,-
,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　21  財政 21  PUBLIC FINANCE,,,,,,,,
21-2  一般会計款別予算，決算額 (平成28～令和2年度) 21-2  BUDGET AND SETTLEMENT BY GENERAL ACCOUNT ITEM ( Fiscal Years 2016-2020 ),,,,,,,,
注) 最終予算額は，前年度からの繰越額を含む。 ,,,,,,,,
Note: The final budget includes the balance brought forward from the previous fiscal year.,,,,,,,,
資料：都財務局主計部財政課 Source: Bureau of Finance， TMG,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,
