年度,Fiscal year,地域階層,地域コード,地域,District,身体障害者手帳交付台帳  Physical impairment certificate ledger data／年度末現在 As of the end of the fiscal year,身体障害者手帳交付台帳  Physical impairment certificate ledger data／新規交付 New issues,身体障害者手帳交付台帳  Physical impairment certificate ledger data／返還 Returned,身体障害者手帳交付台帳  Physical impairment certificate ledger data／他県より転入 In-migrants from other prefectures,身体障害者手帳交付台帳  Physical impairment certificate ledger data／他県へ転出 Out-migrants to other prefectures,身体障害者手帳交付台帳  Physical impairment certificate ledger data／都内より転入 In-migrants  within Tokyo,身体障害者手帳交付台帳  Physical impairment certificate ledger data／都内へ転出 Out-migrants within Tokyo,「愛の手帳」交付数（年度末現在） Intellectual impairment certificates issued (As of the end of the fiscal year) 1)
平成27,2015,0,13000,東京都,Tokyo-to,480798,21835,21418,2837,1673,11618,11583,82999
平成28,2016,0,13000,東京都,Tokyo-to,482656,22213,21498,2803,1660,11573,11573,85650
平成29,2017,0,13000,東京都,Tokyo-to,486563,22082,19163,2688,1980,10314,10359,88168
平成30,2018,0,13000,東京都,Tokyo-to,488171,22648,21872,2605,1798,10748,10723,90630
令和元,2019,0,13000,東京都,Tokyo-to,488905,22872,23163,2790,1805,10561,10521,93171
令和元,2019,1,13100,区部,All ku,336450,15463,15687,1927,1291,7325,7439,58359
令和元,2019,2,13101,千代田区,Chiyoda-ku,2417,87,73,22,5,47,48,237
令和元,2019,2,13102,中央区,Chuo-ku,3652,214,84,60,26,129,123,543
令和元,2019,2,13103,港区,Minato-ku,7970,378,249,60,30,242,267,1046
令和元,2019,2,13104,新宿区,Shinjuku-ku,13652,574,572,76,58,366,386,1647
令和元,2019,2,13105,文京区,Bunkyo-ku,6345,304,350,49,25,132,149,1042
令和元,2019,2,13106,台東区,Taito-ku,9775,398,391,71,32,221,233,1023
令和元,2019,2,13107,墨田区,Sumida-ku,9212,461,508,50,37,198,230,1750
令和元,2019,2,13108,江東区,Koto-ku,18942,829,965,88,78,347,380,3421
令和元,2019,2,13109,品川区,Shinagawa-ku,14414,608,590,74,61,246,272,2053
令和元,2019,2,13110,目黒区,Meguro-ku,7785,371,412,43,30,130,146,1315
令和元,2019,2,13111,大田区,Ota-ku,28176,1295,1147,137,78,414,431,4629
令和元,2019,2,13112,世田谷区,Setagaya-ku,24954,1271,1212,155,103,585,594,4624
令和元,2019,2,13113,渋谷区,Shibuya-ku,6741,320,287,44,34,160,171,929
令和元,2019,2,13114,中野区,Nakano-ku,10500,565,532,73,36,293,313,1643
令和元,2019,2,13115,杉並区,Suginami-ku,16257,793,759,108,57,355,376,2769
令和元,2019,2,13116,豊島区,Toshima-ku,10066,447,370,60,48,220,250,1387
令和元,2019,2,13117,北区,Kita-ku,17346,652,738,75,62,330,328,2572
令和元,2019,2,13118,荒川区,Arakawa-ku,9597,436,477,40,38,192,218,1386
令和元,2019,2,13119,板橋区,Itabashi-ku,21664,944,781,117,89,490,451,4096
令和元,2019,2,13120,練馬区,Nerima-ku,24360,1125,1261,140,93,584,548,5190
令和元,2019,2,13121,足立区,Adachi-ku,30494,1470,1588,166,104,773,706,5927
令和元,2019,2,13122,葛飾区,Katsushika-ku,17719,752,640,82,77,342,320,3540
令和元,2019,2,13123,江戸川区,Edogawa-ku,24412,1169,1701,137,90,529,499,5590
令和元,2019,1,13200,市部,All shi,148061,7243,7088,841,497,3134,3007,33925
令和元,2019,2,13201,八王子市,Hachioji-shi,15665,1068,1050,103,80,146,106,4773
令和元,2019,2,13202,立川市,Tachikawa-shi,7508,332,278,34,20,208,198,1559
令和元,2019,2,13203,武蔵野市,Musashino-shi,4293,198,220,26,9,122,117,1251
令和元,2019,2,13204,三鷹市,Mitaka-shi,5853,321,233,35,27,133,164,1272
令和元,2019,2,13205,青梅市,Ome-shi,6683,252,222,37,17,197,136,1258
令和元,2019,2,13206,府中市,Fuchu-shi,8716,450,462,43,34,215,203,2052
令和元,2019,2,13207,昭島市,Akishima-shi,3928,213,270,13,12,95,94,991
令和元,2019,2,13208,調布市,Chofu-shi,8877,377,275,44,24,167,167,1583
令和元,2019,2,13209,町田市,Machida-shi,16134,675,756,131,48,287,283,3881
令和元,2019,2,13210,小金井市,Koganei-shi,3258,158,158,27,12,65,69,732
令和元,2019,2,13211,小平市,Kodaira-shi,6840,323,254,27,21,160,153,1588
令和元,2019,2,13212,日野市,Hino-shi,6210,286,200,45,27,110,112,1433
令和元,2019,2,13213,東村山市,Higashimurayama-shi,7470,305,334,26,14,131,112,1431
令和元,2019,2,13214,国分寺市,Kokubunji-shi,3913,201,286,23,16,92,85,858
令和元,2019,2,13215,国立市,Kunitachi-shi,2637,143,119,13,10,77,73,587
令和元,2019,2,13218,福生市,Fussa-shi,2054,87,154,13,3,64,64,468
令和元,2019,2,13219,狛江市,Komae-shi,2743,120,120,13,11,44,45,494
令和元,2019,2,13220,東大和市,Higashiyamato-shi,3294,176,134,12,5,72,80,723
令和元,2019,2,13221,清瀬市,Kiyose-shi,4389,164,169,23,18,61,55,697
令和元,2019,2,13222,東久留米市,Higashikurume-shi,4531,267,244,20,16,90,98,1037
令和元,2019,2,13223,武蔵村山市,Musashimurayama-shi,3175,135,104,9,3,85,82,739
令和元,2019,2,13224,多摩市,Tama-shi,5175,250,297,40,26,128,141,1138
令和元,2019,2,13225,稲城市,Inagi-shi,2763,147,142,21,6,67,64,578
令和元,2019,2,13227,羽村市,Hamura-shi,1957,100,69,15,6,69,60,533
令和元,2019,2,13228,あきる野市,Akiruno-shi,2970,163,184,16,9,96,81,782
令和元,2019,2,13229,西東京市,Nishitokyo-shi,7025,332,354,32,23,153,165,1487
令和元,2019,1,13300,郡部,All gun,2732,112,339,17,10,66,42,632
令和元,2019,1,13350,島部,All islands,1662,54,49,5,7,36,33,244
,,,,,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,
18-3  身体障害者手帳交付台帳登載状況及び「愛の手帳」交付状況（平成27～令和元年度） 18-3  DATA FROM THE PHYSICAL IMPAIRMENT CERTIFICATE ISSUE LEDGER AND ISSUE OF THE INTELLECTUAL IMPAIRMENT CERTIFICATE ( Fiscal Years 2015?2019 ),,,,,,,,,,,,,
注 1) 「愛の手帳」交付数の総数は，都外施設に入所している場合等で管轄区市町村が未定の者を含むため，内訳と一致しない。,,,,,,,,,,,,,
Note: 1) The total number of intellectual impairment certificates issued does not match the breakdown because it includes persons who were not under the jurisdiction of a municipality for reasons such as living in facilities outside Tokyo. ,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG    ,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,
