年度,Fiscal year,個人保険 Individual Insurance／件数 Number,個人保険 Individual Insurance／金額 Value,団体保険 Group Insurance／団体数 Number,団体保険 Group Insurance／被保険者数 Persons insured,団体保険 Group Insurance／金額 Value,個人年金保険 Individual Annuity Insurance 1)／件数 Number,個人年金保険 Individual Annuity Insurance 1)／金額 Value
平成28,2016,2008569,10596360,700,847338,1399568,352705,2001371
平成29,2017,1856114,9039248,613,2147924,1724283,132834,864762
平成30,2018,2042946,10207000,775,751113,2517890,145576,957632
令和元,2019,1827838,7486037,677,691813,2175348,123826,858631
令和2,2020,1471494,6526078,494,856890,2261686,78102,590096
,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　15  金融 15  FINANCE,,,,,,,,
15-4  生命保険会社契約高 (1) 新契約 (平成28～令和2年度) 15-4  CONTRACT AMOUNT OF LIFE INSURANCE COMPANIES (1) NEW POLICIES ( Fiscal Years 2016-2020 ),,,,,,,,
注 1) 年金開始前 (金額は年金支払い開始時における年金原資)。,,,,,,,,
Note: 1) Prior to the start of annuity payments (amount of annuity funds at the start of the payments).,,,,,,,,
資料：（一社）生命保険協会 「生命保険事業概況」 Source: The Life Insurance Association of Japan,,,,,,,,
(単位　金額　百万円) (Value in millions of yen),,,,,,,,
