年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,マーク Mark,人口 (A) Population,総数 Total／施設数 Facilities,総数 Total／計画給水人口 Population planned to be served 3),総数 Total／現在給水人口 (B) Population currently served,総数 Total／給水量（専用水道を除く）Water supplied  (Excluding private waterworks) (1，000m3),上水道 Waterworks／施設数 Facilities,上水道 Waterworks／計画給水人口 Population planned to be served,上水道 Waterworks／現在給水人口 Population currently served,上水道 Waterworks／給水量 Water supplied 4) (1，000m3),簡易水道 Small-scale waterworks／施設数 Facilities,簡易水道 Small-scale waterworks／計画給水人口 Population planned to be served,簡易水道 Small-scale waterworks／現在給水人口 Population currently served,簡易水道 Small-scale waterworks／給水量 Water supplied 4) (1，000m3),専用水道 Private waterworks 2)／施設数 Facilities,専用水道 Private waterworks 2)／確認時給水人口 Population noted in the application,専用水道 Private waterworks 2)／現在給水人口 Population currently served,普及率 (B/A) Coverage rate (%) 
平成28,2016,0,13000,,東京都,Tokyo-to,,13687380,139,13673270,13686955,1567906,6,13531550,13647092,1565350,10,23110,16383,2556,123,118610,23480,100
平成29,2017,0,13000,,東京都,Tokyo-to,,13785221,130,13723846,13784800,1579458,6,13538380,13750775,1577576,8,16280,12434,1882,116,169186,21591,100
平成30,2018,0,13000,,東京都,Tokyo-to,,13886107,127,13674046,13885696,1578477,6,13544380,13851680,1576584,8,16280,12386,1893,113,113386,21630,100
令和元,2019,0,13000,,東京都,Tokyo-to,,13983631,125,13673829,13983238,1579798,6,13544380,13949512,1577857,8,16280,12191,1941,111,113169,21535,100
令和2,2020,0,13000,,東京都,Tokyo-to,,13958188,123,13675129,13957818,1576944,6,13544380,13922255,1575168,8,16280,12024,1776,109,114469,23539,100
令和2,2020,1,13100,,区部,All ku,,9651917,10,13210966,9651917,1536341,1,13190000,9642796,1536341,-,-,-,-,9,20966,9121,100
令和2,2020,1,13200,,市部,All shi,,4226013,98,425095,4225864,36144,3,331800,4211446,36144,-,-,-,-,95,93295,14418,100
令和2,2020,2,13201,1,八王子市,Hachioji-shi,※,576076,16,7788,576025,-,-,-,571492,-,-,-,-,-,16,7788,4533,99.99
令和2,2020,2,13202,2,立川市,Tachikawa-shi,※,181393,2,-,181393,-,-,-,181393,-,-,-,-,-,2,-,-,100
令和2,2020,2,13203,3,武蔵野市,Musashino-shi,,147975,6,164663,147975,17009,1,151000,147805,17009,-,-,-,-,5,13663,170,100
令和2,2020,2,13204,4,三鷹市,Mitaka-shi,※,194831,4,5504,194831,-,-,-,193465,-,-,-,-,-,4,5504,1366,100
令和2,2020,2,13205,5,青梅市,Ome-shi,※,132202,5,1195,132193,-,-,-,131013,-,-,-,-,-,5,1195,1180,99.99
令和2,2020,2,13206,6,府中市,Fuchu-shi,※,263683,6,13494,263683,-,-,-,263663,-,-,-,-,-,6,13494,20,100
