年度,Fiscal year,月次 ,Month,受給者実人員 Beneficiaries／総数 Total,受給者実人員 Beneficiaries／男 Male,受給者実人員 Beneficiaries／女 Female,雇用保険支給金額 Benefits paid／総数 Total,雇用保険支給金額 Benefits paid／男 Male,雇用保険支給金額 Benefits paid／女 Female,1人1か月当たり平均支給金額 (円) Average monthly benefits per person (yen)
平成28,2016,総数,Total,36764,15452,21312,58360087,27008902,31351185,132284
平成29,2017,総数,Total,35447,14549,20898,57318403,25863197,31455206,134751
平成30,2018,総数,Total,35678,14805,20873,59319945,27023390,32296555,138553
令和元,2019,総数,Total,37613,16064,21549,64630559,30365658,34264901,143191
令和2,2020,総数,Total,50928,22326,28601,89752303,42590283,47162019,146861
令和2,2020,4,Apr.,35641,16182,19459,5324684,2639772,2684912,149397
令和2,2020,5,May,38856,17599,21257,5237196,2560951,2676244,134784
令和2,2020,6,June,51742,23261,28481,7796607,3824781,3971825,150682
令和2,2020,7,July,57362,25325,32037,8553698,4104044,4449653,149117
令和2,2020,8,Aug.,60471,26121,34350,8755880,4106058,4649822,144794
令和2,2020,9,Sept.,60750,26090,34660,9045922,4213890,4832031,148904
令和2,2020,10,Oct.,58885,25153,33732,9057384,4156136,4901247,187376
令和2,2020,11,Nov.,53539,22865,30674,7573406,3498474,4074932,141455
令和2,2020,12,Dec.,51331,22032,29299,6910338,3199783,3710554,134623
令和3,2021,1,Jan.,48338,21181,27157,7765983,3673826,4092157,160660
令和3,2021,2,Feb.,46779,20783,25996,6223676,2970011,3253664,133044
令和3,2021,3,Mar.,47437,21323,26114,7507524,3642552,3864972,158263
,,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　7  労働 7  LABOR,,,,,,,,,,
7-4  雇用保険  (一般) 支給状況  (平成28～令和2年度）7-4  PAYMENT OF ( GENERAL ) EMPLOYMENT INSURANCE BENEFITS ( Fiscal Years 2016-2020 ),,,,,,,,,,
注) 年度別「受給者実人員」は月平均である。,,,,,,,,,,
Note: Fiscal year “Beneficiaries” are monthly averages.,,,,,,,,,,
資料：東京労働局 Source: Tokyo Labor Bureau,,,,,,,,,,
（単位　金額　千円）(In thousands of yen),,,,,,,,,,
