年齢階級 (歳),Age groups (years old),男 Male／計 Total 1),男 Male／未婚 Never married,男 Male／有配偶 Married,男 Male／死別 Widowed,男 Male／離別 Divorced,女 Female／計 Total 1),女 Female／未婚 Never married,女 Female／有配偶 Married,女 Female／死別 Widowed,女 Female／離別 Divorced
総数,Total,5869595,1858843,3033856,116796,166844,6182420,1668579,3056958,574520,317542
15～19,15-19,276129,271283,474,19,24,267947,263631,633,20,42
20～24,20-24,396919,324118,8897,37,264,401904,329639,15694,74,606
25～29,25-29,455638,270472,77957,33,1369,456307,262954,113241,83,3145
30～34,30-34,462045,184275,187919,96,4236,455395,160011,230560,210,8362
35～39,35-39,497623,144695,270477,246,7658,480189,115434,303074,564,14791
40～44,40-44,526550,131202,317307,514,11368,510424,103019,341869,1455,22407
45～49,45-49,581577,142787,353956,1316,17479,573434,111130,378767,3618,35779
50～54,50-54,530006,118745,330774,2198,21045,510274,90315,334722,6787,40575
55～59,55-59,447995,88251,291461,3608,22403,423690,63371,281399,11545,39590
60～64,60-64,349242,58674,236937,5124,19641,340905,40431,229939,18381,33022
65～69,65-69,334802,50449,229764,8817,19389,343461,33122,226589,33467,32440
70～74,70-74,370863,43060,263312,16357,20640,413356,34531,251637,66676,36257
75～79,75-79,275795,19480,206115,19270,12304,354349,24043,182831,96632,24390
80～84,80-84,194920,7676,146673,21659,6121,290035,16830,109122,118815,14323
85歳以上,85 and over,169491,3676,111833,37502,2903,360750,20118,56881,216193,11813
,,,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,,,,,,,
2-9  配偶関係（４区分）， 年齢（５歳階級）， 男女別15歳以上人口（令和2年10月1日） 2-9  POPULATION 15 YEARS OF AGE AND OVER， BY MARITAL STATUS ( 4 GROUPS )， AGE ( FIVE-YEAR GROUPS ) AND GENDER ( Oct. 1， 2020 ) ,,,,,,,,,,,
「国勢調査」による。 ,,,,,,,,,,,
Data are based on the Population Census.,,,,,,,,,,,
注 1) 配偶関係「不詳」を含む。 ,,,,,,,,,,,
Note: 1) Includes “marital status not reported”.,,,,,,,,,,,
資料：総務省「国勢調査報告」 Source: Ministry of Internal Affairs and Communications ,,,,,,,,,,,
