年度,Fiscal year,会計階層,会計,Account,当初予算額 Original budget,最終予算額 Final budget 1) ,決算額 Settlement
平成28,2016,0,総数,Total,13655995,13839109,12934488
平成29,2017,0,総数,Total,13054164,13526161,12659949
平成30,2018,0,総数,Total,14443951,15103097,14402079
令和元,2019,0,総数,Total,14959438,15373303,14614086
令和2,2020,0,総数,Total,15452215,17804410,16133354
令和2,2020,1,一般会計,General account,7354000,9747452,8486952
令和2,2020,1,特別会計,Special accounts,6013387,5870869,5750018
令和2,2020,2,特別区財政調整,Financial adjustments for ku,1010935,987396,987396
令和2,2020,2,地方消費税清算,Local consumption tax adjustment,2351732,2218914,2193967
令和2,2020,2,小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,372,372,-
令和2,2020,2,国民健康保険事業,National health insurance program,1096171,1096171,1060970
令和2,2020,2,母子父子福祉貸付資金,Single parent welfare loan funds,3888,3888,2155
令和2,2020,2,心身障害者扶養年金,Annuity for the mentally or physically impaired,4057,4057,3826
令和2,2020,2,中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.， funds,697,697,427
令和2,2020,2,林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,52,52,-
令和2,2020,2,沿岸漁業改善資金助成,Coastal fishery improvement subsidies,48,48,0
令和2,2020,2,と場,Slaughter house,5950,5950,5572
令和2,2020,2,都営住宅等事業,Metropolitan public housing， etc.,168487,182029,144539
令和2,2020,2,都営住宅等保証金,Metropolitan public housing， etc.， security deposits,2456,2456,2304
令和2,2020,2,都市開発資金,Urban development funds,4055,4055,3054
令和2,2020,2,用地,Land acquisition,19016,19064,6037
令和2,2020,2,公債費,Debt services,1343225,1343225,1338802
令和2,2020,2,臨海都市基盤整備事業,Waterfront urban infrastructure development,2246,2495,970
令和2,2020,1,公営企業会計,Public enterprise accounts,2084828,2186088,1896384
令和2,2020,2,病院,Hospital,207106,213520,204208
令和2,2020,2,中央卸売市場,Central Wholesale Market,105115,107583,97132
令和2,2020,2,都市再開発事業,Urban redevelopment,9146,9565,2382
令和2,2020,2,臨海地域開発事業,Waterfront area development ,113053,116010,102580
令和2,2020,2,港湾事業,Port and harbor,4990,7920,6903
令和2,2020,2,交通事業,Transportation,81991,82050,69689
令和2,2020,2,高速電車事業,Railway,305042,311073,249275
令和2,2020,2,電気事業,Electric power,1916,2177,1900
令和2,2020,2,水道事業,Waterworks,509221,533321,443489
令和2,2020,2,工業用水道事業,Industrial waterworks,7618,7618,5056
令和2,2020,2,下水道事業,Sewerage,739630,795252,713769
,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　21  財政 21  PUBLIC FINANCE,,,,,,,
21-1 会計別予算，決算額 (平成28～令和2年度) (歳出) 21-1  BUDGET AND SETTLEMENT BY ACCOUNT ( Fiscal Years 2016-2020 ) ( EXPENDITURE ),,,,,,,
注1) 最終予算額は，前年度からの繰越額を含む。 ,,,,,,,
2) 公営企業会計は，収益的支出額及び資本的支出額の合算額である。 ,,,,,,,
Note:1) The final budget includes the balance brought forward from the previous fiscal year.,,,,,,,
2) The Public enterprise accounts are the sum of revenue expenditure and capital expenditure.,,,,,,,
資料：都財務局主計部財政課 Source: Bureau of Finance， TMG,,,,,,,
会計階層（0:総数　1:一般会計・特別会計・公営企業会計　2:会計）,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,
