観測地,Observatory,総数 Total,1月 Jan.,2月 Feb.,3月 Mar.,4月 Apr.,5月 May,6月 June,7月 July,8月 Aug.,9月 Sept.,10月  Oct.,11月 Nov.,12月 Dec.
東京,Tokyo,1590,135,15,131,296.5,118,212.5,270.5,61.5,117.5,205,14.5,13
江戸川臨海,Edogawarinkai,1270.5,110.5,18.5,112,228,86.5,197,236.5,14.5,88,155,13,11
練馬,Nerima,1418,94.5,11,103.5,228.5,103,196,264,61.5,146,194,11,5
世田谷,Setagaya,1519.5,125.5,17,130.5,256,108.5,230.5,264.5,21.5,137,206.5,12,10
府中,Fuchu,1486.5,109.5,11.5,119.5,231.5,80,255.5,285.5,47,151,184,9.5,2
八王子,Hachioji,1604.5,107,9,101,257,67,217.5,350,37,233.5,213,11.5,1
小沢,Ozawa,1921,112,9,105,211.5,85,241,425.5,103.5,370.5,249,8.5,0.5
青梅,Ome,1613,89.5,5,99,268,99.5,264.5,337.5,23.5,216,200,9.5,1
小河内,Ogochi,1731.5,103.5,6.5,103,187.5,79,208,369,118,296,251.5,8.5,1
羽田,Haneda,1225,95.5,19,107.5,174,88.5,180.5,262.5,6,113,154.5,13,11
大島,Oshima,3196,299,110,376,361,115.5,355,623,28.5,284.5,552,50,41.5
新島,Niijima,2583.5,280.5,139.5,272.5,195,167,301.5,566.5,75,199.5,282.5,71,33
三宅島,Miyakejima,3477,236.5,153.5,372.5,233.5,144.5,489,746,68.5,253.5,616.5,107,56
八丈島,Hachijojima,4189,346.5,157,287,188.5,250.5,533,462.5,140.5,580.5,961.5,136,145.5
父島,Chichijima,1521,54,28,138,87.5,189,12,68,90.5,171.5,241,199.5,242
,,,,,,,,,,,,,,
東京都統計年鑑 （令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,,,,,,,,
1-7  地域気象観測所降水量（令和2年） 1-7 PRECIPITATION AT LOCAL METEOROLOGICAL STATIONS ( 2020 ),,,,,,,,,,,,,,
この表の観測地のうち，東京とは東京管区気象台をいい，その他は地域気象観測所又は測候所をいう。,,,,,,,,,,,,,,
"""Tokyo"" in this table refers to the Tokyo District Meteorological Observatory， and the others are local observation stations and weather stations.    ",,,,,,,,,,,,,,
資料：気象庁 Source: Japan Meteorological Agency,,,,,,,,,,,,,,
 （単位　mm）(In mm）,,,,,,,,,,,,,,
