区分階層,項番 Item number,裁判所,Court,略号,Abbreviation,新受 Newly received (A)／総数 Total,新受 Newly received (A)／検察官の起訴 Prosecuted by public prosecutors,新受 Newly received (A)／その他 Others,既済 Disposed／総数 (B) Total,既済 Disposed／有罪 (C) Guilty,既済 Disposed／有罪 (C) Guilty／執行猶予を付したもの With suspension of sentence,既済 Disposed／有罪 (C) Guilty／執行猶予を付したもの With suspension of sentence／執行猶予のうちの保護観察 Under probation,既済 Disposed／無罪 (D) Not guilty,既済 Disposed／その他 (E) Others,既済 Disposed／同一被告人に関する事件の併合 Joinder of actions against the same defendant,未済 (F) Pending
0,,総数,Total,通,R,10492,…,…,10174,6924,4384(178),352(178),9,218,3023,4190
0,,総数,Total,略,S,13958,…,…,13968,13966,-,-,-,2,-,184
1,,地方裁判所,District Court,通,R,9625,…,…,9243,6172,4003(178),318(178),8,163,2900,4009
2,1,東京,Tokyo,通,R,7787,…,…,7549,5096,3335(148),245(148),7,123,2323,3271
2,2,立川支部,Tachikawa Branch,通,R,1838,…,…,1694,1076,668(30),73(30),1,40,577,738
1,,簡易裁判所,Summary Court,通,R,867,…,…,931,752,381,34,1,55,123,181
1,,簡易裁判所,Summary Court,略,S,13958,…,…,13968,13966,-,-,-,2,-,184
2,1,東京,Tokyo,通,R,775,…,…,843,681,343,27,1,50,111,158
2,1,東京,Tokyo,略,S,10215,…,…,10244,10242,-,-,-,2,-,125
2,2,八丈島,Hachijojima ,通,R,-,…,…,-,-,-,-,-,-,-,-
2,2,八丈島,Hachijojima ,略,S,14,…,…,14,14,-,-,-,-,-,-
2,3,伊豆大島,Izu-oshima,通,R,-,…,…,-,-,-,-,-,-,-,-
2,3,伊豆大島,Izu-oshima,略,S,3,…,…,3,3,-,-,-,-,-,-
2,4,新島,Niijima,通,R,-,…,…,-,-,-,-,-,-,-,-
2,4,新島,Niijima,略,S,2,…,…,2,2,-,-,-,-,-,-
2,5,八王子,Hachioji,通,R,44,…,…,36,27,16,1,-,1,8,15
2,5,八王子,Hachioji,略,S,378,…,…,378,378,-,-,-,-,-,-
2,6,立川 ,Tachikawa,通,R,5,…,…,6,5,1,-,-,1,-,1
2,6,立川 ,Tachikawa,略,S,2478,…,…,2474,2474,-,-,-,-,-,40
2,7,武蔵野 ,Musashino ,通,R,20,…,…,22,16,5,2,-,2,4,2
2,7,武蔵野 ,Musashino ,略,S,389,…,…,389,389,-,-,-,-,-,-
2,8,青梅,Ome,通,R,-,…,…,1,1,-,-,-,-,-,-
2,8,青梅,Ome,略,S,180,…,…,180,180,-,-,-,-,-,-
2,9,町田,Machida ,通,R,23,…,…,23,22,16,4,-,1,-,5
2,9,町田,Machida ,略,S,299,…,…,284,284,-,-,-,-,-,19
,,,,,,,,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,
20-8  刑事事件の種類，手続，裁判所別人員 （令和2年） 20-8  DEFENDANTS BY TYPE OF CRIMINAL CASE， COURT PROCEEDING， AND COURT ( 2020 ),,,,,,,,,,,,,,,,
この表の数字は再審事件を含む。,,,,,,,,,,,,,,,,
Figures in this table include retrial cases.,,,,,,,,,,,,,,,,
注 1)  表側の略号のうち 「通」 は通常第一審事件， 「略」 は略式事件をいう。,,,,,,,,,,,,,,,,
2)  表頭のうち，(Ａ)，(B)及び(F)は延べ人員である。また， (C)，（D)及び（E)は実人員である。,,,,,,,,,,,,,,,,
3)  表頭のうち， （Ｃ）には「有罪・一部無罪」を含む。,,,,,,,,,,,,,,,,
4)  表頭のうち， 「執行猶予を付したもの」及び「執行猶予のうちの保護観察」につき，（）内はいずれも一部執行猶予を付したもので，内数である。,,,,,,,,,,,,,,,,
"Note: 1) Abbreviations ""R"" and ""S"" indicate ordinary cases of the court of first instance and summary proceeding cases， respectively.",,,,,,,,,,,,,,,,
2) Figures in (A)， (B)， and (F) are the total numbers of persons， while those in (C)， (D)， and (E) indicate the actual numbers of persons. ,,,,,,,,,,,,,,,,
"3) Figures in (C) include ""Partial acquittal.""",,,,,,,,,,,,,,,,
"4) The numbers in parentheses under ""With suspension of sentence"" and ""Probation"" indicate the number of cases for which ""partial suspension of sentence"" was issued， and are included in the respective totals.",,,,,,,,,,,,,,,,
資料：東京地方裁判所事務局総務課 Source: Tokyo District Court,,,,,,,,,,,,,,,,
区分階層(0:総数　1:区分　2:区分内訳),,,,,,,,,,,,,,,,
