年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,理容所 Barber,美容所  Beauty salon,クリーニング所 Dry-cleaner,公衆浴場 Public baths／総数 Total,公衆浴場 Public baths／普通 General,公衆浴場 Public baths／その他 Others,温泉利用施設 Hot springs,旅館等  Hotels and inns／総数 Total,旅館等 Hotels and inns／旅館・ホテル Japanese-style hotels & inns (ryokan) and hotel 1),旅館等 Hotels and inns／旅館・ホテル Japanese-style hotels & inns (ryokan) and hotel 1) ／旅館 Japanese-style hotels & inns (ryokan),旅館等 Hotels and inns／旅館・ホテル Japanese-style hotels & inns (ryokan) and hotel 1)／ホテル Hotel,旅館等 Hotels and inns／簡易宿所 Budget hotel,旅館等  Hotels and inns／下宿 Boarding houses and lodgings,常設興業場 Entertainment places／総数 Total,常設興業場 Entertainment places／映画館 Cinemas,常設興業場 Entertainment places／スポーツ施設 Sports center,常設興業場 Entertainment places／その他 Others,プール Swimming pool
平成28,2016,0,13000,,東京都,Tokyo-to,8256,22064,10221,2060,593,1467,253,3010,1939,1246,693,1058,13,861,288,35,538,2852
平成29,2017,0,13000,,東京都,Tokyo-to,8167,22844,10093,2014,561,1453,249,3233,2024,1306,718,1196,13,895,316,38,541,2803
平成30,2018,0,13000,,東京都,Tokyo-to,8019,23482,9895,1991,542,1449,243,3780,2435,…,…,1333,12,905,320,38,547,2810
令和元,2019,0,13000,,東京都,Tokyo-to,7929,24088,9685,1953,522,1431,240,4707,3308,…,…,1388,11,941,314,46,581,2799
令和2,2020,0,13000,,東京都,Tokyo-to,7802,24713,9395,1900,501,1399,237,4957,3620,…,…,1325,12,961,323,47,591,2801
令和2,2020,1,13100,,区部,All ku,5660,19278,7503,1540,454,1086,114,3969,3186,…,…,771,12,745,223,30,492,1905
令和2,2020,2,13101,1,千代田区,Chiyoda-ku,158,251,263,39,5,34,3,152,124,…,…,28,-,81,23,1,57,37
令和2,2020,2,13102,2,中央区,Chuo-ku,162,880,308,52,8,44,2,212,182,…,…,30,-,37,14,-,23,34
令和2,2020,2,13103,3,港区,Minato-ku,192,1398,547,132,4,128,3,300,251,…,…,49,-,60,15,1,44,85
令和2,2020,2,13104,4,新宿区,Shinjuku-ku,275,1195,444,88,20,68,5,420,357,…,…,58,5,107,46,3,58,100
令和2,2020,2,13105,5,文京区,Bunkyo-ku,115,319,234,19,5,14,3,50,43,…,…,7,-,17,-,1,16,82
令和2,2020,2,13106,6,台東区,Taito-ku,182,478,275,230,25,205,3,750,523,…,…,224,3,34,11,-,23,41
令和2,2020,2,13107,7,墨田区,Sumida-ku,190,514,219,35,18,17,4,315,268,…,…,47,-,22,6,2,14,46
令和2,2020,2,13108,8,江東区,Koto-ku,237,581,367,67,21,46,4,128,112,…,…,16,-,57,21,5,31,120
令和2,2020,2,13109,9,品川区,Shinagawa-ku,205,696,356,59,22,37,8,140,116,…,…,23,1,19,4,2,13,69
令和2,2020,2,13110,10,目黒区,Meguro-ku,147,884,229,36,11,25,1,40,33,…,…,7,-,15,1,-,14,52
令和2,2020,2,13111,11,大田区,Ota-ku,354,810,427,83,35,48,21,117,88,…,…,29,-,19,7,4,8,119
令和2,2020,2,13112,12,世田谷区,Setagaya-ku,361,1711,651,96,25,71,7,91,83,…,…,6,2,46,13,6,27,157
令和2,2020,2,13113,13,渋谷区,Shibuya-ku,170,2532,294,96,11,85,1,252,230,…,…,21,1,83,25,3,55,57
令和2,2020,2,13114,14,中野区,Nakano-ku,200,528,264,35,20,15,4,103,66,…,…,37,-,12,1,-,11,52
令和2,2020,2,13115,15,杉並区,Suginami-ku,281,815,316,38,19,19,24,57,49,…,…,8,-,14,2,-,12,91
令和2,2020,2,13116,16,豊島区,Toshima-ku,202,886,234,70,19,51,2,352,314,…,…,38,-,55,16,-,39,14
令和2,2020,2,13117,17,北区,Kita-ku,219,524,249,56,26,30,-,80,37,…,…,43,-,14,1,1,12,76
令和2,2020,2,13118,18,荒川区,Arakawa-ku,144,281,134,29,22,7,2,109,68,…,…,41,-,9,-,-,9,45
令和2,2020,2,13119,19,板橋区,Itabashi-ku,307,657,326,51,29,22,5,45,36,…,…,9,-,6,2,-,4,110
令和2,2020,2,13120,20,練馬区,Nerima-ku,361,851,379,80,22,58,3,11,10,…,…,1,-,7,2,-,5,150
令和2,2020,2,13121,21,足立区,Adachi-ku,451,956,350,49,30,19,2,65,52,…,…,13,-,18,11,-,7,138
令和2,2020,2,13122,22,葛飾区,Katsushika-ku,309,660,277,45,25,20,1,115,85,…,…,30,-,3,1,-,2,93
令和2,2020,2,13123,23,江戸川区,Edogawa-ku,438,871,360,55,32,23,6,65,59,…,…,6,-,10,1,1,8,137
令和2,2020,1,13200,,市部,All shi,2067,5319,1858,312,47,265,46,345,289,…,…,56,-,204,91,17,96,834
令和2,2020,2,13201,1,八王子市,Hachioji-shi,300,749,286,38,3,35,11,66,58,…,…,8,-,22,9,5,8,28
令和2,2020,2,13202,2,立川市,Tachikawa-shi,95,370,91,16,4,12,2,38,37,…,…,1,-,30,21,3,6,62
令和2,2020,2,13203,3,武蔵野市,Musashino-shi,102,494,84,15,3,12,-,14,12,…,…,2,-,17,9,-,8,35
令和2,2020,2,13204,4,三鷹市,Mitaka-shi,77,162,79,17,4,13,1,4,3,…,…,1,-,4,-,-,4,37
令和2,2020,2,13205,5,青梅市,Ome-shi,101,155,54,13,-,13,6,42,22,…,…,20,-,1,-,-,1,43
令和2,2020,2,13206,6,府中市,Fuchu-shi,119,261,125,18,5,13,1,26,26,…,…,-,-,18,9,3,6,61
令和2,2020,2,13207,7,昭島市,Akishima-shi,68,127,49,9,3,6,1,12,11,…,…,1,-,5,1,-,4,28
令和2,2020,2,13208,8,調布市,Chofu-shi,100,302,128,18,5,13,8,7,7,…,…,-,-,24,11,5,8,47
令和2,2020,2,13209,9,町田市,Machida-shi,181,574,185,24,2,22,4,33,30,…,…,3,-,14,10,-,4,18
令和2,2020,2,13210,10,小金井市,Koganei-shi,48,119,53,5,1,4,-,3,2,…,…,1,-,2,-,-,2,29
令和2,2020,2,13211,11,小平市,Kodaira-shi,104,161,72,15,2,13,2,4,4,…,…,-,-,3,-,-,3,42
令和2,2020,2,13212,12,日野市,Hino-shi,75,173,46,3,-,3,-,2,2,…,…,-,-,2,-,-,2,38
令和2,2020,2,13213,13,東村山市,Higashimurayama-shi,67,167,72,7,1,6,-,13,13,…,…,-,-,1,-,-,1,32
令和2,2020,2,13214,14,国分寺市,Kokubunji-shi,49,160,45,6,1,5,-,10,10,…,…,-,-,2,-,-,2,24
令和2,2020,2,13215,15,国立市,Kunitachi-shi,47,135,33,9,1,8,1,6,6,…,…,-,-,1,-,-,1,26
令和2,2020,2,13218,16,福生市,Fussa-shi,38,113,23,3,-,3,-,5,4,…,…,1,-,1,-,-,1,14
令和2,2020,2,13219,17,狛江市,Komae-shi,38,82,39,5,3,2,-,3,3,…,…,-,-,2,-,-,2,19
令和2,2020,2,13220,18,東大和市,Higashiyamato-shi,46,92,32,9,2,7,-,5,5,…,…,-,-,2,-,-,2,20
令和2,2020,2,13221,19,清瀬市,Kiyose-shi,39,79,31,3,-,3,-,-,-,…,…,-,-,3,-,-,3,22
令和2,2020,2,13222,20,東久留米市,Higashikurume-shi,44,110,58,12,2,10,2,2,2,…,…,-,-,1,-,-,1,27
令和2,2020,2,13223,21,武蔵村山市,Musashimurayama-shi,35,67,23,5,1,4,2,3,3,…,…,-,-,14,12,-,2,24
令和2,2020,2,13224,22,多摩市,Tama-shi,56,151,54,21,-,21,2,9,9,…,…,-,-,20,9,-,11,41
令和2,2020,2,13225,23,稲城市,Inagi-shi,38,71,40,10,-,10,1,3,3,…,…,-,-,2,-,-,2,31
令和2,2020,2,13227,24,羽村市,Hamura-shi,43,105,25,4,-,4,-,4,4,…,…,-,-,3,-,-,3,16
令和2,2020,2,13228,25,あきる野市,Akiruno-shi,60,100,26,9,-,9,2,27,9,…,…,18,-,6,-,-,6,28
令和2,2020,2,13229,26,西東京市,Nishitokyo-shi,97,240,105,18,4,14,-,4,4,…,…,-,-,4,-,1,3,42
令和2,2020,1,13300,,郡部,All gun,44,59,21,21,-,21,41,79,31,…,…,48,-,10,9,-,1,20
令和2,2020,1,13500,,島部,All islands,31,57,13,27,-,27,36,564,114,…,…,450,-,2,-,-,2,42
,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,,,,
