年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,議会費 Assemblies,総務費 General services,民生費 Social welfare,衛生費 Sanitation,労働費 Labor,農林水産業費 Agriculture， forestry and fisheries,商工費 Commerce and industry,土木費 Civil engineering works,消防費 Fire fighting,教育費 Education,災害復旧費 Disaster restoration,公債費 Debt services,諸支出金 Miscellaneous
平成28,2016,13200,,市部,All shi,1515323,10318,177998,735515,121770,6086,3499,9093,143049,55317,167814,67,83565,1230
平成29,2017,13200,,市部,All shi,1528908,10220,187372,754717,118117,6226,3297,9627,133165,52651,169780,282,83363,90
平成30,2018,13200,,市部,All shi,1540707,10063,170891,762963,126192,6308,3267,9139,135807,51339,178738,971,84943,86
令和元,2019,13200,,市部,All shi,1582383,10148,176382,786578,127907,6404,3437,12362,135018,52905,187870,2018,81266,88
令和2,2020,13200,,市部,All shi,2079228,9923,604886,804326,138338,6311,3394,29829,125160,53144,222307,3155,78458,-
令和2,2020,13201,1,八王子市,Hachioji-shi,262920,712,73138,100678,19632,520,371,5162,16155,6565,27248,1103,11639,-
令和2,2020,13202,2,立川市,Tachikawa-shi,98967,442,28677,39742,6132,612,140,875,4813,2128,12624,24,2759,-
令和2,2020,13203,3,武蔵野市,Musashino-shi,83891,457,25288,30423,5817,254,70,2025,5595,2222,10036,-,1704,-
令和2,2020,13204,4,三鷹市,Mitaka-shi,89345,490,27310,36541,3998,142,135,1453,4916,2255,8182,202,3722,-
令和2,2020,13205,5,青梅市,Ome-shi,66623,398,19366,25024,5531,12,386,934,3319,1692,6647,308,3006,-
令和2,2020,13206,6,府中市,Fuchu-shi,134834,499,40067,52567,6416,567,188,2940,8348,3010,15869,394,3970,-
令和2,2020,13207,7,昭島市,Akishima-shi,54701,334,16395,22275,3858,369,46,669,2076,1437,5099,68,2075,-
令和2,2020,13208,8,調布市,Chofu-shi,119346,473,36261,46996,5596,299,120,3301,9490,3010,10265,-,3536,-
令和2,2020,13209,9,町田市,Machida-shi,216709,638,61710,78500,22470,336,341,3923,10625,4839,25519,177,7631,-
令和2,2020,13210,10,小金井市,Koganei-shi,58407,358,17792,23621,4218,261,21,516,3105,1514,4696,-,2305,-
令和2,2020,13211,11,小平市,Kodaira-shi,89852,456,26742,35413,6046,196,135,913,4913,2304,9391,-,3343,-
令和2,2020,13212,12,日野市,Hino-shi,89890,377,26534,34509,5629,252,155,1278,6101,2401,9305,29,3319,-
令和2,2020,13213,13,東村山市,Higashimurayama-shi,74149,342,20406,29629,4000,422,100,403,7044,1715,6088,-,4000,-
令和2,2020,13214,14,国分寺市,Kokubunji-shi,62865,305,17841,23524,4067,165,73,375,5612,1681,7294,1,1928,-
令和2,2020,13215,15,国立市,Kunitachi-shi,39048,293,10309,16167,2222,169,58,285,3251,1066,3577,37,1614,-
令和2,2020,13218,16,福生市,Fussa-shi,31363,263,9353,11963,2414,199,48,363,1774,1038,3108,107,732,-
令和2,2020,13219,17,狛江市,Komae-shi,38874,302,11217,15947,2172,75,33,300,1810,1155,4063,107,1694,-
