品目,Item,区分,Classification,項番 Item number,区分,Classification,銘柄,Specification,単位,Unit,マーク Mark,令和2年平均 2020 Av.,1月 Jan.,2月 Feb.,3月 Mar.,4月 Apr.,5月 May,6月 June,7月 July,8月 Aug.,9月 Sept.,10月 Oct.,11月 Nov.,12月 Dec.
食料,Food,穀類,Cereals,1,うるち米,Non-glutinous rice,国内産精米単一原料米(産地品種及び産年が同一のもの)袋入り(5kg入り)コシヒカリを除く,"Domestic， polished， single ingredient (those area， year of production and variety are the same)， in bag (5kg)， excluding ""Koshihikari""",1袋,1 bag,,2246,2288,2279,2295,2241,2210,2249,2284,2255,2241,2205,2184,2224
食料,Food,穀類,Cereals,2,食パン,White bread,普通品,Ordinary quality,1kg,1kg,,440,444,443,443,444,444,442,441,433,437,438,436,436
食料,Food,穀類,Cereals,3,カップ麺,Cup noodles,中華タイプ，内容量78g，「カップヌードル」,"Chinese type， net 78g， ""Cup Noodle""",1個,1 cup,,159,159,162,161,161,160,161,159,156,161,157,159,158
食料,Food,魚介類,Fish & seafood,1,まぐろ,Tuna fish,めばち 又は きはだ，刺身用，さく，赤身,"Big-eyed tuna or Yellowfin tuna， for  ""Sashimi""， not sliced， lean",100g,100g,,433,437,443,446,446,426,439,425,422,415,429,433,440
食料,Food,魚介類,Fish & seafood,2,あじ,Horse mackerel,まあじ丸(長さ約15cm以上）,Jack mackerel， whole (about 15cm or more in length),100g,100g,,114,116,101,109,120,104,111,132,125,126,110,105,103
食料,Food,魚介類,Fish & seafood,3,いか,Cuttlefish,するめいか，丸,Sagittated calamary， whole,100g,100g,,156,154,159,153,169,189,154,139,150,151,160,155,139
食料,Food,肉類,Meats,1,牛肉,Beef ,国産品，ロース,Domestic，loin,100g,100g,,924,909,916,889,890,950,926,947,947,917,929,934,934
食料,Food,肉類,Meats,2,豚肉,Pork,もも（黒豚を除く）,Legs (excluding Berkshire),100g,100g,,199,200,196,202,194,204,202,196,196,197,200,201,204
食料,Food,肉類,Meats,3,鶏肉,Chicken,ブロイラー，もも肉,Broiler， legs,100g,100g,,128,132,129,130,126,128,128,125,126,127,129,131,129
食料,Food,肉類,Meats,4,ハム,Ham,ロースハム， ＪＡＳ格付けなし， 普通品,Ham (Loin)， not Japanese Agricultural Standard (JAS) certified， ordinary quality,100g,100g,,206,206,207,207,206,206,204,204,207,205,206,209,205
食料,Food,乳卵類,Dairy products & eggs,1,牛乳,Fresh milk ,牛乳，店頭売り，紙容器入り（1000mL入り）,Fresh milk， sold in stores， in carton （1000mL）,1本,1 carton,,216,215,216,216,214,216,216,216,216,216,218,216,216
食料,Food,乳卵類,Dairy products & eggs,2,鶏卵,Hen eggs,白色卵，パック詰（10個入り），サイズ混合，〔卵重〕「MS52g～LL76g未満」，「MS52g～L70g未満」又は「M58g～L70g未満」,"White eggs， packed (10 eggs)， size mixture， [Egg weight]""MS52g-LL76g""， ""MS52g-L70g"" or ""M58g-L70g""",1パック,1 pack,,223,221,222,222,222,225,225,223,222,225,224,225,222
食料,Food,野菜・海草,Vegetables & seaweeds,1,キャベツ,Cabbage,,,1kg,1kg,,189,152,128,149,264,266,188,171,263,226,184,150,122
食料,Food,野菜・海草,Vegetables & seaweeds,2,だいこん,Radishes,　　　　　　　　　　　　　　　　　　　　　,,1kg,1kg,,174,144,126,141,192,199,205,200,216,200,192,161,114
食料,Food,野菜・海草,Vegetables & seaweeds,3,豆腐,"""Tofu""，bean curd",木綿豆腐，並,"""Momen-tofu""，ordinary quality",1kg,1kg,,241,239,243,242,244,243,241,238,240,239,240,240,243
食料,Food,果物,Fruits,1,りんご,Apples ,「ふじ」又は「つがる」，1個200～400g,"""Fuji"" or ""Tsugaru""， 200 - 400g each",1kg,1kg,※ 1月 Jan.,683,551,530,552,621,729,814,1011,1086,792,566,489,457
食料,Food,果物,Fruits,2,みかん,Mandarin oranges,温州みかん(ﾊｳｽみかんを除く)，1個 70～130g,"""Satsuma mandarins (excluding greenhouse stuff)""， 70 - 130g each",1kg,1kg,,704,665,740,899,...,...,...,...,...,764,633,610,615
食料,Food,果物,Fruits,3,いちご,Strawberries,国産品,Domestic,1kg,1kg,,1970,2202,2013,1786,1756,1699,...,...,...,...,...,...,2365
食料,Food,油脂・調味料,Oils， fats & seasonings,1,食用油,Edible oil,キャノーラ（なたね）油，ポリ容器入り（1000g入り）,Canola oil， in polyethylene container (1000g),1本,1 bottle,,292,291,289,290,299,296,293,295,292,290,288,289,290
食料,Food,油脂・調味料,Oils， fats & seasonings,2,みそ,Soybean paste,米みそ，カップ入り （750g入り），並,Fermented with rice malt， in cups (750g)， ordinary quality,1個,1 cup,,319,329,329,320,323,327,315,313,311,312,317,314,313
食料,Food,菓子類,Cakes & candies,1,ケーキ,Cakes ,いちごショートケーキ，1個(70～120g),Sponge cakes with cream and strawberry， 1 piece (70 -120g),1個,1 piece,,457,456,458,458,441,450,460,461,460,460,460,460,460
