年次,Year,月次,Month,平均海面気圧 Average atmospheric pressure (sea level) (hPa),気温 Temperature／平均 Average (℃),気温 Temperature／最高気温平均 Average highs (℃) ,気温 Temperature／最低気温平均 Average lows (℃),湿度 Humidity／平均 Average (%),湿度 Humidity／最小湿度 Minimum humidity／湿度 Humidity (%),湿度 Humidity／最小湿度 Minimum humidity／年/月/日 Year/Month/Date,平均雲量 Average amount of clouds (0-10),日照 Sunshine／日照時間 Duration of sunshine (Hour),日照 Sunshine／日照率 Percentage of sunshine (%),風速 Wind speed／平均 Average (m/s),風速 Wind speed／最大風速 Maximum wind speed／風速 Speed (m/s),風速 Wind speed／最大風速 Maximum wind speed／方向 Direction,風速 Wind speed／最大風速 Maximum wind speed／年/月/日 Year/Month/Date,降水 Precipitation／総数 Total precipitation (mm),降水 Precipitation／最大日量 Maximum daily precipitation／降水量 Precipitation (mm),降水 Precipitation／最大日量 Maximum daily precipitation／年/月/日 Year/Month/Date,降水 Precipitation／日数 Number of days／≧0.5mm,降水 Precipitation／日数 Number of days／≧1.0mm,降水 Precipitation／日数 Number of days／≧10mm,降水 Precipitation／日数 Number of days／≧30mm,天気日数 Weather days／快晴 Clear,天気日数 Weather days／曇天 Cloudy,天気日数 Weather days／雨 Rainy,天気日数 Weather days／雪 Snowy,天気日数 Weather days／積雪 Snow cover,天気日数 Weather days／霧 Fog,天気日数 Weather days／雷 Thunder storm,天気日数 Weather days／不照 No sunshine,天気日数 Weather days／風速10m以上 Maximum wind speed 10m/s or more,地震回数（震度1以上） Earthquakes on record (seismic intensity of one or greater)
平成20,2008,総数,Total,1014,16.4,20.1,13.3,60,9,2008-4-22，2008-4-23,6.9,1857.8,42,2.8,14.2,北西 NW,2008-02-24,1857.5,111.5,2008-08-05,125,115,56,14,37,156,125,9,5,-,25,66,10,60
平成21,2009,総数,Total,1013.3,16.7,20.2,13.6,60,11,2009-04-09,7,1783.3,40,2.9,13.1,南 S,2009-10-08,1801.5,127,2009-10-08,116,105,48,19,31,171,116,8,2,-,11,73,13,49
平成22,2010,総数,Total,1014.1,16.9,20.7,13.6,61,11,2010-1-13，2010-3-21，2010-11-9,6.8,1987,45,2.9,14.6,南 S,2010-03-21,1679.5,102,2010-09-08,125,111,42,16,34,151,125,14,6,1,11,61,13,48
平成23,2011,総数,Total,1014,16.5,20.3,13.1,58,9,2011-1-16，2011-4-4,6.4,2056.2,46,2.9,16.9,南 S,2011-09-21,1479.5,124,2011-09-21,101,95,40,13,36,145,101,13,3,-,13,46,14,463
平成24,2012,総数,Total,1013.6,16.3,20,13.1,62,11,2012-02-02,6.8,2022.9,46,3,16.3,南 S,2012-06-19,1570,121.5,2012-05-03,123,109,49,14,29,149,123,10,5,1,26,53,11,131
平成25,2013,総数,Total,1013,17.1,21,13.6,61,13,2013-2-8，2013-2-25,6.3,2131.1,48,3.1,14.5,南南西 SSW,2013-03-13,1614,176.5,2013-10-16,111,93,38,17,53,137,111,5,6,-,19,44,20,91
平成26,2014,総数,Total,1013.8,16.6,20.5,13.3,62,8,2014-04-12,6.6,2104,47,2.9,11.8,南 S,2014-03-18,1808,148.5,2014-10-05,113,106,41,16,46,153,113,11,10,-,20,51,14,65
平成27,2015,総数,Total,1014.1,16.4,20.8,12.8,68,12,2015-2-13，2015-5-11,6.8,1966.6,44,2.8,11,北北西，南南西 NNW，SSW,2015-2-15，2015-12-11,1781.5,156.5,2015-09-09,129,115,51,17,39,165,129,11,2,-,13,67,14,66
平成28,2016,総数,Total,1014.5,16.4,20.9,12.7,69,9,2016-03-17,7.1,1841.7,41,2.8,12.6,南 S,2016-04-17,1779,106.5,2016-08-22,128,113,50,19,24,181,128,6,3,-,8,62,8,71
平成29,2017,総数,Total,1013.2,15.8,20.4,12.1,68,13,2017-03-20,6.7,2050.9,46,2.9,13.7,南南東 SSE,2017-10-23,1430,147.5,2017-10-22,114,95,41,12,39,163,114,7,1,-,14,56,10,60
平成30,2018,総数,Total,1014.1,16.8,21.2,13,70,14,2018-02-07,6.7,2112.2,48,3,18.2,南 S,2018-10-01,1445.5,58,2018-03-09,116,103,44,17,34,156,116,11,10,-,14,47,15,64
平成31･令和元,2019,総数,Total,1014,16.5,20.9,12.8,70,15,2019-05-24,6.8,1909,43,2.9,17.8,南南東 SSE,2019-10-12,1874,209.5,2019-10-12,131,111,45,14,35,153,131,6,3,1,12,68,10,52
令和2,2020,総数,Total,1013.9,16.5,21,12.8,71,15,2020-12-17,6.8,1889.5,43,2.8,13.1,北西 NW,2020-03-16,1590,132,2020-04-13,135,108,42,16,29,156,135,6,1,-,17,64,12,65
令和2,2020,1,Jan.,1016.7,7.1,11.1,3.7,65,25,2020-01-31,5.8,139.8,45,2.4,8.8,北西 NW,2020-01-31,135,55.5,2020-01-28,10,10,4,1,4,9,10,4,-,-,-,5,-,3
令和2,2020,2,Feb.,1018.6,8.3,13.3,4,55,18,2020-02-06,5.2,196.1,62,2.7,10.8,南 S,2020-02-22,15,8.5,2020-02-16,4,4,-,-,4,4,4,-,-,-,-,2,1,10
令和2,2020,3,Mar.,1013.8,10.7,16,6.2,65,18,2020-03-05,5.9,181.9,49,3.1,13.1,北西 NW,2020-03-16,131,51.5,2020-03-29,11,10,4,1,5,10,11,2,1,-,-,8,4,2
令和2,2020,4,Apr.,1012.6,12.8,18.2,7.9,66,22,2020-04-06,6.2,213.4,55,3.2,11,西北西 WNW,2020-04-02,296.5,132,2020-04-13,14,9,5,3,3,9,14,-,-,-,1,3,3,6
令和2,2020,5,May,1011.2,19.5,24,15.6,75,23,2020-05-07,7.7,175.5,40,3.1,9.8,南南西 SSW,2020-05-10,118,54.5,2020-05-19,13,9,3,1,1,17,13,-,-,-,2,7,-,7
令和2,2020,6,June,1007.4,23.2,27.5,19.8,82,37,2020-06-10,8.7,136.3,31,2.8,12,南 S,2020-06-10,212.5,50,2020-06-19,15,14,7,3,-,22,15,-,-,-,1,9,2,5
令和2,2020,7,July,1009,24.3,27.7,21.8,89,48,2020-07-02,9.7,47.7,11,3.1,10.2,南 S,2020-07-01,270.5,40.5,2020-07-06,25,20,9,3,-,29,25,-,-,-,4,11,1,6
令和2,2020,8,Aug.,1011,29.1,34.1,25.3,76,32,2020-08-21,5.8,254.7,61,2.8,8.4,南 S,2020-08-06,61.5,38,2020-08-23,5,3,2,1,1,4,5,-,-,-,5,-,-,8
令和2,2020,9,Sept.,1012.4,24.2,28.1,21.5,83,36,2020-09-30,8.3,105.7,28,2.9,10.4,南 S,2020-09-07,117.5,25.5,2020-09-06,20,13,4,-,-,21,20,-,-,-,4,7,1,6
令和2,2020,10,Oct.,1017.3,17.5,21.4,14.4,75,30,2020-10-25,7.7,113.9,33,2.4,6.1,南東，北西 SE，NW,2020-10-2，2020-10-24,205,73.5,2020-10-10,11,9,4,3,1,16,11,-,-,-,-,7,-,3
令和2,2020,11,Nov.,1020.3,14,18.6,10.1,65,26,2020-11-21,5.8,156.6,51,2.5,9,南 S,2020-11-20,14.5,5,2020-11-25,4,4,-,-,4,9,4,-,-,-,-,2,-,3
令和2,2020,12,Dec.,1016.8,7.7,12.3,3.7,61,15,2020-12-17,5,167.9,56,2.1,9.5,北西 NW,2020-12-30,13,8,2020-12-02,3,3,-,-,6,6,3,-,-,-,-,3,-,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑 （令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5  気象概況 （平成10～令和2年） 1-5  CLIMATE ( 1998-2020 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
この表の気圧，気温，湿度の平均値は1～24時毎正時の24回平均，雲量は 3，9，15，21時の4回平均である。最高気温平均と最低気温平均は毎日の最高，最低の1カ月の平均値を示し，平均風速は毎10分の144回平均 （ただし平成20年6月までは24時間の全風程から求めた)，天気日数における「快晴日」は日平均雲量1.5未満，「曇天日」は日平均雲量8.5以上をいう。雲量は雲が全天を占める時を10とし全天に対する雲の占める比である。各年の雪日数及び積雪日数は，前年8月から当年7月までの期間で算出している。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average atmospheric pressure， temperature， and humidity are the average of 24 observations a day  (at every hour on the hour) and average cloudiness is the average of  4 observations (at 3， 9， 15 and 21hours). Average maximum and minimum temperatures are the monthly averages of daily highs and lows. Average wind speed is the average of 144 observations a day taken every 10 minutes (but are 24 hour averages up to June 2008). “Clear days” are days with an average amount of clouds less than 1.5， and “cloudy days” 8.5 or more. “Average amount of clouds” shows the ratio of cloudiness， assuming this to be 10 when clouds cover the entire sky. The number of snowy days and snow cover days of each year are derived over the period from the previous August to July of the stated year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注) 平成29年の最大風速は，欠測等により統計を行う対象資料が許容範囲を越えて欠けている。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: The maximum wind speed in 2017 indicates that an unacceptably large portion of data needed for the calculation was missing due to measurement failure or other reasons.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：気象庁（地震回数は千代田区大手町の観測所で観測した地震回数） Source: Japan Meteorological Agency  (earthquake frequency data from Otemachi monitoring station),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
