地域階層,地域コード,項番 Item number,地域,District,出生 Livebirths／計 Total,出生 Livebirths／男 Male,出生 Livebirths／女 Female,死亡 Deaths／計 Total,死亡 Deaths／男 Male,死亡 Deaths／女 Female,自然増減 Natural change／計 Total,自然増減 Natural change／男 Male,自然増減 Natural change／女 Female,(再掲)乳児死亡 (relisted) Infant deaths／計 Total,(再掲)乳児死亡 (relisted) Infant deaths／男 Male,(再掲)乳児死亡 (relisted) Infant deaths／女 Female,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／計 Total,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／男 Male,(再掲)乳児死亡 (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／女 Female,死産 Foetal deaths／計 Total,死産 Foetal deaths／自然 Spontaneous,死産 Foetal deaths／人工 Artificial,合計特殊出生率 Total fertility rate,婚姻 Marriages,離婚 Divorces
0,13000,,総数,Tokyo-to,99661,51169,48492,121219,63512,57707,-21558,-12343,-9215,135,65,70,61,25,36,2076,955,1121,1.12,73931,20783
1,13100,,区部,All ku,72621,37174,35447,80955,42351,38604,-8334,-5177,-3157,97,48,49,40,18,22,1520,698,822,1.12,57796,14873
2,13101,1,千代田区,Chiyoda-ku,658,350,308,406,206,200,252,144,108,-,-,-,-,-,-,10,8,2,1.32,590,131
2,13102,2,中央区,Chuo-ku,2061,1048,1013,936,478,458,1125,570,555,-,-,-,-,-,-,41,21,20,1.43,1542,338
2,13103,3,港区,Minato-ku,2655,1360,1295,1596,728,868,1059,632,427,5,2,3,2,1,1,63,29,34,1.34,1956,510
2,13104,4,新宿区,Shinjuku-ku,2402,1211,1191,2705,1413,1292,-303,-202,-101,4,-,4,-,-,-,65,24,41,1,2487,557
2,13105,5,文京区,Bunkyo-ku,2059,1079,980,1625,769,856,434,310,124,4,3,1,2,2,-,30,10,20,1.23,1507,276
2,13106,6,台東区,Taito-ku,1540,794,746,2047,1150,897,-507,-356,-151,1,-,1,-,-,-,38,13,25,1.14,1719,309
2,13107,7,墨田区,Sumida-ku,2293,1155,1138,2518,1335,1183,-225,-180,-45,2,1,1,1,-,1,46,18,28,1.12,2196,475
2,13108,8,江東区,Koto-ku,4075,2092,1983,4096,2247,1849,-21,-155,134,4,2,2,-,-,-,81,48,33,1.22,2890,822
2,13109,9,品川区,Shinagawa-ku,3803,1924,1879,3137,1641,1496,666,283,383,7,4,3,3,1,2,56,29,27,1.21,2976,637
2,13110,10,目黒区,Meguro-ku,2290,1139,1151,2026,962,1064,264,177,87,5,3,2,3,2,1,40,21,19,1.02,2117,459
2,13111,11,大田区,Ota-ku,5456,2730,2726,6698,3576,3122,-1242,-846,-396,8,7,1,3,2,1,121,50,71,1.13,4387,1034
2,13112,12,世田谷区,Setagaya-ku,6684,3438,3246,6818,3430,3388,-134,8,-142,4,-,4,2,-,2,130,59,71,1,5213,1365
2,13113,13,渋谷区,Shibuya-ku,1945,999,946,1533,754,779,412,245,167,4,2,2,1,-,1,44,25,19,1.04,1858,423
2,13114,14,中野区,Nakano-ku,2435,1274,1161,2783,1418,1365,-348,-144,-204,1,1,-,1,1,-,45,18,27,0.97,2465,523
2,13115,15,杉並区,Suginami-ku,4349,2220,2129,4663,2294,2369,-314,-74,-240,4,1,3,1,-,1,93,38,55,1,3368,695
2,13116,16,豊島区,Toshima-ku,1842,946,896,2434,1272,1162,-592,-326,-266,6,2,4,3,1,2,51,22,29,0.91,1963,414
2,13117,17,北区,Kita-ku,2683,1364,1319,3529,1849,1680,-846,-485,-361,1,-,1,-,-,-,59,26,33,1.18,2094,456
2,13118,18,荒川区,Arakawa-ku,1620,845,775,2025,1098,927,-405,-253,-152,2,-,2,2,-,2,31,17,14,1.22,1323,330
2,13119,19,板橋区,Itabashi-ku,3862,1971,1891,5190,2732,2458,-1328,-761,-567,7,5,2,3,2,1,82,37,45,1.03,3013,885
2,13120,20,練馬区,Nerima-ku,5406,2796,2610,6348,3273,3075,-942,-477,-465,8,4,4,4,3,1,112,61,51,1.1,3603,1049
2,13121,21,足立区,Adachi-ku,4387,2302,2085,7197,3939,3258,-2810,-1637,-1173,7,3,4,4,1,3,108,50,58,1.17,3272,1262
2,13122,22,葛飾区,Katsushika-ku,3132,1561,1571,4651,2508,2143,-1519,-947,-572,2,1,1,1,-,1,63,27,36,1.23,2090,758
2,13123,23,江戸川区,Edogawa-ku,4984,2576,2408,5994,3279,2715,-1010,-703,-307,11,7,4,4,2,2,111,47,64,1.27,3167,1165
1,13200,,市部,All shi,26632,13777,12855,38869,20490,18379,-12237,-6713,-5524,38,17,21,21,7,14,539,252,287,1.18,15903,5764
2,13201,1,八王子市,Hachioji-shi,2905,1488,1417,5396,2861,2535,-2491,-1373,-1118,5,2,3,4,2,2,70,33,37,1.09,1892,826
2,13202,2,立川市,Tachikawa-shi,1205,619,586,1808,963,845,-603,-344,-259,3,-,3,2,-,2,27,8,19,1.16,787,300
2,13203,3,武蔵野市,Musashino-shi,1110,564,546,1177,589,588,-67,-25,-42,-,-,-,-,-,-,20,6,14,1.1,813,158
2,13204,4,三鷹市,Mitaka-shi,1359,676,683,1569,800,769,-210,-124,-86,2,2,-,1,1,-,32,15,17,1.14,861,218
2,13205,5,青梅市,Ome-shi,620,318,302,1712,865,847,-1092,-547,-545,-,-,-,-,-,-,11,7,4,1.1,415,229
