年度,Fiscal year,区分,Classification,総数 Total／総数 Total,総数 Total／男 Male,総数 Total／女 Female,国立 National,公立 Public,私立 Private,(再掲)全日制課程 (Relisted) full-time,(再掲)定時制課程 (Relisted) part-time
平成29,2017,総数,Total,102326,49993,52333,1085,43421,57820,99075,3251
平成30,2018,総数,Total,101782,49801,51981,1067,43025,57690,98524,3258
令和元,2019,総数,Total,101723,49839,51884,1063,43041,57619,98650,3073
令和元,2019,進学者(A),Enrollment in higher education institutions(A),66248,30183,36065,652,22018,43578,65549,699
令和元,2019,進学者(A)／大学,Enrollment in higher education institutions(A)／Colleges and universities,64133,29935,34198,651,20948,42534,63486,647
令和元,2019,進学者(A)／短期大学,Enrollment in higher education institutions(A)／Junior colleges,1977,182,1795,-,1001,976,1937,40
令和元,2019,進学者(A)／大学・短期大学の通信教育部,Enrollment in higher education institutions(A)／Correspondence courses of universities and junior colleges,98,61,37,1,66,31,86,12
令和元,2019,進学者(A)／大学・短期大学の別科,Enrollment in higher education institutions(A)／Universities and junior colleges， special course ,7,3,4,-,1,6,7,-
令和元,2019,進学者(A)／高等学校の専攻科,Enrollment in higher education institutions(A)／Senior high schools， advanced course,33,2,31,-,2,31,33,-
令和元,2019,進学者(A)／特別支援学校高等部専攻科,Enrollment in higher education institutions(A)／Special needs education schools， upper secondary course， advanced course,-,-,-,-,-,-,-,-
令和元,2019,専修学校（専門課程）進学者 (B),Enrollment in specialized training schools (specialized course) (B),11846,4954,6892,-,7773,4073,11255,591
令和元,2019,専修学校（一般課程）等入学者 (C),Enrollment in specialized training schools (general course) and others (C),6901,4401,2500,-,3672,3229,6769,132
令和元,2019,公共職業能力開発施設等入学者 (D),Enrollment in public vocational training facilities and others (D),279,200,79,4,251,24,177,102
令和元,2019,就職者,Employed,6426,3909,2517,2,5340,1084,5576,850
令和元,2019,就職者／正規の職員等,Employed／Regular employee and others,6377,3880,2497,2,5300,1075,5533,844
令和元,2019,就職者／正規の職員等でない者,Employed／Non-regular employee and others,49,29,20,-,40,9,43,6
令和元,2019,一時的な仕事に就いた者,Temporary employee,539,198,341,-,497,42,367,172
令和元,2019,上記以外の者,Persons other than the above,9479,5991,3488,405,3489,5585,8953,526
令和元,2019,不詳・死亡,Unknown or deceased,5,3,2,-,1,4,4,1
令和元,2019,（再掲）上記(ABCD)のうち就職している者,(Relisted)(A， B， C， D) above and employed,5,2,3,-,5,-,3,2
令和元,2019,（再掲）上記就職している者のうち正規の職員等,(Relisted)Of those employed above， regular employees and others,4,1,3,-,4,-,3,1
令和元,2019,（再掲）上記就職している者のうち正規の職員等でない者,(Relisted)Of those employed above， non-regular employees and others,1,1,-,-,1,-,-,1
,,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,
17-7  高等学校卒業後の状況 （平成29～令和元年度） 17-7  STATUS OF GRADUATES OF SENIOR HIGH SCHOOLS  ( Fiscal Years 2017-2019 ),,,,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,,,
資料：都総務局統計部人口統計課 「学校基本統計（学校基本調査報告書）」  Source: Bureau of General Affairs， TMG,,,,,,,,,,,
