年度,Fiscal year,貸切使用日数 Group use (number of days)／メインアリーナ Main arena,貸切使用日数 Group use (number of days)／ｻﾌﾞｱﾘｰﾅ Sub arena,貸切使用日数 Group use (number of days)／屋内プール Indoor swimming pools 2)／50m,貸切使用日数 Group use (number of days)／屋内プール Indoor swimming pools 2)／25m,貸切使用日数 Group use (number of days)／研修室(4室) Seminar rooms (4rooms),一般公開利用者数  Individual users／屋内プール Indoor swimming poolsトレーニングルーム Training room,一般公開利用者数  Individual users／陸上競技場 Athletic field,健康体力相談室 Health counseling room(人 persons),講習会等 Workshops and others／回数 Times held,講習会等 Workshops and others／利用者数 Participants
平成29,2017,343,341,211,210,1333,491152,88211,823,96,34211
平成30,2018,86,-,63,63,123,124806,27939,277,25,9540
令和元,2019,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,
17-17  東京都立体育施設の利用状況 (1) 東京体育館 (平成29～令和元年度) 17-17  USE OF TOKYO METROPOLITAN SPORTS FACILITIES (1) TOKYO METROPOLITAN GYMNASIUM ( Fiscal Years 2017-2019 )　,,,,,,,,,,,
注 1) 改修工事等に伴い，平成30年4月からサブアリーナを休館，平成30年7月からは全施設を休館した。,,,,,,,,,,,
2) 屋内プール(50m)貸切使用日数はコースごとである。 　　,,,,,,,,,,,
Note: 1) The sub arena closed for renovations from April 2018 followed by the temporary closure of all facilities from July 2018.,,,,,,,,,,,
2) Group use of a lane in the 50-meter pool is counted as one day.   　　　　,,,,,,,,,,,
資料：都オリンピック・パラリンピック準備局スポーツ推進部調整課 Source: Bureau of Olympic and Paralympic Games Tokyo 2020 Preparation， TMG,,,,,,,,,,,
