"年度[西暦]","款","当初予算 金額[千円]","当初予算 構成比[%]","最終補正後 金額[千円]","最終補正後 構成比[%]"
"2020","総務費","219878","3.8","198243","3.5"
"2020","広域連合負担金","5274654","91.9","5251945","92.2"
"2020","保険給付費","84140","1.5","84140","1.5"
"2020","保健事業費","107555","1.9","107555","1.9"
"2020","諸支出金","3500","0.1","5180","0.1"
"2020","予備費","50000","0.9","50000","0.9"
"2020","歳出合計","5739727","100.0","5697063","100.0"
"2021","総務費","170850","3.0",,
"2021","広域連合負担金","5332195","92.7",,
"2021","保険給付費","84163","1.5",,
"2021","保健事業費","112842","2.0",,
"2021","諸支出金","4200","0.1",,
"2021","予備費","50000","0.9",,
"2021","歳出合計","5754250","100.0",,

"令和3年度港区行政資料集　後期高齢者医療会計歳出予算","Ver202103",,,,
