"年度[西暦]","款","当初予算 金額[千円]","当初予算 構成比[%]","最終補正後 金額[千円]","最終補正後 構成比[%]"
"2021","総務費","573389","2.5","541810","2.2"
"2021","保険給付費","13287166","57.1","13974089","57.9"
"2021","国民健康保険事業費納付金","9032726","38.8","9081001","37.6"
"2021","共同事業拠出金","2","0.0","2","0.0"
"2021","保健事業費","188112","0.8","188112","0.8"
"2021","諸支出金","70866","0.3","246444","1.0"
"2021","予備費","100000","0.4","100000","0.4"
"2021","歳出合計","23252261","100.0","24131458","100.0"
"2022","総務費","506174","2.1",,
"2022","保険給付費","13669876","57.4",,
"2022","国民健康保険事業費納付金","9310709","39.1",,
"2022","共同事業拠出金","2","0.0",,
"2022","保健事業費","165431","0.7",,
"2022","諸支出金","70845","0.3",,
"2022","予備費","100000","0.4",,
"2022","歳出合計","23823037","100.0",,

"令和4年度港区行政資料集　国民健康保険事業会計歳出予算","Ver202203",,,,
