"年度[西暦]","区分","18～20歳[人]","21～30歳[人]","31～40歳[人]","41～50歳[人]","51～60歳[人]","61歳以上[人]","合計[人]"
"2018","合計","3","7","7","6","4","3","30"
"2019","合計","2","7","8","6","5","3","31"
"2020","合計","1","9","6","8","4","3","31"
"2021","合計","1","10","6","9","3","4","33"
"2022","障害別 知的障害","2","9","8","8","3","6","36"
"2022","障害別 身体障害","0","1","2","0","0","0","3"
"2022","障害別 （重複障害）","0","2","2","1","0","1","6"
"2022","障害等級 愛の手帳 1・2度","1","1","4","2","0","0","8"
"2022","障害等級 愛の手帳 3・4度","1","7","4","6","3","6","27"
"2022","障害等級 愛の手帳 手帳なし","0","1","0","0","0","0","1"
"2022","障害等級 身体障害者手帳 1・2級","0","0","1","0","0","0","1"
"2022","障害等級 身体障害者手帳 3・4級","0","0","0","0","0","0","0"
"2022","障害等級 身体障害者手帳 5・6級","0","1","1","0","0","0","2"
"2022","障害等級 身体障害者手帳 手帳なし","2","8","6","8","3","6","33"

"令和5年度港区行政資料集　 就労継続支援B型事業（みなとワークアクティ）利用状況","Ver202303",,,,,,,
