年次（和暦）,年次（西暦）,社会動態／転入,社会動態／転出,自然動態／出生,自然動態／死亡,移動指数,移動率(％),移動者数に対する割合（％)／転入,移動者数に対する割合（％)／転出,移動者総数,10月1日現在住民基本台帳人口
昭和60年中,1985年中,100,100,100,100,100,8.3,50.3,49.7,965565,11678973
昭和61年中,1986年中,100.3,102.6,96.7,101.5,101.4,8.3,49.7,50.3,979473,11743428
昭和62年中,1987年中,97.8,110.4,94,102.5,104.1,8.5,47.2,52.8,1004903,11756523
昭和63年中,1988年中,93.9,109.8,89.8,105.9,101.8,8.4,46.4,53.6,983172,11729428
平成元年中,1989年中,93.7,107.4,84.6,109,100.5,8.3,46.9,53.1,970685,11709398
平成2年中,1990年中,93.4,104.8,82.7,113.5,99.1,8.2,47.4,52.6,956673,11693477
平成3年中,1991年中,92.2,100.8,82.3,114.2,96.5,8,48,52,931839,11694052
平成4年中,1992年中,89.6,101.1,80.5,117.7,95.3,7.9,47.2,52.8,920224,11683185
平成5年中,1993年中,87.5,102.6,78.6,121.6,95,7.9,46.3,53.7,917167,11643378
平成6年中,1994年中,86.6,100.1,81.3,121.8,93.3,7.8,46.6,53.4,901051,11607137
平成7年中,1995年中,88.7,96.6,77.8,128.1,92.6,7.7,48.1,51.9,894430,11592359
平成8年中,1996年中,88.9,91.3,78.1,124.6,90.1,7.5,49.6,50.4,870053,11604177
平成9年中,1997年中,89.8,87.3,78.3,128.1,88.6,7.3,50.9,49.1,855202,11641165
平成10年中,1998年中,90.7,85.2,79.1,130.4,88,7.3,51.8,48.2,849492,11691277
平成11年中,1999年中,90,83.3,78.4,138.6,86.7,7.1,52.2,47.8,836986,11744762
平成12年中,2000年中,91.5,81.4,80.2,136.5,86.5,7.1,53.2,46.8,834991,11814109
平成13年中,2001年中,92.7,79.4,78.7,137,86.1,7,54.1,45.9,831319,11895235
平成14年中,2002年中,91.3,77.2,79.7,137.5,84.3,6.8,54.4,45.6,813800,11988676
平成15年中,2003年中,90.9,78.3,78.4,141.3,84.6,6.8,54,46,817167,12065354
平成16年中,2004年中,89.3,75.3,79.5,144.1,82.3,6.5,54.5,45.5,794982,12148203
,,,,,,,,,,,
人口の動き（平成16年中）,,,,,,,,,,,
第７表　変動要因別人口指数の推移／(参考) 移動指数､移動率の推移（昭和60年～平成16年）,,,,,,,,,,,
注１）　昭和60年=100,,,,,,,,,,,
注２）　移動率とは、10月1日現在の住民基本台帳人口に対する移動者総数の割合をいう。,,,,,,,,,,,
注３）　移動者総数とは、転入、転出の合計である。,,,,,,,,,,,
