和暦（年次）,西暦（年次）,総数、月次,増減人口,社会動態／社会増減,社会動態／転入,社会動態／転出,都内間の移動増減,自然動態／自然増減,自然動態／出生,自然動態／死亡,その他の増減,その他の増減／外国人登録人口,その他の増減／記載・消除等
平成16,2004,3月中,11564,11005,84876,73871,-4012,529,8692,8163,4042,3205,837
平成16,2004,4月中,48838,34574,73848,39274,5001,1054,8237,7183,8209,7140,1069
平成16,2004,5月中,10628,6299,29099,22800,1109,866,7921,7055,2354,1758,596
平成16,2004,6月中,7562,2510,26726,24216,126,1206,8164,6958,3720,2535,1185
平成16,2004,7月中,-5634,794,28321,27527,-84,1491,8329,6838,-7835,-8193,358
平成16,2004,8月中,-1022,4270,30868,26598,-112,1849,8755,6906,-7029,-6711,-318
平成16,2004,9月中,1363,1239,27343,26104,-691,1654,8469,6815,-839,-853,14
平成16,2004,10月中,7149,4107,28438,24331,478,1188,8241,7053,1376,938,438
平成16,2004,11月中,2703,3897,26704,22807,-110,804,8504,7700,-1888,-1572,-316
平成16,2004,12月中,2124,1165,25681,24516,1778,670,8056,7386,-1489,-216,-1273
,,,,,,,,,,,,,
人口の動き（平成16年中）,,,,,,,,,,,,,
第８表　変動要因 、月別人口　（平成11年～16年）             ,,,,,,,,,,,,,
注)　この表における「社会増減」は、他県との移動の増減数をいう。,,,,,,,,,,,,,
