項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,360,-,-,51,-,52,-,53,-,53,-,52,-,52,-,48,-
0,0,世帯人員,3.3,-,-,2.92,-,2.92,-,3.36,-,3.5,-,3.5,-,3.44,-,3.47,-
0,0,有業人員,1.7,-,-,1.51,-,1.54,-,1.58,-,1.69,-,1.76,-,1.93,-,1.86,-
0,0,世帯主平均年齢,50.5,-,-,58.2,-,53.7,-,47.1,-,48.2,-,48,-,49.8,-,48.8,-
0,0,消費支出,360606,-,1.9,274632,-,294955,-,305871,-,326936,-,394502,-,449303,-,476664,-
0,0,公共的料金,105242,29.2,-1.1,74055,27,86473,29.3,100224,32.8,105794,32.4,124690,31.6,119101,26.5,126583,26.6
1,0,公共料金等,65725,18.2,3.8,51358,18.7,57409,19.5,62332,20.4,63691,19.5,73773,18.7,74995,16.7,76489,16
1,1,米,1842,0.5,2,1700,0.6,1810,0.6,1788,0.6,2022,0.6,1847,0.5,1886,0.4,1829,0.4
1,1,食塩,32,0,3.2,35,0,30,0,32,0,27,0,34,0,25,0,38,0
1,1,学校給食,1445,0.4,3.7,672,0.2,775,0.3,1650,0.5,1819,0.6,2106,0.5,1520,0.3,1542,0.3
1,1,公営家賃,3122,0.9,35.7,2933,1.1,6586,2.2,4637,1.5,2295,0.7,3852,1,764,0.2,790,0.2
1,1,電気代,9749,2.7,1.2,9055,3.3,9479,3.2,9781,3.2,9476,2.9,10047,2.5,10555,2.3,9985,2.1
1,1,都市ガス,5715,1.6,5.8,4971,1.8,5482,1.9,5097,1.7,5502,1.7,6217,1.6,6376,1.4,6501,1.4
1,1,上下水道料,5111,1.4,-2.4,4562,1.7,4803,1.6,4796,1.6,5618,1.7,4758,1.2,5373,1.2,5857,1.2
1,1,医科診療代,3505,1,17.5,3159,1.2,2966,1,2814,0.9,3651,1.1,5159,1.3,2821,0.6,3943,0.8
1,1,歯科診療代,2674,0.7,14.1,2749,1,1294,0.4,3397,1.1,1807,0.6,1173,0.3,2636,0.6,5559,1.2
1,1,出産入院料,336,0.1,265.2,-,-,30,0,243,0.1,185,0.1,1916,0.5,-,-,-,-
1,1,他の入院料,1051,0.3,9.7,1048,0.4,599,0.2,880,0.3,622,0.2,1563,0.4,986,0.2,1610,0.3
1,1,鉄道運賃,4408,1.2,12.5,3240,1.2,2655,0.9,3680,1.2,2820,0.9,5462,1.4,6107,1.4,6909,1.4
1,1,鉄道通学定期代,888,0.2,-11.9,443,0.2,368,0.1,475,0.2,955,0.3,2102,0.5,1184,0.3,711,0.1
1,1,鉄道通勤定期代,4206,1.2,6.2,1504,0.5,2477,0.8,2829,0.9,4351,1.3,5963,1.5,6730,1.5,5581,1.2
1,1,バス代,460,0.1,-7.6,384,0.1,532,0.2,282,0.1,339,0.1,417,0.1,737,0.2,520,0.1
1,1,バス通学定期代,160,0,21.2,125,0,36,0,166,0.1,316,0.1,272,0.1,38,0,166,0
1,1,バス通勤定期代,56,0,-45.6,33,0,113,0,119,0,21,0,54,0,54,0,-,-
1,1,タクシー代,637,0.2,-9.1,673,0.2,451,0.2,367,0.1,448,0.1,350,0.1,996,0.2,1170,0.2
1,1,航空運賃,1414,0.4,38.4,817,0.3,972,0.3,737,0.2,1672,0.5,815,0.2,2784,0.6,2023,0.4
1,1,郵便料,427,0.1,-7.2,328,0.1,292,0.1,232,0.1,314,0.1,351,0.1,320,0.1,1148,0.2
1,1,固定電話通信料,1312,0.4,-4,1452,0.5,1218,0.4,1120,0.4,1162,0.4,1172,0.3,1667,0.4,1411,0.3
1,1,移動電話通信料,11707,3.2,-7.6,7630,2.8,10821,3.7,11979,3.9,12763,3.9,11940,3,13077,2.9,13778,2.9
1,1,ＮＨＫ放送受信料,1108,0.3,3.7,1099,0.4,958,0.3,912,0.3,1119,0.3,1140,0.3,1110,0.2,1418,0.3
1,1,ケーブルテレビ放送受信料,1084,0.3,-7,935,0.3,1015,0.3,1133,0.4,1071,0.3,1112,0.3,1145,0.3,1173,0.2
1,1,他の放送受信料,195,0.1,8.9,97,0,158,0.1,119,0,154,0,247,0.1,365,0.1,227,0
1,1,国公立小学校,470,0.1,0.2,191,0.1,299,0.1,483,0.2,384,0.1,484,0.1,791,0.2,632,0.1
1,1,国公立中学校,497,0.1,4,271,0.1,161,0.1,509,0.2,614,0.2,954,0.2,533,0.1,415,0.1
1,1,国公立高校,634,0.2,-5.2,429,0.2,403,0.1,515,0.2,550,0.2,1160,0.3,986,0.2,398,0.1
1,1,国公立大学,676,0.2,45.4,97,0,-,-,75,0,623,0.2,298,0.1,2935,0.7,666,0.1
1,1,たばこ,805,0.2,-0.9,724,0.3,626,0.2,1484,0.5,990,0.3,807,0.2,494,0.1,487,0.1
2,0,準公共料金等,39517,11,-8.3,22697,8.3,29064,9.9,37893,12.4,42103,12.9,50917,12.9,44106,9.8,50094,10.5
2,1,牛乳,1298,0.4,5.9,1117,0.4,1074,0.4,1138,0.4,1183,0.4,1499,0.4,1486,0.3,1574,0.3
2,1,灯油,176,0,2.3,302,0.1,274,0.1,120,0,119,0,149,0,136,0,147,0
2,1,プロパンガス,359,0.1,1.7,455,0.2,692,0.2,267,0.1,434,0.1,309,0.1,176,0,193,0
2,1,理髪料,399,0.1,13.4,445,0.2,270,0.1,370,0.1,441,0.1,458,0.1,378,0.1,424,0.1
2,1,パーマネント代,141,0,-16.1,179,0.1,102,0,125,0,89,0,164,0,105,0,221,0
2,1,洗濯代,853,0.2,11.8,716,0.3,792,0.3,646,0.2,575,0.2,971,0.2,932,0.2,1316,0.3
2,1,新聞,2049,0.6,3.3,1984,0.7,2147,0.7,1631,0.5,1966,0.6,2074,0.5,2363,0.5,2187,0.5
2,1,私立小学校,452,0.1,-53.8,1945,0.7,-,-,88,0,32,0,60,0,-,-,970,0.2
2,1,私立中学校,1966,0.5,7.7,469,0.2,-,-,1407,0.5,1348,0.4,6692,1.7,1410,0.3,2526,0.5
2,1,私立高校,4784,1.3,18,2962,1.1,3990,1.4,3258,1.1,3213,1,8751,2.2,7398,1.6,3907,0.8
2,1,私立大学,10588,2.9,-16.6,5182,1.9,3961,1.3,2878,0.9,16420,5,15292,3.9,14119,3.1,16632,3.5
2,1,幼児教育費用,3732,1,9.1,1218,0.4,1604,0.5,6616,2.2,4058,1.2,3874,1,2425,0.5,6249,1.3
2,1,民営家賃,12358,3.4,-15.8,5021,1.8,13699,4.6,19006,6.2,12031,3.7,10459,2.7,13112,2.9,13131,2.8
2,1,地代,364,0.1,-13.3,702,0.3,460,0.2,343,0.1,194,0.1,165,0,65,0,616,0.1
,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成31年・令和元年,,,,,,,,,,,,,,,,,,,
第２７表　勤め先収入７分位階層別１世帯当たり年平均１か月間の公共的料金支出　―　勤労者世帯　―,,,,,,,,,,,,,,,,,,,
注）　平成30年１月に調査で使用する家計簿を改正し順次変更を行ったため、「対前年増加率」の値には当該改正の影響による変動が含まれ得る。　,,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：公共料金等　2：準公共料金等）,,,,,,,,,,,,,,,,,,,
