年次・月次コード,年次・月次,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
nen,平成24年平均,23,26.5,25.8,24,23.2,23.4,20.7,20.8
nen,平成25年平均,22.9,25.9,25.1,24.5,23.7,22.9,20.9,20.3
nen,平成26年平均,23.7,26.5,24.9,25.3,24.4,22.8,22.5,22
nen,平成27年平均,24.4,30.1,26.5,25.8,24.7,23.8,22.5,21.6
nen,平成28年平均,24.8,28.9,26.5,26.9,25.6,24.5,23,21.6
nen,平成29年平均,24.2,29.2,24.8,26.8,24.4,23.1,21.8,22.2
nen,平成30年平均,25,30.5,27.6,26.7,25.7,23.7,22.2,22.8
tuki,平成30年 1月,24.7,30.3,27.8,28.2,23.1,25.2,24.7,20.1
tuki,平成30年 2月,27,36.5,28.6,28.7,25,23.6,25.2,26.4
tuki,平成30年 3月,25,34.6,27.4,25.6,22.2,22.9,21.5,26.4
tuki,平成30年 4月,18.9,22.5,25.9,24.9,18,18.2,17.4,14.8
tuki,平成30年 5月,26.2,31.2,26.6,28.3,27.5,23.2,25.9,24
tuki,平成30年 6月,28.8,35.2,30.2,34.2,27.2,25.8,24.7,29.3
tuki,平成30年 7月,24,25,29.5,27.3,26.9,23.7,18.4,23
tuki,平成30年 8月,26.6,31.5,26.5,30.5,27.6,25.2,24.9,23.3
tuki,平成30年 9月,25.7,33.5,26.9,24.6,23.3,25,25.1,25
tuki,平成30年10月,25,31.6,23.5,26.5,27.5,25.2,21.9,23
tuki,平成30年11月,25.2,34.7,25.1,27.2,25.2,28.5,18.7,24
tuki,平成30年12月,25.2,33.1,30.5,27.8,21.4,21.9,24.4,23.3
tuki,平成31年 1月,23.4,28.3,25.1,21.7,25.6,23.7,23.4,19.5
,,,,,,,,,
東京都生計分析調査　平成31年 1月,,,,,,,,,
主　　要　　指　　標　　　５　　―　勤労者世帯，勤め先収入７分位階層別　―,,,,,,,,,
エンゲル係数　   　　〔＝（食料費÷消費支出） ×１００〕,,,,,,,,,
