項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,調査世帯数,699,-,-,96,-,94,-,102,-,103,-,104,-,100,-,100,-
0,世帯人員,2.94,-,-,2.69,-,2.71,-,2.87,-,2.93,-,3.1,-,3.15,-,3.13,-
0,有業人員,1.31,-,-,1.26,-,1.09,-,1.13,-,1.27,-,1.47,-,1.46,-,1.5,-
0,世帯主平均年齢,60.1,-,-,63.5,-,64.4,-,61.2,-,58.7,-,56.6,-,56.2,-,59.8,-
0,消費支出,358932,100,-2,117731,100,192807,100,242331,100,288719,100,353480,100,466955,100,846480,100
2,基礎的支出,206316,57.5,0.8,86722,73.7,134906,70,158498,65.4,179131,62,197086,55.8,248918,53.3,436980,51.6
3,選択的支出,152615,42.5,-5.5,31009,26.3,57901,30,83832,34.6,109588,38,156394,44.2,218038,46.7,409501,48.4
1,食料,113356,31.6,1.7,61189,52,86584,44.9,94795,39.1,106983,37.1,119131,33.7,149293,32,174746,20.6
2,基礎的支出,87106,24.3,0,52278,44.4,73510,38.1,77487,32,84718,29.3,90012,25.5,109873,23.5,121364,14.3
3,選択的支出,26249,7.3,7.5,8911,7.6,13074,6.8,17308,7.1,22264,7.7,29119,8.2,39420,8.4,53381,6.3
1,住居,26710,7.4,-11.5,2368,2,5483,2.8,12954,5.3,20877,7.2,16685,4.7,30208,6.5,97940,11.6
2,基礎的支出,25187,7,-6.9,1763,1.5,4897,2.5,12343,5.1,19253,6.7,16188,4.6,25278,5.4,96150,11.4
3,選択的支出,1523,0.4,-51.1,605,0.5,587,0.3,611,0.3,1624,0.6,496,0.1,4930,1.1,1790,0.2
1,光熱・水道,20480,5.7,-0.7,13195,11.2,17875,9.3,21296,8.8,20007,6.9,20197,5.7,24308,5.2,26369,3.1
2,基礎的支出,20480,5.7,-0.7,13195,11.2,17875,9.3,21296,8.8,20007,6.9,20197,5.7,24308,5.2,26369,3.1
3,選択的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,家具・家事用品,14501,4,5.6,4001,3.4,7301,3.8,10476,4.3,12172,4.2,15990,4.5,16338,3.5,35071,4.1
2,基礎的支出,9957,2.8,8.3,3412,2.9,6112,3.2,7322,3,8353,2.9,10639,3,11251,2.4,22510,2.7
3,選択的支出,4544,1.3,0.2,589,0.5,1189,0.6,3154,1.3,3818,1.3,5351,1.5,5088,1.1,12561,1.5
1,被服及び履物,16636,4.6,-2.8,3176,2.7,9659,5,10510,4.3,12856,4.5,14956,4.2,24207,5.2,40858,4.8
2,基礎的支出,1024,0.3,-8.2,290,0.2,859,0.4,569,0.2,863,0.3,945,0.3,1594,0.3,2038,0.2
3,選択的支出,15611,4.3,-2.5,2885,2.5,8800,4.6,9942,4.1,11993,4.2,14010,4,22613,4.8,38820,4.6
1,保健医療,20357,5.7,25.5,6039,5.1,9762,5.1,14758,6.1,15230,5.3,14654,4.1,23336,5,58447,6.9
2,基礎的支出,16877,4.7,19.1,5142,4.4,8119,4.2,11278,4.7,12384,4.3,12256,3.5,19293,4.1,49441,5.8
3,選択的支出,3480,1,69.9,897,0.8,1643,0.9,3480,1.4,2846,1,2399,0.7,4043,0.9,9005,1.1
1,交通・通信,36366,10.1,-3.4,8465,7.2,15044,7.8,24274,10,26707,9.3,41387,11.7,50801,10.9,87439,10.3
2,基礎的支出,11905,3.3,1.4,2843,2.4,6281,3.3,7485,3.1,9329,3.2,11802,3.3,18347,3.9,27094,3.2
3,選択的支出,24461,6.8,-5.5,5621,4.8,8763,4.5,16788,6.9,17378,6,29585,8.4,32454,7,60344,7.1
1,教育,13761,3.8,-9.8,158,0.1,1336,0.7,2293,0.9,5287,1.8,9149,2.6,23099,4.9,54726,6.5
2,基礎的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,選択的支出,13761,3.8,-9.8,158,0.1,1336,0.7,2293,0.9,5287,1.8,9149,2.6,23099,4.9,54726,6.5
1,教養娯楽,45150,12.6,-5,10106,8.6,20454,10.6,22971,9.5,29516,10.2,43388,12.3,55950,12,133044,15.7
2,基礎的支出,7270,2,-13.2,3314,2.8,6577,3.4,5853,2.4,6916,2.4,7477,2.1,8779,1.9,11916,1.4
3,選択的支出,37880,10.6,-3.2,6792,5.8,13877,7.2,17119,7.1,22600,7.8,35911,10.2,47170,10.1,121128,14.3
1,その他の消費支出,51615,14.4,-8.4,9034,7.7,19310,10,28003,11.6,39084,13.5,57943,16.4,69415,14.9,137842,16.3
2,基礎的支出,26510,7.4,5,4484,3.8,10677,5.5,14865,6.1,17307,6,27569,7.8,30195,6.5,80097,9.5
3,選択的支出,25105,7,-19.3,4551,3.9,8633,4.5,13138,5.4,21777,7.5,30374,8.6,39220,8.4,57744,6.8
,,,,,,,,,,,,,,,,,,
東京都生計分析調査　令和元年12月,,,,,,,,,,,,,,,,,,
第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―　全　世　帯　―,,,,,,,,,,,,,,,,,,
項目階層（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）,,,,,,,,,,,,,,,,,,
