年次・月次コード,年次・月次,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
nen,平成24年平均,29.6,30.8,31.3,35.2,30.8,29.4,27,26.5
nen,平成25年平均,30,30.2,33,34,29.5,28.6,29.8,27.2
nen,平成26年平均,28.7,29,27.3,29.7,29,29.8,32,24.8
nen,平成27年平均,29.6,30,33.2,32,32.2,29,28.3,26.1
nen,平成28年平均,29.9,27.8,29.9,33.8,30.2,30.7,31.9,26.5
nen,平成29年平均,28.7,28.9,27.9,27.8,27.7,31.4,29.4,27.8
nen,平成30年平均,30.1,25.6,32.7,33.4,30.9,30.7,30.5,27.3
tuki,平成30年 3月,29.6,27.8,30.8,35.2,30.5,29,30.6,25
tuki,平成30年 4月,40.8,26.1,37.4,39.8,48.1,40.9,25.5,53.7
tuki,平成30年 5月,31.4,24.7,38.7,35.2,29.5,31.9,35.9,25.2
tuki,平成30年 6月,29.5,24.3,31.1,30.6,35.5,25.8,35.3,23.4
tuki,平成30年 7月,24.4,19.6,27.5,25.7,32.7,26.3,20,22.6
tuki,平成30年 8月,27.8,22.6,36,32.5,27.8,26.5,27.1,25.6
tuki,平成30年 9月,31.6,27.3,33.6,35.4,38,30,29.4,27.9
tuki,平成30年10月,34,28.3,35.8,34.8,26.3,33.9,35.1,39.1
tuki,平成30年11月,27.9,26.3,27.2,30.5,29.1,28.4,30,24.8
tuki,平成30年12月,24.1,23,25.9,27.4,30.8,19.9,20.4,22.2
tuki,平成31年 1月,29.1,24.6,35.3,27.8,31,27.7,24.8,32
tuki,平成31年 2月,32.4,33.2,32.4,33.9,31.4,31.1,35.6,29.4
tuki,平成31年 3月,29.8,26.5,35.6,25.7,38.9,30.9,25.9,26.2
,,,,,,,,,
東京都生計分析調査　平成31年 3月,,,,,,,,,
主　　要　　指　　標　　　５　　―　勤労者世帯，勤め先収入７分位階層別　―,,,,,,,,,
公共的料金負担率　　　〔＝（公共的料金÷消費支出） ×１００〕,,,,,,,,,
