年次・月次コード,年次・月次,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
nen,平成24年平均,28,30.4,31.9,30,30.2,27.6,25.8,26.9
nen,平成25年平均,27.9,30,31,30.2,29.6,28.7,27.6,25.6
nen,平成26年平均,26.8,31.2,31.3,30.4,29.6,27,26.4,23.4
nen,平成27年平均,28.1,29.7,31.7,30.6,30.4,28.3,26.3,26.6
nen,平成28年平均,27.6,28.5,29.4,29.1,28.8,27.5,26.6,26.7
nen,平成29年平均,26.9,27.6,28.5,28.6,27.8,27.3,25.8,26.2
nen,平成30年平均,27.6,28.9,30.7,28.1,27.9,27.4,26.1,27.4
tuki,平成30年 8月,26,27.7,32,26.6,28.5,27.5,26.1,22.4
tuki,平成30年 9月,29.3,29.8,30.4,29.2,26.7,28.9,27.9,31
tuki,平成30年10月,30.8,27.2,32.3,26.5,27.9,29,28.1,35.4
tuki,平成30年11月,25.4,27.1,31.4,27,24.7,27.1,26.2,22.6
tuki,平成30年12月,22.7,26.6,26.6,25.9,24.2,22.5,22.1,20.3
tuki,平成31年 1月,26.9,29.6,29.7,31,27.9,28.5,28.6,22.7
tuki,平成31年 2月,30,31.9,33.2,33.9,34,29.2,29.4,27.1
tuki,平成31年 3月,27.8,26.3,32.4,29.2,27.3,24.5,25.9,29.2
tuki,平成31年 4月,31.7,28.3,30.5,28.4,28.6,28.3,26.5,38.1
tuki,令和元年 5月,29.3,26.8,28.5,28.1,27,27.8,28,31.9
tuki,令和元年 6月,25.7,28.5,28,28.7,26.8,25.4,27.5,22.8
tuki,令和元年 7月,22.6,26.8,26.5,27.2,24.1,24,27,16.9
tuki,令和元年 8月,25,28,26,28,24.9,26.3,22.9,24.1
,,,,,,,,,
東京都生計分析調査　令和元年 8月,,,,,,,,,
主　　要　　指　　標　　　４　　―　全世帯，生計支出７分位階層別　―,,,,,,,,,
公共的料金負担率　　　〔＝（公共的料金÷消費支出） ×１００〕,,,,,,,,,
