項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年増加率（％）,65歳未満／実数（円）,65歳未満／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）,（再掲）75歳以上／実数（円）,（再掲）75歳以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,914,-,9086,-,5686,-
0,0,0,0,0,調査世帯数,241,-,-,20,-,220,-,139,-
0,0,0,0,0,世帯人員,2.34,-,-,2.66,-,2.31,-,2.3,-
0,0,0,0,0,有業人員,0.45,-,-,0.54,-,0.44,-,0.36,-
0,0,0,0,0,世帯主平均年齢,75.1,-,-,57.3,-,76.9,-,81.2,-
1,0,0,0,0,受取,659773,-,5.5,625371,-,663514,-,617176,-
1,1,0,0,0,実収入,223225,100,9.4,158907,100,229521,100,217764,100
1,2,0,0,0,経常収入,217352,97.4,10.3,148581,93.5,224120,97.6,213145,97.9
1,3,0,0,0,勤め先収入,25747,11.5,30.6,62696,39.5,22058,9.6,17369,8
1,4,0,0,0,世帯主収入,-,-,-,-,-,-,-,-,-
1,6,0,0,0,うち男,-,-,-,-,-,-,-,-,-
1,5,0,0,0,定期収入,-,-,-,-,-,-,-,-,-
1,5,0,0,0,臨時収入,-,-,-,-,-,-,-,-,-
1,5,0,0,0,賞与,-,-,-,-,-,-,-,-,-
1,4,0,0,0,世帯主の配偶者の収入,7776,3.5,14,21583,13.6,6410,2.8,497,0.2
1,6,0,0,0,うち女,7776,3.5,20.8,21583,13.6,6410,2.8,497,0.2
1,4,0,0,0,他の世帯員収入,17971,8.1,39.4,41113,25.9,15648,6.8,16871,7.7
1,3,0,0,0,事業・内職収入,5904,2.6,22.9,3618,2.3,6128,2.7,3532,1.6
1,4,0,0,0,家賃収入,3239,1.5,68.6,1301,0.8,3437,1.5,1698,0.8
1,4,0,0,0,他の事業収入,416,0.2,-47.1,-,-,456,0.2,639,0.3
1,4,0,0,0,内職収入,2248,1,7.4,2317,1.5,2235,1,1196,0.5
1,3,0,0,0,他の経常収入,185701,83.2,7.6,82268,51.8,195934,85.4,192244,88.3
1,4,0,0,0,財産収入,3772,1.7,-7.3,776,0.5,4067,1.8,3937,1.8
1,4,0,0,0,社会保障給付,180681,80.9,8.5,77771,48.9,190844,83.1,187379,86
1,5,0,0,0,公的年金給付,177573,79.5,7.7,58685,36.9,189331,82.5,186425,85.6
1,5,0,0,0,他の社会保障給付,3108,1.4,78,19087,12,1513,0.7,954,0.4
