項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,20万円未満／実数（円）,20万円未満／構成比（％）,20万円以上30万円未満／実数（円）,20万円以上30万円未満／構成比（％）,30万円以上40万円未満／実数（円）,30万円以上40万円未満／構成比（％）,40万円以上50万円未満／実数（円）,40万円以上50万円未満／構成比（％）,50万円以上60万円未満／実数（円）,50万円以上60万円未満／構成比（％）,60万円以上70万円未満／実数（円）,60万円以上70万円未満／構成比（％）,70万円以上／実数（円）,70万円以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,1775,-,1505,-,1714,-,1647,-,1328,-,850,-,1180,-
0,0,0,0,0,調査世帯数,360,-,63,-,54,-,63,-,63,-,49,-,29,-,40,-
0,0,0,0,0,世帯人員,3.3,-,2.92,-,3.02,-,3.34,-,3.51,-,3.58,-,3.49,-,3.46,-
0,0,0,0,0,有業人員,1.7,-,1.68,-,1.84,-,1.63,-,1.74,-,1.66,-,1.59,-,1.69,-
0,0,0,0,0,世帯主平均年齢,50.5,-,58.7,-,53.5,-,45.6,-,46.6,-,48.4,-,49.6,-,50.1,-
1,0,0,0,0,受取,1301276,-,739969,-,943609,-,1094954,-,1351900,-,1598460,-,1746342,-,2152336,-
1,1,0,0,0,実収入,673468,100,241583,100,461992,100,571773,100,727957,100,805993,100,949720,100,1299738,100
1,2,0,0,0,経常収入,662685,98.4,237448,98.3,450665,97.5,552506,96.6,717370,98.5,798653,99.1,937279,98.7,1290638,99.3
1,3,0,0,0,勤め先収入,624865,92.8,149124,61.7,398878,86.3,524537,91.7,690791,94.9,788188,97.8,921110,97,1266028,97.4
1,4,0,0,0,世帯主収入,523034,77.7,88911,36.8,285492,61.8,421882,73.8,557284,76.6,693918,86.1,837066,88.1,1140451,87.7
1,6,0,0,0,うち男,497805,73.9,70726,29.3,253868,55,393894,68.9,541011,74.3,648980,80.5,820562,86.4,1118287,86
1,5,0,0,0,定期収入,420967,62.5,86998,36,248750,53.8,351198,61.4,444975,61.1,538902,66.9,642461,67.6,916033,70.5
1,5,0,0,0,臨時収入,5651,0.8,1332,0.6,3320,0.7,4687,0.8,5861,0.8,9224,1.1,7665,0.8,10950,0.8
1,5,0,0,0,賞与,96417,14.3,581,0.2,33422,7.2,65997,11.5,106448,14.6,145793,18.1,186941,19.7,213469,16.4
1,4,0,0,0,世帯主の配偶者の収入,88364,13.1,41965,17.4,89550,19.4,98392,17.2,121270,16.7,76180,9.5,76642,8.1,117968,9.1
1,6,0,0,0,うち女,86739,12.9,39486,16.3,88966,19.3,97601,17.1,119795,16.5,73805,9.2,73290,7.7,116728,9
1,4,0,0,0,他の世帯員収入,13466,2,18248,7.6,23835,5.2,4264,0.7,12237,1.7,18090,2.2,7402,0.8,7610,0.6
1,3,0,0,0,事業・内職収入,7518,1.1,13949,5.8,5772,1.2,2704,0.5,5762,0.8,2977,0.4,4191,0.4,15935,1.2
1,4,0,0,0,家賃収入,3398,0.5,7835,3.2,1677,0.4,1560,0.3,4269,0.6,687,0.1,3963,0.4,3061,0.2
1,4,0,0,0,他の事業収入,2593,0.4,5619,2.3,3258,0.7,508,0.1,1105,0.2,47,0,51,0,6823,0.5
1,4,0,0,0,内職収入,1527,0.2,495,0.2,837,0.2,637,0.1,389,0.1,2243,0.3,177,0,6051,0.5
1,3,0,0,0,他の経常収入,30302,4.5,74375,30.8,46016,10,25265,4.4,20817,2.9,7489,0.9,11978,1.3,8675,0.7
1,4,0,0,0,財産収入,1543,0.2,2489,1,1993,0.4,858,0.2,3283,0.5,138,0,563,0.1,246,0
1,4,0,0,0,社会保障給付,28658,4.3,71739,29.7,43945,9.5,24194,4.2,17396,2.4,7351,0.9,11415,1.2,8429,0.6
1,5,0,0,0,公的年金給付,20220,3,66631,27.6,35280,7.6,12522,2.2,5006,0.7,176,0,2660,0.3,3724,0.3
1,5,0,0,0,他の社会保障給付,8438,1.3,5108,2.1,8665,1.9,11672,2,12391,1.7,7174,0.9,8755,0.9,4706,0.4
1,4,0,0,0,仕送り金,102,0,147,0.1,77,0,214,0,138,0,-,-,-,-,-,-
1,2,0,0,0,特別収入,10783,1.6,4134,1.7,11327,2.5,19267,3.4,10587,1.5,7340,0.9,12441,1.3,9099,0.7
1,3,0,0,0,受贈金,2483,0.4,1113,0.5,4591,1,3165,0.6,2507,0.3,1089,0.1,3335,0.4,1745,0.1
1,3,0,0,0,他の特別収入,8300,1.2,3021,1.3,6735,1.5,16102,2.8,8080,1.1,6251,0.8,9106,1,7354,0.6
1,1,0,0,0,実収入以外の受取(繰入金を除く),512442,-,421422,-,403859,-,432126,-,521968,-,541066,-,660213,-,744802,-
