指数・前年比（％）,年,(財)商品,(財)商品／耐久消費財,(財)商品／半耐久消費財,(財)商品／非耐久消費財,サービス
Shisu,指数_平成22年平均,97.4,126.2,97.9,93.8,96.4
Shisu,指数_平成23年平均,96,108.9,97.2,94.1,96.9
Shisu,指数_平成24年平均,95.3,98.6,96.7,94.6,96.7
Shisu,指数_平成25年平均,95.6,94.4,96.5,95.5,96.8
Shisu,指数_平成26年平均,99.1,97.9,98.9,99.3,98.9
Shisu,指数_平成27年平均,100,100,100,100,100
Shisu,指数_平成28年平均,99.2,99.8,101,98.7,100.6
Shisu,指数_平成29年平均,99.5,97.8,101.3,99.4,100.8
Shisu,指数_平成30年平均,101.1,97.4,101.9,101.5,101.4
Shisu,指数_平成31年・令和元年平均,102.3,99.1,102.7,102.7,102
zennenhi,前年比_平成22年平均,-1.2,-6.8,-1.9,-0.6,-0.7
zennenhi,前年比_平成23年平均,-1.4,-13.7,-0.6,0.3,0.5
zennenhi,前年比_平成24年平均,-0.7,-9.4,-0.6,0.5,-0.2
zennenhi,前年比_平成25年平均,0.2,-4.3,-0.2,1,0.1
zennenhi,前年比_平成26年平均,3.7,3.7,2.5,4,2.1
zennenhi,前年比_平成27年平均,0.9,2.1,1.1,0.7,1.1
zennenhi,前年比_平成28年平均,-0.8,-0.2,1,-1.3,0.6
zennenhi,前年比_平成29年平均,0.3,-2,0.3,0.7,0.2
zennenhi,前年比_平成30年平均,1.6,-0.4,0.6,2.1,0.6
zennenhi,前年比_平成31年・令和元年平均,1.1,1.7,0.7,1.1,0.6
,,,,,,
東京都生計分析調査　平成31年・令和元年,,,,,,
参考表２　消費者物価指数(東京都区部）の推移（財・サービス分類）,,,,,,
平成27年＝100,,,,,,
