項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,35歳未満／実数（円）,35歳未満／構成比（％）,35～39歳／実数（円）,35～39歳／構成比（％）,40～44歳／実数（円）,40～44歳／構成比（％）,45～49歳／実数（円）,45～49歳／構成比（％）,50～54歳／実数（円）,50～54歳／構成比（％）,55～59歳／実数（円）,55～59歳／構成比（％）,60～64歳／実数（円）,60～64歳／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）,（再掲）75歳以上／実数（円）,（再掲）75歳以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,344,-,534,-,866,-,1007,-,1025,-,794,-,954,-,4476,-,2312,-
0,0,0,0,0,調査世帯数,703,-,25,-,38,-,63,-,73,-,71,-,54,-,66,-,314,-,164,-
0,0,0,0,0,世帯人員,2.92,-,3.25,-,3.74,-,3.64,-,3.59,-,3.43,-,3.21,-,2.78,-,2.38,-,2.3,-
0,0,0,0,0,有業人員,1.31,-,1.5,-,1.56,-,1.53,-,1.59,-,1.74,-,1.85,-,1.75,-,0.87,-,0.58,-
0,0,0,0,0,世帯主平均年齢,60.8,-,30.8,-,37.2,-,41.9,-,47.1,-,52.1,-,56.9,-,62,-,75.2,-,80.8,-
2,2,0,0,0,生計支出,330278,-,287726,-,307206,-,392610,-,366665,-,401154,-,416274,-,358100,-,278990,-,260404,-
2,3,0,0,0,消費支出,326563,100,287726,100,307206,100,351090,100,366665,100,401154,100,416274,100,357264,100,278990,100,260404,100
2,4,1,0,0,食料,87921,26.9,72814,25.3,79008,25.7,90272,25.7,94054,25.7,94070,23.4,100730,24.2,100221,28.1,82046,29.4,76446,29.4
2,5,1,1,0,穀類,6769,2.1,5425,1.9,6067,2,6859,2,7418,2,7508,1.9,7619,1.8,6619,1.9,6507,2.3,6135,2.4
2,6,1,1,1,米類,1867,0.6,1306,0.5,1500,0.5,1556,0.4,2159,0.6,2263,0.6,1908,0.5,1756,0.5,1877,0.7,1875,0.7
2,6,1,1,2,パン,3042,0.9,2642,0.9,2852,0.9,3397,1,3110,0.8,3154,0.8,3650,0.9,2961,0.8,2888,1,2664,1
2,6,1,1,3,麺類,1388,0.4,1106,0.4,1237,0.4,1401,0.4,1614,0.4,1520,0.4,1532,0.4,1464,0.4,1303,0.5,1207,0.5
2,6,1,1,4,他の穀類,472,0.1,371,0.1,477,0.2,505,0.1,535,0.1,571,0.1,530,0.1,439,0.1,439,0.2,388,0.1
2,5,1,2,0,魚介類,6282,1.9,2673,0.9,3269,1.1,3889,1.1,4925,1.3,5706,1.4,6182,1.5,6980,2,7702,2.8,7669,2.9
2,6,1,2,1,生鮮魚介,3710,1.1,1504,0.5,1879,0.6,2345,0.7,2919,0.8,3568,0.9,3818,0.9,4170,1.2,4466,1.6,4357,1.7
2,6,1,2,2,塩干魚介,1072,0.3,456,0.2,603,0.2,670,0.2,901,0.2,944,0.2,941,0.2,1116,0.3,1338,0.5,1415,0.5
2,6,1,2,3,魚肉練製品,597,0.2,251,0.1,272,0.1,324,0.1,377,0.1,449,0.1,582,0.1,702,0.2,783,0.3,781,0.3
2,6,1,2,4,他の魚介加工品,902,0.3,463,0.2,515,0.2,551,0.2,728,0.2,745,0.2,841,0.2,992,0.3,1114,0.4,1116,0.4
2,5,1,3,0,肉類,7693,2.4,5121,1.8,6210,2,7739,2.2,9574,2.6,8818,2.2,10313,2.5,7818,2.2,6896,2.5,6316,2.4
2,6,1,3,1,生鮮肉,6264,1.9,4145,1.4,5058,1.6,6248,1.8,7897,2.2,7302,1.8,8485,2,6266,1.8,5589,2,5127,2
2,6,1,3,2,加工肉,1429,0.4,976,0.3,1152,0.4,1491,0.4,1677,0.5,1516,0.4,1828,0.4,1552,0.4,1308,0.5,1188,0.5
2,5,1,4,0,乳卵類,4173,1.3,3495,1.2,3644,1.2,4320,1.2,4076,1.1,4364,1.1,4475,1.1,4312,1.2,4150,1.5,4089,1.6
2,6,1,4,1,牛乳,1348,0.4,1062,0.4,1080,0.4,1391,0.4,1325,0.4,1468,0.4,1417,0.3,1186,0.3,1387,0.5,1423,0.5
2,6,1,4,2,乳製品,2049,0.6,1888,0.7,1852,0.6,2165,0.6,1932,0.5,2084,0.5,2228,0.5,2310,0.6,1994,0.7,1907,0.7
2,6,1,4,3,卵,777,0.2,545,0.2,712,0.2,763,0.2,819,0.2,812,0.2,829,0.2,817,0.2,769,0.3,759,0.3
2,5,1,5,0,野菜・海藻,10027,3.1,5602,1.9,7132,2.3,7966,2.3,9044,2.5,9292,2.3,9992,2.4,11068,3.1,11288,4,11285,4.3
2,6,1,5,1,生鮮野菜,6910,2.1,4042,1.4,5251,1.7,5760,1.6,6376,1.7,6513,1.6,6968,1.7,7498,2.1,7625,2.7,7712,3
2,6,1,5,2,乾物・海藻,783,0.2,435,0.2,478,0.2,592,0.2,718,0.2,666,0.2,700,0.2,923,0.3,909,0.3,892,0.3
2,6,1,5,3,大豆加工品,1135,0.3,601,0.2,855,0.3,911,0.3,1031,0.3,1082,0.3,1110,0.3,1290,0.4,1261,0.5,1212,0.5
2,6,1,5,4,他の野菜・海藻加工品,1199,0.4,524,0.2,549,0.2,703,0.2,919,0.3,1032,0.3,1215,0.3,1358,0.4,1493,0.5,1470,0.6
2,5,1,6,0,果物,3469,1.1,1829,0.6,2282,0.7,2462,0.7,2508,0.7,2781,0.7,3266,0.8,3942,1.1,4253,1.5,4419,1.7
