項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,0,0,0,調査世帯数,360,-,-,51,-,53,-,53,-,53,-,52,-,52,-,47,-
0,0,0,0,0,世帯人員,3.3,-,-,2.77,-,3.43,-,3.23,-,3.39,-,3.38,-,3.49,-,3.43,-
0,0,0,0,0,有業人員,1.7,-,-,1.4,-,1.62,-,1.61,-,1.72,-,1.74,-,1.8,-,1.98,-
0,0,0,0,0,世帯主平均年齢,50.5,-,-,55.7,-,49.9,-,49.2,-,48.2,-,49.4,-,50.1,-,51.3,-
0,0,0,0,0,平均年間収入(万円),869,-,-,358,-,560,-,676,-,791,-,918,-,1125,-,1650,-
1,0,0,0,0,受取,1301276,-,10.3,702964,-,936149,-,1002105,-,1154343,-,1355760,-,1858999,-,2086193,-
1,1,0,0,0,実収入,673468,100,6.5,320739,100,440339,100,530277,100,600616,100,697973,100,920080,100,1195030,100
1,2,0,0,0,経常収入,662685,98.4,5.8,316927,98.8,433841,98.5,506910,95.6,589718,98.2,687708,98.5,912302,99.2,1182182,98.9
1,3,0,0,0,勤め先収入,624865,92.8,5.5,251930,78.5,394539,89.6,471959,89,558929,93.1,640780,91.8,896296,97.4,1150705,96.3
1,4,0,0,0,世帯主収入,523034,77.7,3.8,233398,72.8,351047,79.7,419256,79.1,467789,77.9,551437,79,751427,81.7,879606,73.6
1,6,0,0,0,うち男,497805,73.9,3.4,192169,59.9,325968,74,397369,74.9,446793,74.4,526181,75.4,726662,79,863057,72.2
1,5,0,0,0,定期収入,420967,62.5,2.7,214716,66.9,298039,67.7,353597,66.7,400781,66.7,438502,62.8,557086,60.5,682297,57.1
1,5,0,0,0,臨時収入,5651,0.8,1.4,2344,0.7,3769,0.9,4656,0.9,5357,0.9,8066,1.2,6661,0.7,8737,0.7
1,5,0,0,0,賞与,96417,14.3,9.1,16338,5.1,49239,11.2,61003,11.5,61650,10.3,104869,15,187680,20.4,188572,15.8
1,4,0,0,0,世帯主の配偶者の収入,88364,13.1,14.4,15551,4.8,38542,8.8,49417,9.3,77150,12.8,80020,11.5,125807,13.7,230853,19.3
1,6,0,0,0,うち女,86739,12.9,12.8,15551,4.8,38542,8.8,48729,9.2,76037,12.7,76021,10.9,122160,13.3,228965,19.2
1,4,0,0,0,他の世帯員収入,13466,2,20.9,2981,0.9,4949,1.1,3286,0.6,13991,2.3,9323,1.3,19061,2.1,40246,3.4
1,3,0,0,0,事業・内職収入,7518,1.1,-2,3539,1.1,3903,0.9,1548,0.3,1851,0.3,19534,2.8,4447,0.5,17758,1.5
1,4,0,0,0,家賃収入,3398,0.5,-18.1,1383,0.4,3513,0.8,188,0,528,0.1,8076,1.2,3497,0.4,6645,0.6
1,4,0,0,0,他の事業収入,2593,0.4,-2,1814,0.6,70,0,1268,0.2,426,0.1,8931,1.3,178,0,5389,0.5
1,4,0,0,0,内職収入,1527,0.2,74.7,342,0.1,320,0.1,92,0,896,0.1,2526,0.4,773,0.1,5723,0.5
1,3,0,0,0,他の経常収入,30302,4.5,12.6,61458,19.2,35399,8,33402,6.3,28938,4.8,27394,3.9,11559,1.3,13720,1.1
1,4,0,0,0,財産収入,1543,0.2,137.8,560,0.2,1009,0.2,2865,0.5,2893,0.5,2477,0.4,465,0.1,477,0
1,4,0,0,0,社会保障給付,28658,4.3,10.4,60883,19,33755,7.7,30537,5.8,26025,4.3,24884,3.6,11094,1.2,13227,1.1
1,5,0,0,0,公的年金給付,20220,3,21.2,54157,16.9,23493,5.3,15203,2.9,18640,3.1,15319,2.2,5182,0.6,9346,0.8
1,5,0,0,0,他の社会保障給付,8438,1.3,-9,6726,2.1,10262,2.3,15334,2.9,7385,1.2,9564,1.4,5912,0.6,3881,0.3
1,4,0,0,0,仕送り金,102,0,-67.7,16,0,635,0.1,-,-,20,0,34,0,-,-,16,0
