項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,703,-,-,96,-,101,-,102,-,104,-,104,-,101,-,96,-
0,0,世帯人員,2.92,-,-,2.51,-,2.74,-,2.85,-,2.98,-,3.02,-,3.16,-,3.21,-
0,0,有業人員,1.31,-,-,1.02,-,1.21,-,1.29,-,1.29,-,1.35,-,1.49,-,1.49,-
0,0,世帯主平均年齢,60.8,-,-,66.5,-,64.3,-,61.9,-,60,-,59,-,56.6,-,57.7,-
0,0,消費支出,326563,-,1.3,101935,-,165826,-,216275,-,267102,-,329864,-,425582,-,778973,-
0,0,公共的料金,87165,26.7,-2,28712,28.2,47183,28.5,62562,28.9,72465,27.1,85567,25.9,112321,26.4,201701,25.9
1,0,公共料金等,59126,18.1,0.9,24108,23.7,38318,23.1,48242,22.3,56729,21.2,63540,19.3,78751,18.5,104317,13.4
1,1,米,1906,0.6,-2,1444,1.4,1806,1.1,1812,0.8,1979,0.7,1913,0.6,2310,0.5,2080,0.3
1,1,食塩,37,0,5.7,27,0,32,0,33,0,36,0,41,0,36,0,52,0
1,1,学校給食,812,0.2,-3.7,146,0.1,421,0.3,714,0.3,931,0.3,932,0.3,1595,0.4,941,0.1
1,1,公営家賃,2651,0.8,29.5,1476,1.4,1924,1.2,2292,1.1,3775,1.4,2925,0.9,3548,0.8,2629,0.3
1,1,電気代,10138,3.1,0.2,6153,6,8860,5.3,9931,4.6,10545,3.9,10933,3.3,12107,2.8,12479,1.6
1,1,都市ガス,5563,1.7,2.9,3221,3.2,4751,2.9,5594,2.6,5829,2.2,5982,1.8,6592,1.5,6991,0.9
1,1,上下水道料,4914,1.5,-5.3,2572,2.5,3956,2.4,4929,2.3,5329,2,5569,1.7,5901,1.4,6151,0.8
1,1,医科診療代,4059,1.2,12.5,1786,1.8,2771,1.7,3136,1.5,3698,1.4,4074,1.2,5109,1.2,7846,1
1,1,歯科診療代,2162,0.7,-15.2,390,0.4,600,0.4,884,0.4,1273,0.5,1837,0.6,2262,0.5,7887,1
1,1,出産入院料,200,0.1,239,-,-,-,-,-,-,15,0,216,0.1,-,-,1173,0.2
1,1,他の入院料,1611,0.5,-13.1,5,0,390,0.2,673,0.3,556,0.2,1698,0.5,2937,0.7,4996,0.6
1,1,鉄道運賃,3628,1.1,9.4,509,0.5,1158,0.7,1738,0.8,3155,1.2,3912,1.2,6549,1.5,8390,1.1
1,1,鉄道通学定期代,574,0.2,-3.9,4,0,26,0,102,0,427,0.2,638,0.2,724,0.2,2118,0.3
1,1,鉄道通勤定期代,2335,0.7,6.4,166,0.2,374,0.2,779,0.4,1406,0.5,3129,0.9,3691,0.9,6817,0.9
1,1,バス代,406,0.1,1.5,77,0.1,143,0.1,245,0.1,303,0.1,371,0.1,846,0.2,859,0.1
1,1,バス通学定期代,111,0,54.2,11,0,4,0,14,0,92,0,36,0,168,0,456,0.1
1,1,バス通勤定期代,79,0,9.7,17,0,31,0,62,0,124,0,95,0,120,0,107,0
1,1,タクシー代,812,0.2,7.4,283,0.3,315,0.2,453,0.2,623,0.2,879,0.3,961,0.2,2169,0.3
1,1,航空運賃,1023,0.3,0.4,-,-,63,0,185,0.1,300,0.1,570,0.2,1514,0.4,4539,0.6
1,1,郵便料,440,0.1,-0.9,132,0.1,259,0.2,345,0.2,379,0.1,477,0.1,546,0.1,905,0.1
1,1,固定電話通信料,1675,0.5,0.2,1196,1.2,1658,1,1612,0.7,1874,0.7,1750,0.5,1729,0.4,1908,0.2
1,1,移動電話通信料,9281,2.8,-4.2,2806,2.8,5770,3.5,8561,4,9843,3.7,10471,3.2,13106,3.1,14414,1.9
1,1,ＮＨＫ放送受信料,1183,0.4,-1.6,568,0.6,920,0.6,1427,0.7,1142,0.4,1401,0.4,1286,0.3,1539,0.2
1,1,ケーブルテレビ放送受信料,1154,0.4,-3.8,424,0.4,1059,0.6,1153,0.5,1161,0.4,1368,0.4,1522,0.4,1390,0.2
1,1,他の放送受信料,186,0.1,2.8,44,0,104,0.1,151,0.1,202,0.1,253,0.1,270,0.1,278,0
1,1,国公立小学校,253,0.1,-10.3,25,0,104,0.1,252,0.1,202,0.1,388,0.1,537,0.1,266,0
1,1,国公立中学校,276,0.1,-1.8,6,0,45,0,169,0.1,267,0.1,384,0.1,451,0.1,622,0.1
1,1,国公立高校,359,0.1,-19.7,18,0,91,0.1,115,0.1,312,0.1,381,0.1,486,0.1,1119,0.1
1,1,国公立大学,520,0.2,89.1,-,-,-,-,-,-,66,0,18,0,974,0.2,2579,0.3
1,1,たばこ,778,0.2,-6.9,602,0.6,681,0.4,884,0.4,884,0.3,899,0.3,874,0.2,618,0.1
2,0,準公共料金等,28040,8.6,-7.7,4604,4.5,8865,5.3,14320,6.6,15736,5.9,22027,6.7,33570,7.9,97385,12.5
2,1,牛乳,1349,0.4,4.3,826,0.8,1088,0.7,1231,0.6,1414,0.5,1535,0.5,1648,0.4,1698,0.2
2,1,灯油,252,0.1,-3.1,189,0.2,305,0.2,312,0.1,349,0.1,224,0.1,185,0,197,0
2,1,プロパンガス,324,0.1,-10.2,299,0.3,381,0.2,340,0.2,447,0.2,371,0.1,292,0.1,136,0
2,1,理髪料,449,0.1,10.3,186,0.2,325,0.2,358,0.2,524,0.2,458,0.1,531,0.1,757,0.1
2,1,パーマネント代,229,0.1,-33.2,105,0.1,165,0.1,211,0.1,208,0.1,252,0.1,360,0.1,298,0
2,1,洗濯代,734,0.2,-2.8,84,0.1,283,0.2,465,0.2,614,0.2,783,0.2,1208,0.3,1695,0.2
2,1,新聞,2601,0.8,1.8,1939,1.9,2536,1.5,2654,1.2,2520,0.9,2776,0.8,2722,0.6,3066,0.4
2,1,私立小学校,337,0.1,-44.6,30,0,-,-,-,-,2,0,44,0,121,0,2156,0.3
2,1,私立中学校,1396,0.4,30.8,-,-,-,-,6,0,52,0,484,0.1,1252,0.3,8003,1
2,1,私立高校,2582,0.8,19.4,4,0,62,0,133,0.1,183,0.1,1585,0.5,3370,0.8,12772,1.6
2,1,私立大学,6109,1.9,-19.3,-,-,14,0,5,0,51,0,327,0.1,670,0.2,41879,5.4
2,1,幼児教育費用,1992,0.6,8.1,205,0.2,653,0.4,1665,0.8,2251,0.8,2320,0.7,2966,0.7,3869,0.5
2,1,民営家賃,8769,2.7,-14.2,454,0.4,2461,1.5,6149,2.8,6297,2.4,10102,3.1,16886,4,19059,2.4
2,1,地代,918,0.3,-3.7,282,0.3,591,0.4,793,0.4,824,0.3,767,0.2,1362,0.3,1799,0.2
,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成31年・令和元年,,,,,,,,,,,,,,,,,,,
第１２表　生計支出７分位階層別１世帯当たり年平均１か月間の公共的料金支出　―　全　世　帯　―,,,,,,,,,,,,,,,,,,,
注）　平成30年１月に調査で使用する家計簿を改正し順次変更を行ったため、「対前年増加率」の値には当該改正の影響による変動が含まれ得る。　,,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：公共料金等　2：準公共料金等）,,,,,,,,,,,,,,,,,,,
