項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,調査世帯数,701,-,-,93,-,101,-,102,-,103,-,104,-,98,-,100,-
0,世帯人員,2.98,-,-,2.64,-,2.59,-,3.07,-,3.04,-,3.13,-,3.17,-,3.2,-
0,有業人員,1.31,-,-,1.14,-,1.07,-,1.28,-,1.29,-,1.34,-,1.52,-,1.52,-
0,世帯主平均年齢,60.2,-,-,66.4,-,64.5,-,62,-,56.8,-,57.9,-,55.8,-,58,-
0,消費支出,308260,100,-5.8,98329,100,153555,100,205042,100,250902,100,312972,100,392346,100,739096,100
2,基礎的支出,165094,53.6,-3.9,75569,76.9,108194,70.5,129954,63.4,144549,57.6,174570,55.8,201520,51.4,319285,43.2
3,選択的支出,143166,46.4,-7.9,22760,23.1,45360,29.5,75088,36.6,106353,42.4,138402,44.2,190825,48.6,419812,56.8
1,食料,90186,29.3,-1.5,51192,52.1,64397,41.9,79993,39,84721,33.8,106893,34.2,109730,28,133901,18.1
2,基礎的支出,68980,22.4,-0.3,44829,45.6,54006,35.2,64133,31.3,67316,26.8,78931,25.2,78926,20.1,94418,12.8
3,選択的支出,21206,6.9,-5.3,6363,6.5,10392,6.8,15860,7.7,17405,6.9,27962,8.9,30804,7.9,39483,5.3
1,住居,18275,5.9,-31.6,2385,2.4,6396,4.2,7824,3.8,13326,5.3,20528,6.6,22077,5.6,54906,7.4
2,基礎的支出,17053,5.5,-29,2268,2.3,6396,4.2,7449,3.6,10302,4.1,19961,6.4,20873,5.3,51676,7
3,選択的支出,1221,0.4,-54.8,118,0.1,-,-,376,0.2,3024,1.2,567,0.2,1204,0.3,3229,0.4
1,光熱・水道,18062,5.9,-5.2,10957,11.1,15211,9.9,18786,9.2,18911,7.5,20125,6.4,20783,5.3,21604,2.9
2,基礎的支出,18062,5.9,-5.2,10957,11.1,15211,9.9,18786,9.2,18911,7.5,20125,6.4,20783,5.3,21604,2.9
3,選択的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,家具・家事用品,12616,4.1,35.4,3104,3.2,6447,4.2,6994,3.4,11060,4.4,10951,3.5,20361,5.2,29195,4
2,基礎的支出,8190,2.7,20.4,2652,2.7,4980,3.2,5527,2.7,7846,3.1,7178,2.3,13835,3.5,15231,2.1
3,選択的支出,4426,1.4,76,452,0.5,1468,1,1467,0.7,3213,1.3,3773,1.2,6526,1.7,13964,1.9
1,被服及び履物,15346,5,2.3,2398,2.4,5259,3.4,9418,4.6,11110,4.4,17714,5.7,23166,5.9,38096,5.2
2,基礎的支出,719,0.2,11.3,149,0.2,286,0.2,441,0.2,536,0.2,812,0.3,743,0.2,2045,0.3
3,選択的支出,14627,4.7,1.9,2249,2.3,4973,3.2,8977,4.4,10575,4.2,16902,5.4,22423,5.7,36051,4.9
1,保健医療,15393,5,3.8,5655,5.8,7864,5.1,10879,5.3,12716,5.1,17810,5.7,22268,5.7,30400,4.1
2,基礎的支出,12610,4.1,4.4,5084,5.2,7184,4.7,8579,4.2,10232,4.1,14807,4.7,18813,4.8,23461,3.2
3,選択的支出,2783,0.9,0.9,572,0.6,680,0.4,2299,1.1,2483,1,3004,1,3455,0.9,6939,0.9
1,交通・通信,31927,10.4,-9.6,6469,6.6,14063,9.2,20833,10.2,29889,11.9,37173,11.9,48843,12.4,65844,8.9
2,基礎的支出,9271,3,-12,2411,2.5,5588,3.6,6260,3.1,9342,3.7,10435,3.3,15346,3.9,15456,2.1
3,選択的支出,22656,7.3,-8.5,4058,4.1,8475,5.5,14572,7.1,20547,8.2,26739,8.5,33497,8.5,50388,6.8
1,教育,22333,7.2,-25.5,250,0.3,1282,0.8,4176,2,7224,2.9,8434,2.7,19974,5.1,113690,15.4
2,基礎的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,選択的支出,22333,7.2,-25.5,250,0.3,1282,0.8,4176,2,7224,2.9,8434,2.7,19974,5.1,113690,15.4
1,教養娯楽,35809,11.6,5,8467,8.6,13838,9,18911,9.2,27308,10.9,34729,11.1,44489,11.3,102051,13.8
2,基礎的支出,7438,2.4,5.9,3470,3.5,6113,4,6800,3.3,6380,2.5,7248,2.3,7170,1.8,14763,2
3,選択的支出,28371,9.2,4.8,4996,5.1,7725,5,12111,5.9,20927,8.3,27481,8.8,37319,9.5,87288,11.8
1,その他の消費支出,48313,15.7,-6.1,7452,7.6,18797,12.2,27228,13.3,34638,13.8,38615,12.3,60655,15.5,149410,20.2
2,基礎的支出,22772,7.4,1,3749,3.8,8431,5.5,11978,5.8,13683,5.5,15073,4.8,25032,6.4,80630,10.9
3,選択的支出,25541,8.3,-11.7,3703,3.8,10365,6.8,15250,7.4,20955,8.4,23541,7.5,35624,9.1,68780,9.3
,,,,,,,,,,,,,,,,,,
東京都生計分析調査　令和元年10月,,,,,,,,,,,,,,,,,,
第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―　全　世　帯　―,,,,,,,,,,,,,,,,,,
項目階層（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）,,,,,,,,,,,,,,,,,,
