年次・月次コード,年次・月次,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
nen,平成24年平均,75.2,201.6,100.2,87.6,83,78.1,75.1,46.7
nen,平成25年平均,78.2,306.9,114.2,88.7,81,76.2,75.8,48
nen,平成26年平均,75.8,271.9,107.1,83.7,82.2,78.9,75,44.5
nen,平成27年平均,77,332.2,116.1,85.4,81.4,77.6,74.4,47.8
nen,平成28年平均,73.7,364,110.1,84.4,77.5,77.6,69.1,44.3
nen,平成29年平均,77.9,266.3,115.4,93.7,81.7,78.3,77.3,46.7
nen,平成30年平均,70.3,227.3,90.1,87.2,78.1,73.4,70.5,41.6
tuki,平成30年 6月,38.1,116.9,70,58.4,64.8,53.7,31,17.4
tuki,平成30年 7月,71.9,572.9,95.9,97.1,83,76.4,77.4,32.4
tuki,平成30年 8月,73.5,143.2,74.3,87.5,76.5,71.5,66,57.5
tuki,平成30年 9月,80.9,362.6,101.4,102.7,88.1,72.2,67.1,57.2
tuki,平成30年10月,78.4,174.4,99,85.4,71.3,69.3,70.7,67
tuki,平成30年11月,81.8,258.5,120.5,91.7,73.5,63.7,84.3,61.4
tuki,平成30年12月,47.2,159.8,85.4,73,73.3,44.4,33.3,26.9
tuki,平成31年 1月,83.5,469.3,114.6,96.6,74.6,75.7,71.7,61.3
tuki,平成31年 2月,72.7,153.3,87.3,81.9,66.4,72.3,70.6,51.5
tuki,平成31年 3月,79.8,223.5,136,82.1,80.5,79.5,74.2,51
tuki,平成31年 4月,72.6,103.6,78.3,84.7,55.4,95.4,82.4,47.4
tuki,令和元年 5月,100.6,318.9,223.8,109,87.5,84.3,78.9,72.9
tuki,令和元年 6月,44.9,97.6,92.4,62.8,67.5,51.3,28,27.4
,,,,,,,,,
東京都生計分析調査　令和元年 6月,,,,,,,,,
主　　要　　指　　標　　　５　　―　勤労者世帯，勤め先収入７分位階層別　―,,,,,,,,,
平均消費性向　　　〔＝（消費支出÷可処分所得） ×１００〕,,,,,,,,,
