項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,調査世帯数,360,-,-,51,-,52,-,53,-,53,-,52,-,52,-,48,-
0,世帯人員,3.3,-,-,2.92,-,2.92,-,3.36,-,3.5,-,3.5,-,3.44,-,3.47,-
0,有業人員,1.7,-,-,1.51,-,1.54,-,1.58,-,1.69,-,1.76,-,1.93,-,1.86,-
0,世帯主平均年齢,50.5,-,-,58.2,-,53.7,-,47.1,-,48.2,-,48,-,49.8,-,48.8,-
0,消費支出,360606,100,1.9,274632,100,294955,100,305871,100,326936,100,394502,100,449303,100,476664,100
2,基礎的支出,168388,46.7,0.5,157334,57.3,159581,54.1,158170,51.7,154031,47.1,169766,43,186730,41.6,192357,40.4
3,選択的支出,192218,53.3,3.1,117298,42.7,135374,45.9,147701,48.3,172905,52.9,224736,57,262573,58.4,284307,59.6
1,食料,94563,26.2,2.1,82023,29.9,84185,28.5,88296,28.9,87148,26.7,97269,24.7,107052,23.8,115561,24.2
2,基礎的支出,67719,18.8,1.7,65166,23.7,62967,21.3,64127,21,63298,19.4,68969,17.5,72242,16.1,77042,16.2
3,選択的支出,26844,7.4,3,16856,6.1,21219,7.2,24169,7.9,23849,7.3,28299,7.2,34810,7.7,38519,8.1
1,住居,26404,7.3,-1.1,24555,8.9,28345,9.6,27091,8.9,20444,6.3,27319,6.9,30961,6.9,25340,5.3
2,基礎的支出,23784,6.6,-0.1,23420,8.5,27376,9.3,25803,8.4,17773,5.4,22247,5.6,27131,6,21950,4.6
3,選択的支出,2620,0.7,-9.1,1135,0.4,969,0.3,1288,0.4,2671,0.8,5071,1.3,3829,0.9,3391,0.7
1,光熱・水道,21172,5.9,1.6,19354,7,20816,7.1,20128,6.6,21222,6.5,21551,5.5,22670,5,22757,4.8
2,基礎的支出,21172,5.9,1.6,19354,7,20816,7.1,20128,6.6,21222,6.5,21551,5.5,22670,5,22757,4.8
3,選択的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,家具・家事用品,12806,3.6,11.1,9112,3.3,10744,3.6,9795,3.2,11377,3.5,13201,3.3,16205,3.6,19087,4
2,基礎的支出,7970,2.2,4,6609,2.4,6866,2.3,6069,2,7704,2.4,9027,2.3,9350,2.1,10080,2.1
3,選択的支出,4836,1.3,25.2,2504,0.9,3879,1.3,3726,1.2,3672,1.1,4174,1.1,6855,1.5,9007,1.9
1,被服及び履物,17392,4.8,0.7,12034,4.4,14258,4.8,15848,5.2,14634,4.5,18704,4.7,21727,4.8,24567,5.2
2,基礎的支出,854,0.2,1.9,827,0.3,743,0.3,868,0.3,664,0.2,763,0.2,899,0.2,1206,0.3
3,選択的支出,16538,4.6,0.6,11207,4.1,13516,4.6,14980,4.9,13970,4.3,17941,4.5,20828,4.6,23361,4.9
1,保健医療,15471,4.3,8.9,14264,5.2,12180,4.1,15344,5,13524,4.1,17729,4.5,14999,3.3,20135,4.2
2,基礎的支出,12772,3.5,9.3,12423,4.5,10261,3.5,12523,4.1,10780,3.3,14724,3.7,12019,2.7,16553,3.5
3,選択的支出,2699,0.7,7.2,1841,0.7,1919,0.7,2821,0.9,2743,0.8,3005,0.8,2979,0.7,3582,0.8
1,交通・通信,46510,12.9,7.1,28146,10.2,41154,14,35898,11.7,39080,12,45615,11.6,60768,13.5,74522,15.6
2,基礎的支出,10470,2.9,-1.9,8195,3,9294,3.2,8614,2.8,9776,3,9836,2.5,13814,3.1,13772,2.9
3,選択的支出,36040,10,10,19950,7.3,31861,10.8,27284,8.9,29304,9,35779,9.1,46954,10.5,60750,12.7
1,教育,32490,9,-5.6,18428,6.7,12799,4.3,21255,6.9,36395,11.1,48249,12.2,45748,10.2,44713,9.4
2,基礎的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,選択的支出,32490,9,-5.6,18428,6.7,12799,4.3,21255,6.9,36395,11.1,48249,12.2,45748,10.2,44713,9.4
1,教養娯楽,41925,11.6,3.5,31247,11.4,30578,10.4,33506,11,36979,11.3,42094,10.7,55491,12.4,63329,13.3
2,基礎的支出,6221,1.7,3.2,6262,2.3,5945,2,5257,1.7,6227,1.9,6382,1.6,6483,1.4,6999,1.5
3,選択的支出,35704,9.9,3.6,24986,9.1,24633,8.4,28249,9.2,30752,9.4,35712,9.1,49008,10.9,56330,11.8
1,その他の消費支出,51873,14.4,-1.1,35469,12.9,39895,13.5,38708,12.7,46134,14.1,62771,15.9,73683,16.4,66653,14
2,基礎的支出,17425,4.8,-10.1,15078,5.5,15315,5.2,14780,4.8,16585,5.1,16265,4.1,22122,4.9,21998,4.6
3,選択的支出,34448,9.6,4.2,20391,7.4,24581,8.3,23928,7.8,29549,9,46506,11.8,51562,11.5,44655,9.4
,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成31年・令和元年,,,,,,,,,,,,,,,,,,
第２６表　勤め先収入７分位階層別１世帯当たり年平均１か月間の基礎的・選択的支出　―　勤労者世帯　―,,,,,,,,,,,,,,,,,,
注）　平成30年１月に調査で使用する家計簿を改正し順次変更を行ったため、「対前年増加率」の値には当該改正の影響による変動が含まれ得る。　,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）,,,,,,,,,,,,,,,,,,
