年次・月次コード,年次・月次,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
nen,平成24年平均,29.6,30.8,31.3,35.2,30.8,29.4,27,26.5
nen,平成25年平均,30,30.2,33,34,29.5,28.6,29.8,27.2
nen,平成26年平均,28.7,29,27.3,29.7,29,29.8,32,24.8
nen,平成27年平均,29.6,30,33.2,32,32.2,29,28.3,26.1
nen,平成28年平均,29.9,27.8,29.9,33.8,30.2,30.7,31.9,26.5
nen,平成29年平均,28.7,28.9,27.9,27.8,27.7,31.4,29.4,27.8
nen,平成30年平均,30.1,25.6,32.7,33.4,30.9,30.7,30.5,27.3
tuki,平成30年 8月,27.8,22.6,36,32.5,27.8,26.5,27.1,25.6
tuki,平成30年 9月,31.6,27.3,33.6,35.4,38,30,29.4,27.9
tuki,平成30年10月,34,28.3,35.8,34.8,26.3,33.9,35.1,39.1
tuki,平成30年11月,27.9,26.3,27.2,30.5,29.1,28.4,30,24.8
tuki,平成30年12月,24.1,23,25.9,27.4,30.8,19.9,20.4,22.2
tuki,平成31年 1月,29.1,24.6,35.3,27.8,31,27.7,24.8,32
tuki,平成31年 2月,32.4,33.2,32.4,33.9,31.4,31.1,35.6,29.4
tuki,平成31年 3月,29.8,26.5,35.6,25.7,38.9,30.9,25.9,26.2
tuki,平成31年 4月,35.4,31.1,32.3,33.7,39,38.6,36.9,33
tuki,令和元年 5月,32.1,25.5,23.7,34.1,36.3,41.5,35.1,29.7
tuki,令和元年 6月,27.6,24,32.9,37.8,32.6,20.3,26.3,24.1
tuki,令和元年 7月,24.3,20.4,28.8,30.6,26.7,22.2,22.3,23
tuki,令和元年 8月,26.4,27.8,30.2,28.9,26.3,26.9,26.9,20.9
,,,,,,,,,
東京都生計分析調査　令和元年 8月,,,,,,,,,
主　　要　　指　　標　　　５　　―　勤労者世帯，勤め先収入７分位階層別　―,,,,,,,,,
公共的料金負担率　　　〔＝（公共的料金÷消費支出） ×１００〕,,,,,,,,,
