項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年増加率（％）,都平均／持家／実数（円）,都平均／持家／構成比（％）,300万円未満／実数（円）,300万円未満／構成比（％）,300万円未満／持家／実数（円）,300万円未満／持家／構成比（％）,300万円以上／実数（円）,300万円以上／構成比（％）,300万円以上／持家／実数（円）,300万円以上／持家／構成比（％）,（再掲）持家以外／実数（円）,（再掲）持家以外／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,8727,-,2851,-,2078,-,7149,-,6649,-,1273,-
0,0,0,0,0,調査世帯数,241,-,-,215,-,63,-,48,-,177,-,166,-,26,-
0,0,0,0,0,世帯人員,2.34,-,-,2.37,-,2.19,-,2.2,-,2.41,-,2.42,-,2.2,-
0,0,0,0,0,有業人員,0.45,-,-,0.47,-,0.35,-,0.41,-,0.48,-,0.49,-,0.29,-
0,0,0,0,0,世帯主平均年齢,75.1,-,-,75.5,-,74.6,-,75.9,-,75.3,-,75.3,-,72.5,-
1,0,0,0,0,受取,659773,-,5.5,694362,-,378387,-,410859,-,772641,-,782980,-,424085,-
1,1,0,0,0,実収入,223225,100,9.4,233903,100,126166,100,132899,100,262468,100,265667,100,150513,100
1,2,0,0,0,経常収入,217352,97.4,10.3,227558,97.3,121288,96.1,127407,95.9,256218,97.6,259060,97.5,147757,98.2
1,3,0,0,0,勤め先収入,25747,11.5,30.6,27315,11.7,8155,6.5,8693,6.5,32787,12.5,33089,12.5,15443,10.3
1,4,0,0,0,世帯主収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,6,0,0,0,うち男,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,定期収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,臨時収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,賞与,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,4,0,0,0,世帯主の配偶者の収入,7776,3.5,14,8246,3.5,1578,1.3,1774,1.3,10238,3.9,10261,3.9,4867,3.2
1,6,0,0,0,うち女,7776,3.5,20.8,8246,3.5,1578,1.3,1774,1.3,10238,3.9,10261,3.9,4867,3.2
1,4,0,0,0,他の世帯員収入,17971,8.1,39.4,19069,8.2,6577,5.2,6919,5.2,22549,8.6,22828,8.6,10577,7
1,3,0,0,0,事業・内職収入,5904,2.6,22.9,6419,2.7,2374,1.9,3215,2.4,7319,2.8,7411,2.8,2278,1.5
1,4,0,0,0,家賃収入,3239,1.5,68.6,3711,1.6,162,0.1,222,0.2,4461,1.7,4795,1.8,-,-
1,4,0,0,0,他の事業収入,416,0.2,-47.1,413,0.2,36,0,45,0,569,0.2,528,0.2,407,0.3
1,4,0,0,0,内職収入,2248,1,7.4,2295,1,2177,1.7,2948,2.2,2288,0.9,2088,0.8,1871,1.2
1,3,0,0,0,他の経常収入,185701,83.2,7.6,193824,82.9,110758,87.8,115500,86.9,216112,82.3,218560,82.3,130036,86.4
1,4,0,0,0,財産収入,3772,1.7,-7.3,4253,1.8,2389,1.9,3314,2.5,4311,1.6,4552,1.7,349,0.2
1,4,0,0,0,社会保障給付,180681,80.9,8.5,188661,80.7,107774,85.4,111442,83.9,210289,80.1,213049,80.2,126021,83.7
1,5,0,0,0,公的年金給付,177573,79.5,7.7,186788,79.9,103618,82.1,111250,83.7,207590,79.1,210645,79.3,114417,76
1,5,0,0,0,他の社会保障給付,3108,1.4,78,1873,0.8,4156,3.3,191,0.1,2699,1,2404,0.9,11604,7.7
1,4,0,0,0,仕送り金,1249,0.6,-34.2,911,0.4,596,0.5,744,0.6,1511,0.6,960,0.4,3666,2.4
1,2,0,0,0,特別収入,5873,2.6,-15.4,6345,2.7,4878,3.9,5492,4.1,6250,2.4,6607,2.5,2756,1.8
1,3,0,0,0,受贈金,1319,0.6,-31.8,1405,0.6,1509,1.2,1792,1.3,1232,0.5,1297,0.5,695,0.5
1,3,0,0,0,他の特別収入,4554,2,-9.1,4939,2.1,3369,2.7,3700,2.8,5019,1.9,5310,2,2061,1.4
1,1,0,0,0,実収入以外の受取(繰入金を除く),349287,-,3.4,368738,-,182879,-,203714,-,415776,-,420117,-,217287,-
1,2,0,0,0,預貯金引出,255470,-,-0.7,267567,-,155053,-,168050,-,295458,-,298561,-,171482,-
1,2,0,0,0,保険金,29023,-,13.3,31815,-,7310,-,9203,-,37771,-,38961,-,10781,-
1,3,0,0,0,個人・企業年金保険金,26517,-,7.2,28927,-,7155,-,8981,-,34326,-,35227,-,10781,-
1,3,0,0,0,他の保険金,2507,-,185.2,2888,-,155,-,222,-,3445,-,3734,-,-,-
1,2,0,0,0,有価証券売却,71,-,-98.3,82,-,-,-,-,-,101,-,108,-,-,-
1,2,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,他の借入金,184,-,-33.1,210,-,176,-,246,-,184,-,198,-,-,-
1,2,0,0,0,分割払購入借入金,1008,-,-54.1,1128,-,585,-,701,-,1179,-,1260,-,185,-
1,2,0,0,0,一括払購入借入金,54960,-,14.7,60650,-,19712,-,25453,-,69076,-,71628,-,16351,-
1,2,0,0,0,土地家屋売却,7908,-,...,6528,-,-,-,-,-,11094,-,8428,-,18443,-
1,2,0,0,0,実収入以外の受取のその他,663,-,108.5,759,-,44,-,62,-,911,-,974,-,45,-
1,1,0,0,0,繰入金,87261,-,3.9,91722,-,69342,-,74245,-,94398,-,97195,-,56284,-
2,0,0,0,0,支払,659773,-,5.5,694362,-,378387,-,410859,-,772641,-,782980,-,424085,-
2,1,0,0,0,実支出,304324,-,0.7,319980,-,183641,-,196275,-,352498,-,358563,-,196399,-
2,2,0,0,0,生計支出,269148,-,-0.4,281687,-,168962,-,178782,-,309101,-,313791,-,182398,-
2,3,0,0,0,消費支出,269148,100,0.5,281687,100,168962,100,178782,100,309101,100,313791,100,182398,100
2,4,1,0,0,食料,78516,29.2,-0.9,81107,28.8,59831,35.4,62059,34.7,85978,27.8,87070,27.7,60677,33.3
2,5,1,1,0,穀類,6397,2.4,0,6461,2.3,5657,3.3,5599,3.1,6694,2.2,6731,2.1,5933,3.3
2,6,1,1,1,米類,1801,0.7,-12.7,1764,0.6,1596,0.9,1438,0.8,1884,0.6,1868,0.6,2025,1.1
2,6,1,1,2,パン,2869,1.1,9.9,2955,1,2557,1.5,2651,1.5,2994,1,3048,1,2288,1.3
2,6,1,1,3,麺類,1302,0.5,2.7,1296,0.5,1190,0.7,1160,0.6,1347,0.4,1339,0.4,1350,0.7
2,6,1,1,4,他の穀類,425,0.2,-7.2,446,0.2,314,0.2,350,0.2,469,0.2,476,0.2,270,0.1
2,5,1,2,0,魚介類,7235,2.7,-6.4,7388,2.6,5867,3.5,6273,3.5,7783,2.5,7743,2.5,6088,3.3
2,6,1,2,1,生鮮魚介,4075,1.5,-6.9,4136,1.5,3427,2,3661,2,4334,1.4,4288,1.4,3618,2
2,6,1,2,2,塩干魚介,1286,0.5,-11.4,1321,0.5,1051,0.6,1134,0.6,1381,0.4,1381,0.4,1024,0.6
2,6,1,2,3,魚肉練製品,770,0.3,-0.4,784,0.3,636,0.4,675,0.4,824,0.3,818,0.3,653,0.4
