項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,349,-,-,49,-,53,-,55,-,45,-,52,-,49,-,46,-
0,0,世帯人員,3.4,-,-,3.16,-,3.19,-,3.53,-,3.53,-,3.37,-,3.35,-,3.68,-
0,0,有業人員,1.72,-,-,1.68,-,1.7,-,1.38,-,1.75,-,1.81,-,1.76,-,1.93,-
0,0,世帯主平均年齢,49.6,-,-,57.3,-,48.7,-,45.8,-,47.6,-,49.6,-,47.6,-,50.8,-
0,0,消費支出,354028,-,6,352879,-,298872,-,271730,-,301083,-,319969,-,465480,-,469060,-
0,0,公共的料金,86932,24.6,-6.8,56640,16.1,92786,31,85009,31.3,75371,25,100130,31.3,79607,17.1,117258,25
1,0,公共料金等,61245,17.3,1.9,43049,12.2,69814,23.4,50117,18.4,54776,18.2,66277,20.7,63368,13.6,80358,17.1
1,1,米,1623,0.5,-8.6,1025,0.3,1307,0.4,2191,0.8,1807,0.6,1580,0.5,1561,0.3,1878,0.4
1,1,食塩,26,0,-7.1,20,0,20,0,20,0,19,0,17,0,28,0,59,0
1,1,学校給食,1713,0.5,6.4,772,0.2,307,0.1,1986,0.7,1928,0.6,1837,0.6,3011,0.6,2157,0.5
1,1,公営家賃,4597,1.3,86.5,-,-,18037,6,-,-,6948,2.3,6874,2.1,-,-,-,-
1,1,電気代,8937,2.5,8.6,7721,2.2,7779,2.6,8604,3.2,8672,2.9,8777,2.7,9800,2.1,11177,2.4
1,1,都市ガス,4463,1.3,7.9,3999,1.1,4610,1.5,4011,1.5,4422,1.5,3997,1.2,4092,0.9,6078,1.3
1,1,上下水道料,4867,1.4,-1.8,4125,1.2,3797,1.3,2732,1,2870,1,5523,1.7,6222,1.3,8733,1.9
1,1,医科診療代,2865,0.8,-0.8,2626,0.7,2778,0.9,1794,0.7,2811,0.9,3413,1.1,2884,0.6,3731,0.8
1,1,歯科診療代,2248,0.6,79.8,2244,0.6,471,0.2,543,0.2,468,0.2,532,0.2,1041,0.2,10354,2.2
1,1,出産入院料,487,0.1,...,-,-,367,0.1,3023,1.1,-,-,-,-,-,-,-,-
1,1,他の入院料,2031,0.6,51.2,-,-,2701,0.9,2590,1,-,-,7801,2.4,951,0.2,-,-
1,1,鉄道運賃,3109,0.9,-15.7,2556,0.7,4539,1.5,2865,1.1,2009,0.7,2921,0.9,3584,0.8,3244,0.7
1,1,鉄道通学定期代,150,0,-76.7,-,-,-,-,449,0.2,-,-,587,0.2,-,-,-,-
1,1,鉄道通勤定期代,3393,1,23.4,584,0.2,1505,0.5,2661,1,4364,1.4,3851,1.2,6744,1.4,4044,0.9
1,1,バス代,490,0.1,7.7,604,0.2,346,0.1,681,0.3,122,0,641,0.2,327,0.1,701,0.1
1,1,バス通学定期代,76,0,85.4,-,-,-,-,95,0,-,-,321,0.1,-,-,108,0
1,1,バス通勤定期代,65,0,-52.6,-,-,451,0.2,-,-,-,-,-,-,-,-,-,-
1,1,タクシー代,595,0.2,-4.3,713,0.2,344,0.1,894,0.3,390,0.1,177,0.1,278,0.1,1363,0.3
1,1,航空運賃,898,0.3,-57.7,2929,0.8,2713,0.9,-,-,-,-,-,-,-,-,663,0.1
1,1,郵便料,927,0.3,3.1,881,0.2,1027,0.3,619,0.2,945,0.3,749,0.2,1441,0.3,835,0.2
1,1,固定電話通信料,1243,0.4,-8,1260,0.4,1003,0.3,702,0.3,1163,0.4,1853,0.6,1204,0.3,1507,0.3
1,1,移動電話通信料,11681,3.3,-15.2,8215,2.3,12499,4.2,9980,3.7,12146,4,12049,3.8,12075,2.6,14673,3.1
1,1,ＮＨＫ放送受信料,1034,0.3,47.3,451,0.1,438,0.1,311,0.1,1174,0.4,1060,0.3,1291,0.3,2498,0.5
1,1,ケーブルテレビ放送受信料,869,0.2,-23.5,683,0.2,475,0.2,851,0.3,834,0.3,946,0.3,1292,0.3,1006,0.2
1,1,他の放送受信料,161,0,-18.3,-,-,148,0,133,0,24,0,179,0.1,103,0,530,0.1
1,1,国公立小学校,356,0.1,70.3,224,0.1,730,0.2,56,0,551,0.2,236,0.1,187,0,501,0.1
1,1,国公立中学校,165,0,-68.9,348,0.1,-,-,160,0.1,70,0,355,0.1,227,0,-,-
1,1,国公立高校,88,0,-90.3,-,-,335,0.1,276,0.1,-,-,-,-,-,-,-,-
1,1,国公立大学,1063,0.3,117.8,-,-,-,-,-,-,-,-,-,-,3764,0.8,3670,0.8
1,1,たばこ,1026,0.3,30.2,1068,0.3,1089,0.4,1889,0.7,1039,0.3,-,-,1261,0.3,851,0.2
2,0,準公共料金等,25687,7.3,-22.6,13591,3.9,22972,7.7,34891,12.8,20595,6.8,33853,10.6,16239,3.5,36900,7.9
2,1,牛乳,1327,0.4,21.3,1114,0.3,1458,0.5,1323,0.5,1111,0.4,1326,0.4,1479,0.3,1470,0.3
2,1,灯油,223,0.1,78.4,687,0.2,220,0.1,62,0,42,0,131,0,256,0.1,177,0
2,1,プロパンガス,456,0.1,9.9,460,0.1,495,0.2,297,0.1,923,0.3,524,0.2,186,0,309,0.1
2,1,理髪料,494,0.1,36.8,545,0.2,399,0.1,609,0.2,284,0.1,824,0.3,155,0,633,0.1
2,1,パーマネント代,200,0.1,36.1,232,0.1,45,0,-,-,-,-,452,0.1,-,-,663,0.1
2,1,洗濯代,711,0.2,5.8,287,0.1,641,0.2,431,0.2,693,0.2,234,0.1,530,0.1,2138,0.5
2,1,新聞,1849,0.5,-14.5,2055,0.6,1523,0.5,1679,0.6,1397,0.5,2132,0.7,2096,0.5,2059,0.4
2,1,私立小学校,1034,0.3,-13.1,-,-,-,-,-,-,-,-,738,0.2,-,-,6401,1.4
2,1,私立中学校,288,0.1,-71.3,815,0.2,-,-,-,-,-,-,-,-,1234,0.3,-,-
2,1,私立高校,3068,0.9,40.2,-,-,1425,0.5,-,-,704,0.2,13712,4.3,3406,0.7,2003,0.4
2,1,私立大学,938,0.3,-83.6,-,-,-,-,-,-,-,-,6461,2,-,-,-,-
2,1,幼児教育費用,4899,1.4,25.7,977,0.3,4464,1.5,8938,3.3,6384,2.1,2118,0.7,2666,0.6,8626,1.8
2,1,民営家賃,9641,2.7,-31.7,6420,1.8,12302,4.1,21552,7.9,8036,2.7,4864,1.5,3149,0.7,10945,2.3
2,1,地代,559,0.2,626,-,-,-,-,-,-,1020,0.3,338,0.1,1083,0.2,1477,0.3
,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　令和元年11月,,,,,,,,,,,,,,,,,,,
第１２表　勤め先収入７分位階層別１世帯当たり１か月間の公共的料金支出　―　勤労者世帯　―,,,,,,,,,,,,,,,,,,,
項目階層（0：世帯数等　1：公共料金等　2：準公共料金等）,,,,,,,,,,,,,,,,,,,
