項目名,全世帯／実数（円）,全世帯／対前年増加率／名目（％）,全世帯／対前年増加率／実質（％）,勤労者世帯／実数（円）,勤労者世帯／対前年増加率／名目（％）,勤労者世帯／対前年増加率／実質（％）
集計世帯数,7522,-,-,4021,-,-
世帯人員(人),2.97,-,-,3.31,-,-
有業人員(人),1.34,-,-,1.77,-,-
世帯主の配偶者のうち女の有業率（％）,38.7,-,-,52.2,-,-
世帯主の年齢 (歳),59.4,-,-,49.6,-,-
実収入,-,-,-,586149,4.9,4.3
経常収入,-,-,-,577067,4.9,4.3
勤め先収入,-,-,-,536305,4.6,4
世帯主収入,-,-,-,438263,2.9,2.3
世帯主収入うち男,-,-,-,418160,2.9,2.3
定期収入,-,-,-,355056,1.9,1.3
臨時収入,-,-,-,4276,18.3,17.6
賞与,-,-,-,78931,6.6,6
世帯主の配偶者の収入,-,-,-,83468,14.4,13.7
世帯主の配偶者の収入うち女,-,-,-,82305,14.1,13.4
他の世帯員収入,-,-,-,14574,7,6.4
事業・内職収入,-,-,-,4237,15.7,15
農林漁業収入,-,-,-,67,11.7,11
他の経常収入,-,-,-,36458,8.4,7.8
特別収入,-,-,-,9082,3.6,3
実収入以外の受取(繰入金を除く),-,-,-,446909,6.3,-
預貯金引出,-,-,-,351024,0.9,-
実支出,-,-,-,433357,3.4,-
消費支出,293379,2.1,1.5,323853,2.7,2.1
食料,75258,1.7,1.3,77431,1.8,1.4
穀類,6345,1.3,0.4,6490,0.5,-0.4
米,1857,-4.7,-4.9,1778,-4.5,-4.7
パン,2643,5.3,4.4,2804,3.1,2.2
麺類,1411,2.7,0.5,1472,1.6,-0.6
他の穀類,435,0.7,0.1,436,1.9,1.3
魚介類,5884,0.2,-1.2,4827,0.7,-0.7
生鮮魚介,3349,-0.2,-0.7,2771,1,0.5
塩干魚介,1044,-0.8,-3.1,836,-0.2,-2.5
魚肉練製品,663,2.5,-0.1,534,-1.3,-3.8
他の魚介加工品,828,1.8,-1.6,685,1.9,-1.5
肉類,7272,-1.8,-2.7,7622,-1.8,-2.7
生鮮肉,5876,-2.7,-3.9,6117,-2.3,-3.6
加工肉,1396,2,3.2,1505,0.3,1.5
乳卵類,3811,0.7,-1.5,3735,0.3,-1.9
牛乳,1263,1.5,-1.6,1176,1.5,-1.6
乳製品,1791,1.6,-1.3,1814,0.5,-2.3
卵,758,-2.7,-1.8,746,-2,-1.1
野菜・海藻,8491,-4.5,0.4,7568,-5,-0.1
生鮮野菜,5621,-6.1,2,5109,-6.4,1.6
乾物・海藻,720,0.1,-1.6,611,-1,-2.7
大豆加工品,1093,-1.4,-1.8,970,-1.8,-2.2
他の野菜・海藻加工品,1057,-2.4,-3.4,878,-3.2,-4.2
果物,2869,1.5,0.1,2213,0.5,-0.9
生鮮果物,2603,1.3,0,1979,0.1,-1.2
果物加工品,266,3.5,0.6,234,3.5,0.6
油脂・調味料,3554,0.7,0.9,3496,0.8,1
油脂,375,3.9,4.5,351,4.2,4.8
調味料,3179,0.3,0.5,3145,0.5,0.7
