項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,35歳未満／実数（円）,35歳未満／構成比（％）,35～39歳／実数（円）,35～39歳／構成比（％）,40～44歳／実数（円）,40～44歳／構成比（％）,45～49歳／実数（円）,45～49歳／構成比（％）,50～54歳／実数（円）,50～54歳／構成比（％）,55～59歳／実数（円）,55～59歳／構成比（％）,60～64歳／実数（円）,60～64歳／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,671,-,862,-,1859,-,1592,-,1476,-,1281,-,938,-,1321,-
0,0,0,0,0,調査世帯数,356,-,24,-,31,-,67,-,59,-,54,-,42,-,33,-,46,-
0,0,0,0,0,世帯人員,3.35,-,3.43,-,3.96,-,3.71,-,3.55,-,3.6,-,3.21,-,2.92,-,2.36,-
0,0,0,0,0,有業人員,1.71,-,1.6,-,1.44,-,1.6,-,1.65,-,1.78,-,1.9,-,2.24,-,1.54,-
0,0,0,0,0,世帯主平均年齢,50.5,-,30.7,-,37.4,-,41.7,-,47.2,-,51.9,-,57,-,62.1,-,69.3,-
1,0,0,0,0,受取,1431276,-,1231175,-,1210805,-,1507698,-,1522031,-,1677514,-,2023399,-,1141284,-,816601,-
1,1,0,0,0,実収入,772278,100,765528,100,667756,100,869117,100,658461,100,954251,100,1211069,100,588113,100,346836,100
1,2,0,0,0,経常収入,766268,99.2,754530,98.6,655155,98.1,855476,98.4,657107,99.8,951190,99.7,1210256,99.9,581502,98.9,344879,99.4
1,3,0,0,0,勤め先収入,749422,97,736734,96.2,626758,93.9,851567,98,651577,99,939740,98.5,1167941,96.4,572062,97.3,317625,91.6
1,4,0,0,0,世帯主収入,629093,81.5,569381,74.4,567993,85.1,749001,86.2,563704,85.6,792936,83.1,918227,75.8,443049,75.3,278087,80.2
1,6,0,0,0,うち男,596764,77.3,569381,74.4,556415,83.3,703351,80.9,540142,82,750484,78.6,849691,70.2,425394,72.3,259974,75
1,5,0,0,0,定期収入,420403,54.4,345134,45.1,432844,64.8,481379,55.4,416957,63.3,542245,56.8,481427,39.8,371248,63.1,208454,60.1
1,5,0,0,0,臨時収入,3065,0.4,1581,0.2,2437,0.4,2094,0.2,472,0.1,7360,0.8,1298,0.1,7622,1.3,2395,0.7
1,5,0,0,0,賞与,205625,26.6,222666,29.1,132712,19.9,265528,30.6,146274,22.2,243331,25.5,435502,36,64178,10.9,67238,19.4
1,4,0,0,0,世帯主の配偶者の収入,106183,13.7,160802,21,58765,8.8,102566,11.8,87873,13.3,137153,14.4,204513,16.9,90894,15.5,17471,5
1,6,0,0,0,うち女,103220,13.4,160802,21,58765,8.8,102566,11.8,80568,12.2,137153,14.4,190459,15.7,90894,15.5,17471,5
1,4,0,0,0,他の世帯員収入,14147,1.8,6551,0.9,-,-,-,-,-,-,9652,1,45202,3.7,38119,6.5,22067,6.4
1,3,0,0,0,事業・内職収入,7959,1,-,-,-,-,1445,0.2,-,-,9266,1,22204,1.8,6549,1.1,21681,6.3
1,4,0,0,0,家賃収入,2743,0.4,-,-,-,-,-,-,-,-,1048,0.1,3863,0.3,-,-,15846,4.6
1,4,0,0,0,他の事業収入,4308,0.6,-,-,-,-,-,-,-,-,5876,0.6,16047,1.3,6549,1.1,5834,1.7
1,4,0,0,0,内職収入,908,0.1,-,-,-,-,1445,0.2,-,-,2342,0.2,2294,0.2,-,-,-,-
1,3,0,0,0,他の経常収入,8887,1.2,17795,2.3,28398,4.3,2465,0.3,5530,0.8,2184,0.2,20110,1.7,2892,0.5,5573,1.6
1,4,0,0,0,財産収入,2968,0.4,-,-,-,-,-,-,-,-,-,-,20110,1.7,-,-,2966,0.9
1,4,0,0,0,社会保障給付,5919,0.8,17795,2.3,28398,4.3,2465,0.3,5530,0.8,2184,0.2,-,-,2892,0.5,2608,0.8
1,5,0,0,0,公的年金給付,322,0,-,-,-,-,-,-,-,-,2178,0.2,-,-,-,-,-,-
1,5,0,0,0,他の社会保障給付,5597,0.7,17795,2.3,28398,4.3,2465,0.3,5530,0.8,6,0,-,-,2892,0.5,2608,0.8
1,4,0,0,0,仕送り金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
