項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,有業者の有無／有業者なし／実数（円）,有業者の有無／有業者なし／構成比（％）,有業者の有無／有業者あり／実数（円）,有業者の有無／有業者あり／構成比（％）,世帯人員別／2人／実数（円）,世帯人員別／2人／構成比（％）,世帯人員別／3人以上／実数（円）,世帯人員別／3人以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,6361,-,3639,-,7355,-,2645,-
0,0,0,0,0,調査世帯数,241,-,154,-,87,-,176,-,64,-
0,0,0,0,0,世帯人員,2.34,-,2.09,-,2.77,-,2,-,3.29,-
0,0,0,0,0,有業人員,0.45,-,-,-,1.23,-,0.2,-,1.14,-
0,0,0,0,0,世帯主平均年齢,75.1,-,76,-,73.5,-,75.9,-,72.9,-
1,0,0,0,0,受取,659773,-,654163,-,669563,-,625890,-,754741,-
1,1,0,0,0,実収入,223225,100,204860,100,255408,100,207610,100,266427,100
1,2,0,0,0,経常収入,217352,97.4,198604,96.9,250142,97.9,201911,97.3,260038,97.6
1,3,0,0,0,勤め先収入,25747,11.5,-,-,70910,27.8,13295,6.4,59995,22.5
1,4,0,0,0,世帯主収入,-,-,-,-,-,-,-,-,-,-
1,6,0,0,0,うち男,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,定期収入,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,臨時収入,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,賞与,-,-,-,-,-,-,-,-,-,-
1,4,0,0,0,世帯主の配偶者の収入,7776,3.5,-,-,21546,8.4,6746,3.2,10546,4
1,6,0,0,0,うち女,7776,3.5,-,-,21546,8.4,6746,3.2,10546,4
1,4,0,0,0,他の世帯員収入,17971,8.1,-,-,49364,19.3,6549,3.2,49449,18.6
1,3,0,0,0,事業・内職収入,5904,2.6,3069,1.5,11104,4.3,5136,2.5,8010,3
1,4,0,0,0,家賃収入,3239,1.5,1418,0.7,6542,2.6,2746,1.3,4569,1.7
1,4,0,0,0,他の事業収入,416,0.2,-,-,1193,0.5,126,0.1,1248,0.5
1,4,0,0,0,内職収入,2248,1,1651,0.8,3370,1.3,2264,1.1,2193,0.8
1,3,0,0,0,他の経常収入,185701,83.2,195534,95.4,168128,65.8,183480,88.4,192034,72.1
1,4,0,0,0,財産収入,3772,1.7,3661,1.8,4140,1.6,3873,1.9,3509,1.3
1,4,0,0,0,社会保障給付,180681,80.9,190282,92.9,163355,64,178283,85.9,187489,70.4
1,5,0,0,0,公的年金給付,177573,79.5,186343,91,161752,63.3,176123,84.8,181591,68.2
1,5,0,0,0,他の社会保障給付,3108,1.4,3939,1.9,1603,0.6,2160,1,5899,2.2
1,4,0,0,0,仕送り金,1249,0.6,1591,0.8,633,0.2,1324,0.6,1035,0.4
1,2,0,0,0,特別収入,5873,2.6,6256,3.1,5266,2.1,5700,2.7,6389,2.4
1,3,0,0,0,受贈金,1319,0.6,1265,0.6,1422,0.6,1333,0.6,1249,0.5
1,3,0,0,0,他の特別収入,4554,2,4990,2.4,3844,1.5,4366,2.1,5140,1.9
1,1,0,0,0,実収入以外の受取(繰入金を除く),349287,-,357322,-,335215,-,328482,-,408061,-
1,2,0,0,0,預貯金引出,255470,-,256990,-,252973,-,237397,-,305749,-
1,2,0,0,0,保険金,29023,-,31443,-,25295,-,30408,-,25491,-
1,3,0,0,0,個人・企業年金保険金,26517,-,28182,-,23886,-,27055,-,25285,-
1,3,0,0,0,他の保険金,2507,-,3261,-,1409,-,3353,-,206,-
1,2,0,0,0,有価証券売却,71,-,112,-,-,-,97,-,-,-
1,2,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,他の借入金,184,-,260,-,38,-,249,-,-,-
1,2,0,0,0,分割払購入借入金,1008,-,1220,-,618,-,1142,-,646,-
1,2,0,0,0,一括払購入借入金,54960,-,54437,-,55661,-,50738,-,66469,-
1,2,0,0,0,土地家屋売却,7908,-,12173,-,-,-,7781,-,9060,-
1,2,0,0,0,実収入以外の受取のその他,663,-,686,-,629,-,671,-,645,-
1,1,0,0,0,繰入金,87261,-,91982,-,78941,-,89798,-,80253,-
2,0,0,0,0,支払,659773,-,654163,-,669563,-,625890,-,754741,-
2,1,0,0,0,実支出,304324,-,308062,-,297789,-,286768,-,353097,-
2,2,0,0,0,生計支出,269148,-,274778,-,259300,-,254932,-,308834,-
2,3,0,0,0,消費支出,269148,100,274778,100,259300,100,254932,100,308834,100
2,4,1,0,0,食料,78516,29.2,77675,28.3,79879,30.8,73543,28.8,92288,29.9
2,5,1,1,0,穀類,6397,2.4,6194,2.3,6739,2.6,5861,2.3,7886,2.6
2,6,1,1,1,米類,1801,0.7,1789,0.7,1814,0.7,1703,0.7,2072,0.7
2,6,1,1,2,パン,2869,1.1,2754,1,3065,1.2,2606,1,3598,1.2
2,6,1,1,3,麺類,1302,0.5,1271,0.5,1357,0.5,1187,0.5,1623,0.5
2,6,1,1,4,他の穀類,425,0.2,380,0.1,504,0.2,364,0.1,593,0.2
2,5,1,2,0,魚介類,7235,2.7,7453,2.7,6838,2.6,7067,2.8,7692,2.5
2,6,1,2,1,生鮮魚介,4075,1.5,4168,1.5,3899,1.5,3938,1.5,4449,1.4
2,6,1,2,2,塩干魚介,1286,0.5,1342,0.5,1186,0.5,1281,0.5,1300,0.4
2,6,1,2,3,魚肉練製品,770,0.3,761,0.3,786,0.3,737,0.3,862,0.3
2,6,1,2,4,他の魚介加工品,1104,0.4,1181,0.4,967,0.4,1111,0.4,1081,0.4
