項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,調査世帯数,704,-,-,97,-,97,-,103,-,105,-,108,-,98,-,96,-
0,世帯人員,2.87,-,-,2.52,-,2.7,-,2.66,-,3.01,-,2.89,-,3.05,-,3.26,-
0,有業人員,1.29,-,-,0.95,-,1.32,-,1.23,-,1.35,-,1.32,-,1.36,-,1.49,-
0,世帯主平均年齢,61.6,-,-,66.1,-,65,-,65.3,-,61.9,-,59.1,-,56,-,57.7,-
0,消費支出,327138,100,-11.3,102324,100,168546,100,210044,100,258544,100,323231,100,411552,100,808705,100
2,基礎的支出,167588,51.2,-5.9,77957,76.2,115134,68.3,140313,66.8,161768,62.6,177563,54.9,199233,48.4,299278,37
3,選択的支出,159550,48.8,-16.5,24366,23.8,53411,31.7,69731,33.2,96776,37.4,145668,45.1,212319,51.6,509427,63
1,食料,89360,27.3,1.9,51198,50,69333,41.1,79708,37.9,92969,36,99544,30.8,105811,25.7,126422,15.6
2,基礎的支出,68914,21.1,3.6,44749,43.7,57147,33.9,67849,32.3,74293,28.7,72649,22.5,76606,18.6,88861,11
3,選択的支出,20446,6.2,-3.3,6449,6.3,12186,7.2,11859,5.6,18676,7.2,26895,8.3,29205,7.1,37561,4.6
1,住居,20490,6.3,-10.4,1877,1.8,9483,5.6,9628,4.6,12594,4.9,20380,6.3,24516,6,64304,8
2,基礎的支出,18906,5.8,-11,1877,1.8,8513,5.1,9310,4.4,11161,4.3,19214,5.9,21330,5.2,60328,7.5
3,選択的支出,1584,0.5,-2.8,-,-,970,0.6,318,0.2,1434,0.6,1166,0.4,3186,0.8,3976,0.5
1,光熱・水道,23925,7.3,5.6,14029,13.7,20461,12.1,22296,10.6,26794,10.4,24379,7.5,28061,6.8,31362,3.9
2,基礎的支出,23925,7.3,5.6,14029,13.7,20461,12.1,22296,10.6,26794,10.4,24379,7.5,28061,6.8,31362,3.9
3,選択的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,家具・家事用品,10630,3.2,-0.6,3237,3.2,4102,2.4,7986,3.8,9478,3.7,9096,2.8,12662,3.1,27622,3.4
2,基礎的支出,6987,2.1,-1.2,2079,2,3245,1.9,6415,3.1,7190,2.8,6132,1.9,8278,2,15464,1.9
3,選択的支出,3643,1.1,0.5,1158,1.1,857,0.5,1571,0.7,2288,0.9,2964,0.9,4384,1.1,12159,1.5
1,被服及び履物,14658,4.5,-9.5,3042,3,6179,3.7,8330,4,12210,4.7,16792,5.2,21887,5.3,33874,4.2
2,基礎的支出,832,0.3,-6.3,273,0.3,244,0.1,950,0.5,1041,0.4,998,0.3,1371,0.3,951,0.1
3,選択的支出,13826,4.2,-9.6,2769,2.7,5936,3.5,7380,3.5,11169,4.3,15795,4.9,20516,5,32923,4.1
1,保健医療,14816,4.5,-24.4,5648,5.5,8781,5.2,10314,4.9,13177,5.1,15863,4.9,20803,5.1,28912,3.6
2,基礎的支出,13422,4.1,-18.5,5313,5.2,8044,4.8,9202,4.4,12219,4.7,14119,4.4,18327,4.5,26532,3.3
3,選択的支出,1394,0.4,-55.2,335,0.3,737,0.4,1113,0.5,958,0.4,1744,0.5,2476,0.6,2380,0.3
1,交通・通信,33475,10.2,-16.1,7083,6.9,14178,8.4,17975,8.6,24168,9.3,44341,13.7,57242,13.9,68736,8.5
2,基礎的支出,8716,2.7,-1.9,2635,2.6,4737,2.8,6545,3.1,7424,2.9,12863,4,13638,3.3,13086,1.6
3,選択的支出,24759,7.6,-20.2,4447,4.3,9441,5.6,11430,5.4,16744,6.5,31478,9.7,43604,10.6,55650,6.9
1,教育,32937,10.1,-40.9,69,0.1,454,0.3,2286,1.1,4659,1.8,7425,2.3,16087,3.9,197286,24.4
2,基礎的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,選択的支出,32937,10.1,-40.9,69,0.1,454,0.3,2286,1.1,4659,1.8,7425,2.3,16087,3.9,197286,24.4
1,教養娯楽,36445,11.1,-7.2,7626,7.5,17357,10.3,20934,10,27405,10.6,34448,10.7,54866,13.3,91661,11.3
2,基礎的支出,6936,2.1,10.6,3465,3.4,5267,3.1,5873,2.8,7099,2.7,7864,2.4,7109,1.7,11809,1.5
3,選択的支出,29509,9,-10.6,4161,4.1,12091,7.2,15061,7.2,20306,7.9,26584,8.2,47757,11.6,79853,9.9
1,その他の消費支出,50401,15.4,-7.3,8517,8.3,18217,10.8,30586,14.6,35089,13.6,50963,15.8,69616,16.9,138525,17.1
2,基礎的支出,18949,5.8,-32.3,3538,3.5,7476,4.4,11873,5.7,14547,5.6,19346,6,24512,6,50887,6.3
3,選択的支出,31452,9.6,19.1,4978,4.9,10741,6.4,18713,8.9,20542,7.9,31616,9.8,45104,11,87638,10.8
,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成31年 4月,,,,,,,,,,,,,,,,,,
第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―　全　世　帯　―,,,,,,,,,,,,,,,,,,
項目階層（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）,,,,,,,,,,,,,,,,,,
