項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,管理職／実数（円）,管理職／構成比（％）,専門職／実数（円）,専門職／構成比（％）,事務職／実数（円）,事務職／構成比（％）,技術職／実数（円）,技術職／構成比（％）,技能・労務職／実数（円）,技能・労務職／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,173,-,1200,-,4941,-,1878,-,1809,-
0,0,0,0,0,調査世帯数,360,-,6,-,41,-,181,-,69,-,64,-
0,0,0,0,0,世帯人員,3.3,-,3.69,-,3.31,-,3.33,-,3.24,-,3.24,-
0,0,0,0,0,有業人員,1.7,-,2.16,-,1.65,-,1.68,-,1.63,-,1.81,-
0,0,0,0,0,世帯主平均年齢,50.5,-,54.2,-,48,-,50.4,-,47.8,-,55.1,-
1,0,0,0,0,受取,1301276,-,1636827,-,1502066,-,1321178,-,1492371,-,911420,-
1,1,0,0,0,実収入,673468,100,978331,100,805167,100,684132,100,758469,100,459243,100
1,2,0,0,0,経常収入,662685,98.4,973288,99.5,799379,99.3,670980,98.1,745871,98.3,452578,98.5
1,3,0,0,0,勤め先収入,624865,92.8,935205,95.6,757841,94.1,636595,93.1,719024,94.8,395446,86.1
1,4,0,0,0,世帯主収入,523034,77.7,889170,90.9,665266,82.6,530910,77.6,601231,79.3,308634,67.2
1,6,0,0,0,うち男,497805,73.9,889170,90.9,617640,76.7,506949,74.1,578580,76.3,289424,63
1,5,0,0,0,定期収入,420967,62.5,800788,81.9,528774,65.7,424611,62.1,468077,61.7,269920,58.8
1,5,0,0,0,臨時収入,5651,0.8,9730,1,6171,0.8,5639,0.8,6876,0.9,3831,0.8
1,5,0,0,0,賞与,96417,14.3,78652,8,130322,16.2,100660,14.7,126278,16.6,34884,7.6
1,4,0,0,0,世帯主の配偶者の収入,88364,13.1,29524,3,69920,8.7,91454,13.4,111056,14.6,73267,16
1,6,0,0,0,うち女,86739,12.9,29524,3,69920,8.7,88654,13,110387,14.6,72733,15.8
1,4,0,0,0,他の世帯員収入,13466,2,16511,1.7,22655,2.8,14231,2.1,6737,0.9,13545,2.9
1,3,0,0,0,事業・内職収入,7518,1.1,6190,0.6,13234,1.6,6854,1,6660,0.9,6980,1.5
1,4,0,0,0,家賃収入,3398,0.5,1501,0.2,150,0,3769,0.6,3105,0.4,5125,1.1
1,4,0,0,0,他の事業収入,2593,0.4,-,-,6543,0.8,2272,0.3,2715,0.4,1313,0.3
1,4,0,0,0,内職収入,1527,0.2,4690,0.5,6541,0.8,813,0.1,840,0.1,542,0.1
1,3,0,0,0,他の経常収入,30302,4.5,31893,3.3,28304,3.5,27531,4,20188,2.7,50152,10.9
1,4,0,0,0,財産収入,1543,0.2,886,0.1,3412,0.4,1766,0.3,730,0.1,521,0.1
1,4,0,0,0,社会保障給付,28658,4.3,30728,3.1,24893,3.1,25759,3.8,19108,2.5,49455,10.8
1,5,0,0,0,公的年金給付,20220,3,24007,2.5,14965,1.9,17012,2.5,8249,1.1,45078,9.8
1,5,0,0,0,他の社会保障給付,8438,1.3,6721,0.7,9928,1.2,8747,1.3,10859,1.4,4377,1
1,4,0,0,0,仕送り金,102,0,280,0,-,-,6,0,350,0,176,0
1,2,0,0,0,特別収入,10783,1.6,5043,0.5,5788,0.7,13152,1.9,12597,1.7,6665,1.5
1,3,0,0,0,受贈金,2483,0.4,1056,0.1,550,0.1,2765,0.4,3067,0.4,2692,0.6
1,3,0,0,0,他の特別収入,8300,1.2,3986,0.4,5237,0.7,10387,1.5,9530,1.3,3973,0.9
1,1,0,0,0,実収入以外の受取(繰入金を除く),512442,-,549767,-,589430,-,544071,-,506924,-,376797,-
1,2,0,0,0,預貯金引出,386430,-,421348,-,422596,-,409180,-,370519,-,314065,-
1,2,0,0,0,保険金,8852,-,2123,-,9566,-,11699,-,4546,-,5555,-
