項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,0,0,0,調査世帯数,700,-,-,93,-,103,-,104,-,100,-,104,-,103,-,93,-
0,0,0,0,0,世帯人員,2.89,-,-,2.49,-,2.76,-,2.64,-,2.91,-,2.92,-,3.28,-,3.25,-
0,0,0,0,0,有業人員,1.3,-,-,1.12,-,1.18,-,1.26,-,1.24,-,1.3,-,1.42,-,1.55,-
0,0,0,0,0,世帯主平均年齢,61,-,-,67.3,-,61.7,-,64.6,-,60.7,-,61.3,-,56.2,-,55,-
2,2,0,0,0,生計支出,324348,-,-3.2,99626,-,170412,-,222806,-,274143,-,340689,-,432746,-,726809,-
2,3,0,0,0,消費支出,322271,100,-3.8,99626,100,170412,100,222806,100,274143,100,340689,100,432746,100,712277,100
2,4,1,0,0,食料,86969,27,1.5,51810,52,67632,39.7,81841,36.7,81262,29.6,97685,28.7,107291,24.8,120620,16.9
2,5,1,1,0,穀類,7058,2.2,3.7,5473,5.5,6147,3.6,6570,2.9,7053,2.6,7288,2.1,8777,2,8065,1.1
2,6,1,1,1,米類,2000,0.6,-0.4,1849,1.9,1906,1.1,1811,0.8,2250,0.8,1608,0.5,2437,0.6,2140,0.3
2,6,1,1,2,パン,3199,1,4.4,2165,2.2,2721,1.6,3027,1.4,2975,1.1,3736,1.1,3819,0.9,3928,0.6
2,6,1,1,3,麺類,1419,0.4,8.2,1204,1.2,1181,0.7,1351,0.6,1421,0.5,1380,0.4,1954,0.5,1434,0.2
2,6,1,1,4,他の穀類,440,0.1,5,255,0.3,338,0.2,381,0.2,407,0.1,563,0.2,567,0.1,564,0.1
2,5,1,2,0,魚介類,6277,1.9,-1.1,4679,4.7,5519,3.2,7731,3.5,6266,2.3,6217,1.8,6231,1.4,7262,1
2,6,1,2,1,生鮮魚介,3861,1.2,3.2,2629,2.6,3341,2,5102,2.3,3991,1.5,3522,1,3749,0.9,4670,0.7
2,6,1,2,2,塩干魚介,1047,0.3,-13.2,989,1,1004,0.6,1025,0.5,1049,0.4,1070,0.3,1073,0.2,1121,0.2
2,6,1,2,3,魚肉練製品,519,0.2,-5.8,469,0.5,438,0.3,652,0.3,459,0.2,662,0.2,425,0.1,524,0.1
2,6,1,2,4,他の魚介加工品,849,0.3,-0.2,591,0.6,736,0.4,951,0.4,766,0.3,964,0.3,984,0.2,947,0.1
2,5,1,3,0,肉類,7759,2.4,-0.5,5007,5,6272,3.7,8052,3.6,7241,2.6,8406,2.5,8919,2.1,10367,1.5
2,6,1,3,1,生鮮肉,6252,1.9,-1.8,3906,3.9,5056,3,6405,2.9,5898,2.2,6868,2,7138,1.6,8446,1.2
2,6,1,3,2,加工肉,1508,0.5,5.2,1101,1.1,1216,0.7,1647,0.7,1342,0.5,1537,0.5,1780,0.4,1920,0.3
2,5,1,4,0,乳卵類,4068,1.3,-1.7,2457,2.5,3478,2,3884,1.7,4143,1.5,4563,1.3,5277,1.2,4647,0.7
2,6,1,4,1,牛乳,1213,0.4,-1.5,770,0.8,866,0.5,1273,0.6,1302,0.5,1206,0.4,1756,0.4,1309,0.2
2,6,1,4,2,乳製品,2075,0.6,-1.8,1094,1.1,1908,1.1,1809,0.8,2010,0.7,2534,0.7,2652,0.6,2500,0.4
2,6,1,4,3,卵,780,0.2,-1.9,593,0.6,704,0.4,802,0.4,831,0.3,823,0.2,869,0.2,837,0.1
2,5,1,5,0,野菜・海藻,9831,3.1,-6.3,7269,7.3,8749,5.1,11118,5,9019,3.3,11510,3.4,10625,2.5,10461,1.5
2,6,1,5,1,生鮮野菜,6691,2.1,-9.8,4897,4.9,5874,3.4,7516,3.4,6067,2.2,7759,2.3,7400,1.7,7275,1
2,6,1,5,2,乾物・海藻,847,0.3,15.7,450,0.5,784,0.5,1183,0.5,636,0.2,1240,0.4,906,0.2,714,0.1
2,6,1,5,3,大豆加工品,1146,0.4,2.6,946,0.9,1039,0.6,1254,0.6,1066,0.4,1316,0.4,1265,0.3,1132,0.2
2,6,1,5,4,他の野菜・海藻加工品,1147,0.4,-6.3,975,1,1052,0.6,1165,0.5,1249,0.5,1196,0.4,1055,0.2,1339,0.2
2,5,1,6,0,果物,3413,1.1,-2.5,2130,2.1,2948,1.7,3783,1.7,3263,1.2,4274,1.3,3926,0.9,3539,0.5
2,6,1,6,1,生鮮果物,3004,0.9,-3.6,1963,2,2643,1.6,3407,1.5,2763,1,3678,1.1,3383,0.8,3167,0.4
2,6,1,6,2,果物加工品,408,0.1,6,167,0.2,304,0.2,376,0.2,500,0.2,595,0.2,542,0.1,372,0.1
2,5,1,7,0,油脂・調味料,3748,1.2,5.5,2469,2.5,3098,1.8,3716,1.7,3797,1.4,4385,1.3,4040,0.9,4714,0.7
2,6,1,7,1,油脂,446,0.1,10.7,288,0.3,385,0.2,498,0.2,451,0.2,555,0.2,404,0.1,536,0.1
2,6,1,7,2,調味料,3303,1,4.9,2181,2.2,2713,1.6,3218,1.4,3345,1.2,3831,1.1,3636,0.8,4178,0.6
2,5,1,8,0,菓子類,7007,2.2,5.1,3692,3.7,5469,3.2,6412,2.9,6591,2.4,7715,2.3,9409,2.2,9696,1.4
2,5,1,9,0,調理食品,11470,3.6,-0.2,8514,8.5,8797,5.2,9478,4.3,11619,4.2,13999,4.1,13932,3.2,13908,2
2,6,1,9,1,主食的調理食品,5089,1.6,-0.7,3799,3.8,3727,2.2,4369,2,5253,1.9,5706,1.7,6590,1.5,6162,0.9
2,6,1,9,2,他の調理食品,6380,2,0.2,4714,4.7,5069,3,5109,2.3,6367,2.3,8293,2.4,7342,1.7,7746,1.1
2,5,1,10,0,飲料,4502,1.4,2,2431,2.4,3210,1.9,3483,1.6,4888,1.8,5474,1.6,6529,1.5,5465,0.8
2,6,1,10,1,茶類,1073,0.3,-9.9,565,0.6,738,0.4,1026,0.5,1288,0.5,1242,0.4,1087,0.3,1563,0.2
2,6,1,10,2,コーヒー・ココア,952,0.3,4.6,632,0.6,636,0.4,845,0.4,985,0.4,1053,0.3,1265,0.3,1242,0.2
2,6,1,10,3,他の飲料,2477,0.8,7.2,1235,1.2,1835,1.1,1612,0.7,2615,1,3180,0.9,4178,1,2660,0.4
