区分,項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,703,-,-,96,-,101,-,102,-,104,-,104,-,101,-,96,-
0,0,世帯人員,2.92,-,-,2.51,-,2.74,-,2.85,-,2.98,-,3.02,-,3.16,-,3.21,-
0,0,有業人員,1.31,-,-,1.02,-,1.21,-,1.29,-,1.29,-,1.35,-,1.49,-,1.49,-
0,0,世帯主平均年齢,60.8,-,-,66.5,-,64.3,-,61.9,-,60,-,59,-,56.6,-,57.7,-
0,0,消費支出,302841,100,1.3,98773,100,157609,100,203469,100,246937,100,302728,100,392651,100,717253,100
1,0,商品,159636,52.7,3.3,74165,75.1,106803,67.8,126033,61.9,143783,58.2,164554,54.4,197751,50.4,303973,42.4
1,1,耐久財,16981,5.6,12.5,939,1,1720,1.1,3588,1.8,6119,2.5,9614,3.2,19117,4.9,77772,10.8
1,2,半耐久財,26026,8.6,5,4736,4.8,10477,6.6,14986,7.4,20116,8.1,26673,8.8,38366,9.8,66599,9.3
1,3,非耐久財,116629,38.5,1.7,68490,69.3,94606,60,107459,52.8,117548,47.6,128268,42.4,140268,35.7,159602,22.3
1,0,サービス,143206,47.3,-0.7,24608,24.9,50805,32.2,77436,38.1,103154,41.8,138174,45.6,194900,49.6,413280,57.6
2,0,食料,93037,30.7,1.6,51342,52,70493,44.7,81671,40.1,90718,36.7,102629,33.9,114428,29.1,139698,19.5
2,3,非耐久財,72333,23.9,1,45714,46.3,60122,38.1,67167,33,72327,29.3,79045,26.1,84572,21.5,97157,13.5
2,4,サービス,20704,6.8,3.6,5629,5.7,10372,6.6,14504,7.1,18391,7.4,23584,7.8,29856,7.6,42540,5.9
2,0,住居,23614,7.8,-1.5,2538,2.6,6500,4.1,11045,5.4,14537,5.9,18307,6,30517,7.8,81552,11.4
2,1,耐久財,2959,1,21.4,18,0,80,0.1,157,0.1,461,0.2,577,0.2,2562,0.7,16753,2.3
2,2,半耐久財,222,0.1,-2.2,68,0.1,143,0.1,205,0.1,240,0.1,218,0.1,252,0.1,429,0.1
2,4,サービス,20433,6.7,-4.1,2452,2.5,6277,4,10683,5.3,13836,5.6,17511,5.8,27703,7.1,64370,9
2,0,光熱・水道（非耐久財）,21274,7,-0.5,12500,12.7,18316,11.6,21225,10.4,22590,9.1,23196,7.7,25143,6.4,26011,3.6
2,0,家具・家事用品,12470,4.1,14.1,3256,3.3,5470,3.5,6871,3.4,10179,4.1,12315,4.1,16213,4.1,32987,4.6
2,1,耐久財,5019,1.7,26.4,375,0.4,717,0.5,1431,0.7,3054,1.2,4534,1.5,6972,1.8,18076,2.5
2,2,半耐久財,3555,1.2,7.2,1029,1,1990,1.3,2310,1.1,3228,1.3,3672,1.2,4793,1.2,7839,1.1
2,3,非耐久財,3026,1,7.3,1685,1.7,2388,1.5,2692,1.3,3100,1.3,3219,1.1,3675,0.9,4430,0.6
2,4,サービス,870,0.3,5.7,168,0.2,376,0.2,438,0.2,797,0.3,890,0.3,773,0.2,2642,0.4
2,0,被服及び履物,14618,4.8,2.8,2554,2.6,5940,3.8,8562,4.2,11376,4.6,15288,5.1,22167,5.6,36292,5.1
2,2,半耐久財,13574,4.5,2.8,2435,2.5,5588,3.5,7972,3.9,10693,4.3,14316,4.7,20421,5.2,33450,4.7
2,4,サービス,1044,0.3,3,119,0.1,352,0.2,590,0.3,683,0.3,972,0.3,1746,0.4,2842,0.4
2,0,保健医療,16776,5.5,3.7,5309,5.4,8752,5.6,11101,5.5,13495,5.5,17476,5.8,22101,5.6,39129,5.5
2,1,耐久財,1127,0.4,0.1,202,0.2,223,0.1,804,0.4,798,0.3,941,0.3,1723,0.4,3193,0.4
2,2,半耐久財,541,0.2,14.1,91,0.1,167,0.1,238,0.1,306,0.1,291,0.1,399,0.1,2285,0.3
2,3,非耐久財,5380,1.8,10.1,2399,2.4,3950,2.5,4389,2.2,5465,2.2,6419,2.1,7141,1.8,7909,1.1
2,4,サービス,9728,3.2,0.4,2617,2.6,4413,2.8,5671,2.8,6925,2.8,9825,3.2,12839,3.3,25741,3.6
2,0,交通・通信,36699,12.1,2.4,6724,6.8,13808,8.8,20532,10.1,28291,11.5,37925,12.5,51110,13,98676,13.8
2,1,耐久財,4465,1.5,2.2,139,0.1,190,0.1,429,0.2,412,0.2,1190,0.4,2586,0.7,26430,3.7
2,2,半耐久財,1470,0.5,20.2,89,0.1,247,0.2,498,0.2,706,0.3,1272,0.4,2082,0.5,5375,0.7
2,3,非耐久財,2158,0.7,-2.3,560,0.6,1288,0.8,1562,0.8,2137,0.9,2789,0.9,3198,0.8,3568,0.5
2,4,サービス,28606,9.4,2.1,5936,6,12084,7.7,18043,8.9,25036,10.1,32674,10.8,43244,11,63304,8.8
2,0,教育,19286,6.4,-5.5,341,0.3,1314,0.8,3783,1.9,5634,2.3,9874,3.3,19261,4.9,94981,13.2
2,3,非耐久財,217,0.1,14.8,5,0,26,0,66,0,117,0,210,0.1,457,0.1,634,0.1
2,4,サービス,19069,6.3,-5.7,336,0.3,1288,0.8,3717,1.8,5518,2.2,9664,3.2,18804,4.8,94348,13.2
2,0,教養娯楽,38936,12.9,1.3,8040,8.1,15587,9.9,22548,11.1,28951,11.7,38438,12.7,55811,14.2,103032,14.4
2,1,耐久財,2506,0.8,19.8,78,0.1,342,0.2,491,0.2,1038,0.4,1811,0.6,4450,1.1,9310,1.3
2,2,半耐久財,4036,1.3,2.7,668,0.7,1579,1,2528,1.2,3302,1.3,4480,1.5,6332,1.6,9326,1.3
2,3,非耐久財,6501,2.1,5.4,3535,3.6,4967,3.2,5671,2.8,6198,2.5,6967,2.3,7925,2,10221,1.4
2,4,サービス,25893,8.6,-1.4,3759,3.8,8699,5.5,13858,6.8,18413,7.5,25181,8.3,37104,9.4,74174,10.3
2,0,諸雑費,26132,8.6,1,6169,6.2,11427,7.3,16130,7.9,21167,8.6,27280,9,35901,9.1,64895,9
2,1,耐久財,904,0.3,-18.3,128,0.1,170,0.1,276,0.1,357,0.1,560,0.2,824,0.2,4010,0.6
2,2,半耐久財,2628,0.9,9.6,357,0.4,763,0.5,1236,0.6,1641,0.7,2424,0.8,4088,1,7895,1.1
2,3,非耐久財,5741,1.9,5.7,2092,2.1,3549,2.3,4687,2.3,5614,2.3,6422,2.1,8158,2.1,9671,1.3
2,4,サービス,16859,5.6,-0.4,3592,3.6,6945,4.4,9932,4.9,13555,5.5,17873,5.9,22831,5.8,43319,6
,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成31年・令和元年,,,,,,,,,,,,,,,,,,,
第１３表　生計支出７分位階層別１世帯当たり年平均１か月間の財・サービス別支出　―　全　世　帯　―,,,,,,,,,,,,,,,,,,,
注１）　財・サービス別結果は、品目別分類を基に、再分類して集計した。,,,,,,,,,,,,,,,,,,,
注２）　消費支出には、「こづかい」、「贈与金」、「他の交際費」及び「仕送り金」は含まれていない。,,,,,,,,,,,,,,,,,,,
注３）　平成30年１月に調査で使用する家計簿を改正し順次変更を行ったため、「対前年増加率」の値には当該改正の影響による変動が含まれ得る。　,,,,,,,,,,,,,,,,,,,
項目（0：世帯数等、消費支出等　1：耐久財　2：半耐久財　3：非耐久財　4：サービス）,,,,,,,,,,,,,,,,,,,
