項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,調査世帯数,703,-,-,96,-,101,-,102,-,104,-,104,-,101,-,96,-
0,世帯人員,2.92,-,-,2.51,-,2.74,-,2.85,-,2.98,-,3.02,-,3.16,-,3.21,-
0,有業人員,1.31,-,-,1.02,-,1.21,-,1.29,-,1.29,-,1.35,-,1.49,-,1.49,-
0,世帯主平均年齢,60.8,-,-,66.5,-,64.3,-,61.9,-,60,-,59,-,56.6,-,57.7,-
0,消費支出,326563,100,1.3,101935,100,165826,100,216275,100,267102,100,329864,100,425582,100,778973,100
2,基礎的支出,176406,54,0.7,78500,77,115663,69.7,139137,64.3,160559,60.1,183713,55.7,217361,51.1,339529,43.6
3,選択的支出,150157,46,2.1,23435,23,50163,30.3,77137,35.7,106543,39.9,146151,44.3,208221,48.9,439444,56.4
1,食料,93037,28.5,1.6,51342,50.4,70493,42.5,81671,37.8,90718,34,102629,31.1,114428,26.9,139698,17.9
2,基礎的支出,70531,21.6,1,44505,43.7,58421,35.2,65654,30.4,70633,26.4,76978,23.3,82402,19.4,94932,12.2
3,選択的支出,22506,6.9,3.3,6837,6.7,12073,7.3,16017,7.4,20085,7.5,25651,7.8,32025,7.5,44766,5.7
1,住居,23614,7.2,-1.5,2538,2.5,6500,3.9,11045,5.1,14537,5.4,18307,5.5,30517,7.2,81552,10.5
2,基礎的支出,22053,6.8,0.2,2460,2.4,6087,3.7,10288,4.8,13527,5.1,17043,5.2,27469,6.5,77206,9.9
3,選択的支出,1561,0.5,-20.2,79,0.1,413,0.2,757,0.4,1010,0.4,1264,0.4,3048,0.7,4346,0.6
1,光熱・水道,21274,6.5,-0.5,12500,12.3,18316,11,21225,9.8,22590,8.5,23196,7,25143,5.9,26011,3.3
2,基礎的支出,21274,6.5,-0.5,12500,12.3,18316,11,21225,9.8,22590,8.5,23196,7,25143,5.9,26011,3.3
3,選択的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,家具・家事用品,12470,3.8,14.1,3256,3.2,5470,3.3,6871,3.2,10179,3.8,12315,3.7,16213,3.8,32987,4.2
2,基礎的支出,8333,2.6,8.4,2869,2.8,4310,2.6,5423,2.5,7180,2.7,8369,2.5,11382,2.7,18811,2.4
3,選択的支出,4137,1.3,27.5,387,0.4,1160,0.7,1448,0.7,2999,1.1,3946,1.2,4830,1.1,14176,1.8
1,被服及び履物,14618,4.5,2.8,2554,2.5,5940,3.6,8562,4,11376,4.3,15288,4.6,22167,5.2,36292,4.7
2,基礎的支出,885,0.3,8.7,256,0.3,525,0.3,700,0.3,829,0.3,1001,0.3,1215,0.3,1662,0.2
3,選択的支出,13733,4.2,2.4,2299,2.3,5415,3.3,7862,3.6,10547,3.9,14287,4.3,20952,4.9,34630,4.4
1,保健医療,16776,5.1,3.7,5309,5.2,8752,5.3,11101,5.1,13495,5.1,17476,5.3,22101,5.2,39129,5
2,基礎的支出,14277,4.4,3,4767,4.7,8028,4.8,9523,4.4,11619,4.4,14861,4.5,18456,4.3,32667,4.2
3,選択的支出,2499,0.8,7.8,541,0.5,724,0.4,1579,0.7,1875,0.7,2615,0.8,3645,0.9,6462,0.8
1,交通・通信,36699,11.2,2.4,6724,6.6,13808,8.3,20532,9.5,28291,10.6,37925,11.5,51110,12,98676,12.7
2,基礎的支出,10057,3.1,0.4,2730,2.7,5133,3.1,6778,3.1,9189,3.4,12163,3.7,15289,3.6,19125,2.5
3,選択的支出,26642,8.2,3.2,3994,3.9,8676,5.2,13754,6.4,19102,7.2,25762,7.8,35821,8.4,79551,10.2
1,教育,19286,5.9,-5.5,341,0.3,1314,0.8,3783,1.7,5634,2.1,9874,3,19261,4.5,94981,12.2
2,基礎的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,選択的支出,19286,5.9,-5.5,341,0.3,1314,0.8,3783,1.7,5634,2.1,9874,3,19261,4.5,94981,12.2
1,教養娯楽,38936,11.9,1.3,8040,7.9,15587,9.4,22548,10.4,28951,10.8,38438,11.7,55811,13.1,103032,13.2
2,基礎的支出,7007,2.1,2.6,3676,3.6,5603,3.4,6593,3,6649,2.5,7665,2.3,8477,2,10394,1.3
3,選択的支出,31929,9.8,1,4364,4.3,9984,6,15955,7.4,22302,8.3,30773,9.3,47333,11.1,92638,11.9
1,その他の消費支出,49853,15.3,1.1,9331,9.2,19645,11.8,28936,13.4,41332,15.5,54416,16.5,68832,16.2,126614,16.3
2,基礎的支出,21989,6.7,-3.6,4737,4.6,9240,5.6,12953,6,18344,6.9,22436,6.8,27527,6.5,58720,7.5
3,選択的支出,27865,8.5,5.1,4594,4.5,10405,6.3,15983,7.4,22989,8.6,31979,9.7,41305,9.7,67894,8.7
,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成31年・令和元年,,,,,,,,,,,,,,,,,,
第１１表　生計支出７分位階層別１世帯当たり年平均１か月間の基礎的・選択的支出　―　全　世　帯　―,,,,,,,,,,,,,,,,,,
